MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,4,6,relu,False,False,"[('0.698', '0.262'), ('0.696', '0.198'), ('0.700', '0.224'), ('0.712', '0.198'), ('0.718', '0.235'), ('0.715', '0.224'), ('0.715', '0.162'), ('0.728', '0.286'), ('0.717', '0.281'), ('0.691', '0.246')]","('0.7090', '0.2316')"
MLP,ngram_notes,3,8,relu,False,False,"[('0.689', '0.280'), ('0.729', '0.188'), ('0.684', '0.223'), ('0.676', '0.226'), ('0.719', '0.156'), ('0.713', '0.222'), ('0.705', '0.165'), ('0.721', '0.305'), ('0.697', '0.278'), ('0.703', '0.293')]","('0.7036', '0.2336')"
MLP,ngram_notes,5,8,relu,False,False,"[('0.883', '0.271'), ('0.891', '0.188'), ('0.890', '0.149'), ('0.888', '0.296'), ('0.904', '0.167'), ('0.907', '0.278'), ('0.897', '0.253'), ('0.901', '0.295'), ('0.910', '0.190'), ('0.893', '0.268')]","('0.8964', '0.2355')"
MLP,ngram_notes,8,6,relu,False,False,"[('0.910', '0.287'), ('0.900', '0.165'), ('0.928', '0.214'), ('0.907', '0.231'), ('0.925', '0.225'), ('0.916', '0.233'), ('0.915', '0.162'), ('0.919', '0.333'), ('0.924', '0.281'), ('0.921', '0.262')]","('0.9165', '0.2393')"
MLP,ngram_notes,5,6,relu,False,False,"[('0.793', '0.262'), ('0.785', '0.190'), ('0.807', '0.204'), ('0.804', '0.273'), ('0.799', '0.216'), ('0.824', '0.241'), ('0.803', '0.253'), ('0.812', '0.276'), ('0.804', '0.213'), ('0.795', '0.295')]","('0.8026', '0.2423')"
MLP,ngram_notes,5,8,relu,True,False,"[('0.909', '0.254'), ('0.908', '0.188'), ('0.906', '0.213'), ('0.909', '0.296'), ('0.930', '0.198'), ('0.933', '0.287'), ('0.903', '0.220'), ('0.917', '0.274'), ('0.926', '0.253'), ('0.927', '0.244')]","('0.9168', '0.2427')"
MLP,ngram_notes,4,8,relu,False,False,"[('0.805', '0.246'), ('0.824', '0.145'), ('0.807', '0.255'), ('0.812', '0.296'), ('0.824', '0.229'), ('0.823', '0.259'), ('0.800', '0.275'), ('0.838', '0.295'), ('0.831', '0.278'), ('0.826', '0.195')]","('0.8190', '0.2473')"
MLP,ngram_notes,7,7,relu,False,False,"[('0.914', '0.208'), ('0.909', '0.185'), ('0.917', '0.219'), ('0.924', '0.271'), ('0.939', '0.283'), ('0.928', '0.286'), ('0.920', '0.179'), ('0.927', '0.280'), ('0.921', '0.226'), ('0.936', '0.353')]","('0.9235', '0.2490')"
MLP,ngram_notes,8,2,relu,True,False,"[('0.584', '0.323'), ('0.597', '0.171'), ('0.593', '0.170'), ('0.591', '0.226'), ('0.598', '0.254'), ('0.588', '0.227'), ('0.567', '0.174'), ('0.593', '0.312'), ('0.587', '0.339'), ('0.584', '0.297')]","('0.5882', '0.2493')"
MLP,ngram_notes,8,5,relu,False,False,"[('0.876', '0.226'), ('0.867', '0.171'), ('0.886', '0.170'), ('0.873', '0.250'), ('0.889', '0.200'), ('0.883', '0.308'), ('0.856', '0.233'), ('0.875', '0.364'), ('0.881', '0.319'), ('0.883', '0.254')]","('0.8769', '0.2495')"
