MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,4,1,sigmoid,False,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
SVM,ngram_notes,4,1,sigmoid,True,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
SVM,ngram_notes,8,2,sigmoid,False,False,"[('0.239', '0.285'), ('0.258', '0.233'), ('0.252', '0.217'), ('0.247', '0.218'), ('0.250', '0.298'), ('0.218', '0.356'), ('0.260', '0.148'), ('0.246', '0.296'), ('0.255', '0.220'), ('0.251', '0.218')]","('0.2476', '0.2489')"
SVM,ngram_notes,7,1,sigmoid,False,False,"[('0.263', '0.212'), ('0.277', '0.183'), ('0.255', '0.370'), ('0.282', '0.191'), ('0.264', '0.222'), ('0.245', '0.316'), ('0.260', '0.193'), ('0.260', '0.277'), ('0.260', '0.307'), ('0.273', '0.261')]","('0.2639', '0.2532')"
SVM,ngram_notes,7,1,sigmoid,True,False,"[('0.263', '0.212'), ('0.277', '0.183'), ('0.255', '0.370'), ('0.282', '0.191'), ('0.264', '0.222'), ('0.245', '0.316'), ('0.260', '0.193'), ('0.260', '0.277'), ('0.260', '0.307'), ('0.273', '0.261')]","('0.2639', '0.2532')"
SVM,ngram_notes,1,2,sigmoid,True,False,"[('0.312', '0.392'), ('0.325', '0.194'), ('0.270', '0.330'), ('0.300', '0.286'), ('0.299', '0.246'), ('0.270', '0.242'), ('0.311', '0.183'), ('0.265', '0.224'), ('0.296', '0.119'), ('0.298', '0.327')]","('0.2946', '0.2543')"
SVM,ngram_notes,8,2,sigmoid,True,False,"[('0.253', '0.292'), ('0.256', '0.217'), ('0.260', '0.283'), ('0.262', '0.226'), ('0.247', '0.307'), ('0.233', '0.348'), ('0.270', '0.139'), ('0.227', '0.272'), ('0.254', '0.211'), ('0.240', '0.257')]","('0.2502', '0.2552')"
SVM,ngram_notes,7,2,sigmoid,True,False,"[('0.252', '0.331'), ('0.251', '0.202'), ('0.255', '0.236'), ('0.268', '0.218'), ('0.257', '0.342'), ('0.228', '0.303'), ('0.266', '0.139'), ('0.233', '0.288'), ('0.256', '0.248'), ('0.243', '0.248')]","('0.2509', '0.2555')"
SVM,ngram_notes,7,2,sigmoid,False,False,"[('0.247', '0.308'), ('0.257', '0.240'), ('0.263', '0.208'), ('0.259', '0.233'), ('0.243', '0.325'), ('0.229', '0.356'), ('0.270', '0.174'), ('0.248', '0.280'), ('0.256', '0.257'), ('0.247', '0.248')]","('0.2519', '0.2629')"
SVM,ngram_notes,6,1,sigmoid,False,False,"[('0.268', '0.250'), ('0.268', '0.191'), ('0.253', '0.380'), ('0.253', '0.228'), ('0.253', '0.265'), ('0.252', '0.338'), ('0.272', '0.134'), ('0.259', '0.308'), ('0.251', '0.307'), ('0.274', '0.252')]","('0.2603', '0.2653')"
