MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,5,8,linear,False,False,"[('0.443', '0.229'), ('0.452', '0.145'), ('0.437', '0.287'), ('0.441', '0.209'), ('0.458', '0.240'), ('0.449', '0.259'), ('0.404', '0.132'), ('0.435', '0.242'), ('0.439', '0.354'), ('0.440', '0.220')]","('0.4398', '0.2317')"
SVM,ngram_notes,4,1,sigmoid,False,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
SVM,ngram_notes,4,1,sigmoid,True,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
SVM,ngram_notes,7,8,linear,False,False,"[('0.528', '0.178'), ('0.550', '0.154'), ('0.494', '0.213'), ('0.510', '0.209'), ('0.502', '0.292'), ('0.509', '0.287'), ('0.504', '0.176'), ('0.497', '0.274'), ('0.496', '0.316'), ('0.485', '0.293')]","('0.5075', '0.2392')"
SVM,ngram_notes,6,8,linear,False,False,"[('0.511', '0.220'), ('0.501', '0.145'), ('0.448', '0.309'), ('0.468', '0.191'), ('0.495', '0.198'), ('0.460', '0.269'), ('0.472', '0.231'), ('0.468', '0.263'), ('0.458', '0.354'), ('0.451', '0.244')]","('0.4732', '0.2424')"
SVM,ngram_notes,8,8,linear,False,False,"[('0.542', '0.203'), ('0.563', '0.179'), ('0.514', '0.255'), ('0.563', '0.217'), ('0.517', '0.281'), ('0.545', '0.259'), ('0.518', '0.165'), ('0.527', '0.274'), ('0.519', '0.304'), ('0.514', '0.293')]","('0.5322', '0.2430')"
SVM,ngram_notes,8,2,sigmoid,False,False,"[('0.239', '0.285'), ('0.258', '0.233'), ('0.252', '0.217'), ('0.247', '0.218'), ('0.250', '0.298'), ('0.218', '0.356'), ('0.260', '0.148'), ('0.246', '0.296'), ('0.255', '0.220'), ('0.251', '0.218')]","('0.2476', '0.2489')"
SVM,ngram_notes,8,6,linear,False,False,"[('0.480', '0.270'), ('0.484', '0.132'), ('0.452', '0.214'), ('0.463', '0.306'), ('0.437', '0.245'), ('0.460', '0.216'), ('0.457', '0.162'), ('0.447', '0.362'), ('0.451', '0.315'), ('0.443', '0.279')]","('0.4574', '0.2501')"
SVM,ngram_notes,7,8,linear,True,False,"[('0.586', '0.280'), ('0.614', '0.145'), ('0.569', '0.298'), ('0.583', '0.278'), ('0.605', '0.250'), ('0.590', '0.315'), ('0.572', '0.176'), ('0.595', '0.253'), ('0.589', '0.316'), ('0.565', '0.220')]","('0.5868', '0.2531')"
SVM,ngram_notes,7,1,sigmoid,False,False,"[('0.263', '0.212'), ('0.277', '0.183'), ('0.255', '0.370'), ('0.282', '0.191'), ('0.264', '0.222'), ('0.245', '0.316'), ('0.260', '0.193'), ('0.260', '0.277'), ('0.260', '0.307'), ('0.273', '0.261')]","('0.2639', '0.2532')"
SVM,ngram_notes,7,1,sigmoid,True,False,"[('0.263', '0.212'), ('0.277', '0.183'), ('0.255', '0.370'), ('0.282', '0.191'), ('0.264', '0.222'), ('0.245', '0.316'), ('0.260', '0.193'), ('0.260', '0.277'), ('0.260', '0.307'), ('0.273', '0.261')]","('0.2639', '0.2532')"
SVM,ngram_notes,1,2,sigmoid,True,False,"[('0.312', '0.392'), ('0.325', '0.194'), ('0.270', '0.330'), ('0.300', '0.286'), ('0.299', '0.246'), ('0.270', '0.242'), ('0.311', '0.183'), ('0.265', '0.224'), ('0.296', '0.119'), ('0.298', '0.327')]","('0.2946', '0.2543')"
SVM,ngram_notes,8,2,sigmoid,True,False,"[('0.253', '0.292'), ('0.256', '0.217'), ('0.260', '0.283'), ('0.262', '0.226'), ('0.247', '0.307'), ('0.233', '0.348'), ('0.270', '0.139'), ('0.227', '0.272'), ('0.254', '0.211'), ('0.240', '0.257')]","('0.2502', '0.2552')"
SVM,ngram_notes,7,2,sigmoid,True,False,"[('0.252', '0.331'), ('0.251', '0.202'), ('0.255', '0.236'), ('0.268', '0.218'), ('0.257', '0.342'), ('0.228', '0.303'), ('0.266', '0.139'), ('0.233', '0.288'), ('0.256', '0.248'), ('0.243', '0.248')]","('0.2509', '0.2555')"
SVM,ngram_notes,8,8,linear,True,False,"[('0.621', '0.263'), ('0.646', '0.171'), ('0.602', '0.277'), ('0.644', '0.287'), ('0.604', '0.229'), ('0.595', '0.352'), ('0.608', '0.176'), ('0.612', '0.347'), ('0.601', '0.304'), ('0.595', '0.171')]","('0.6128', '0.2577')"
SVM,ngram_notes,8,7,linear,False,False,"[('0.514', '0.233'), ('0.540', '0.160'), ('0.486', '0.260'), ('0.519', '0.237'), ('0.489', '0.313'), ('0.504', '0.232'), ('0.488', '0.200'), ('0.487', '0.310'), ('0.483', '0.381'), ('0.456', '0.275')]","('0.4966', '0.2601')"
SVM,ngram_notes,4,8,linear,False,False,"[('0.421', '0.246'), ('0.438', '0.171'), ('0.423', '0.351'), ('0.418', '0.270'), ('0.428', '0.229'), ('0.428', '0.287'), ('0.403', '0.165'), ('0.423', '0.316'), ('0.406', '0.278'), ('0.428', '0.293')]","('0.4216', '0.2606')"
SVM,ngram_notes,7,2,sigmoid,False,False,"[('0.247', '0.308'), ('0.257', '0.240'), ('0.263', '0.208'), ('0.259', '0.233'), ('0.243', '0.325'), ('0.229', '0.356'), ('0.270', '0.174'), ('0.248', '0.280'), ('0.256', '0.257'), ('0.247', '0.248')]","('0.2519', '0.2629')"
SVM,ngram_notes,6,1,sigmoid,False,False,"[('0.268', '0.250'), ('0.268', '0.191'), ('0.253', '0.380'), ('0.253', '0.228'), ('0.253', '0.265'), ('0.252', '0.338'), ('0.272', '0.134'), ('0.259', '0.308'), ('0.251', '0.307'), ('0.274', '0.252')]","('0.2603', '0.2653')"
SVM,ngram_notes,6,1,sigmoid,True,False,"[('0.268', '0.250'), ('0.268', '0.191'), ('0.253', '0.380'), ('0.253', '0.228'), ('0.253', '0.265'), ('0.252', '0.338'), ('0.272', '0.134'), ('0.259', '0.308'), ('0.251', '0.307'), ('0.274', '0.252')]","('0.2603', '0.2653')"
SVM,ngram_notes,5,7,linear,False,False,"[('0.440', '0.267'), ('0.478', '0.143'), ('0.429', '0.333'), ('0.424', '0.271'), ('0.445', '0.222'), ('0.446', '0.241'), ('0.419', '0.168'), ('0.430', '0.310'), ('0.406', '0.333'), ('0.404', '0.373')]","('0.4321', '0.2661')"
SVM,ngram_notes,8,1,sigmoid,False,False,"[('0.263', '0.235'), ('0.282', '0.221'), ('0.264', '0.370'), ('0.282', '0.199'), ('0.258', '0.256'), ('0.248', '0.338'), ('0.278', '0.193'), ('0.262', '0.277'), ('0.263', '0.333'), ('0.269', '0.261')]","('0.2669', '0.2683')"
SVM,ngram_notes,8,1,sigmoid,True,False,"[('0.263', '0.235'), ('0.282', '0.221'), ('0.264', '0.370'), ('0.282', '0.199'), ('0.258', '0.256'), ('0.248', '0.338'), ('0.278', '0.193'), ('0.262', '0.277'), ('0.263', '0.333'), ('0.269', '0.261')]","('0.2669', '0.2683')"
SVM,ngram_notes,7,6,linear,False,False,"[('0.459', '0.320'), ('0.457', '0.140'), ('0.434', '0.235'), ('0.436', '0.289'), ('0.433', '0.265'), ('0.456', '0.224'), ('0.430', '0.172'), ('0.467', '0.390'), ('0.443', '0.371'), ('0.434', '0.279')]","('0.4449', '0.2685')"
SVM,ngram_notes,6,7,linear,False,False,"[('0.443', '0.250'), ('0.484', '0.143'), ('0.438', '0.323'), ('0.439', '0.254'), ('0.451', '0.222'), ('0.468', '0.286'), ('0.407', '0.200'), ('0.463', '0.320'), ('0.437', '0.393'), ('0.441', '0.314')]","('0.4471', '0.2705')"
SVM,ngram_notes,6,6,linear,False,False,"[('0.424', '0.279'), ('0.447', '0.149'), ('0.429', '0.316'), ('0.413', '0.289'), ('0.432', '0.216'), ('0.424', '0.250'), ('0.401', '0.232'), ('0.420', '0.362'), ('0.414', '0.337'), ('0.427', '0.279')]","('0.4231', '0.2709')"
SVM,ngram_notes,7,7,linear,False,False,"[('0.488', '0.258'), ('0.516', '0.143'), ('0.464', '0.271'), ('0.471', '0.229'), ('0.477', '0.263'), ('0.475', '0.268'), ('0.473', '0.211'), ('0.473', '0.310'), ('0.474', '0.393'), ('0.464', '0.373')]","('0.4775', '0.2719')"
SVM,ngram_notes,3,8,linear,False,False,"[('0.382', '0.305'), ('0.425', '0.179'), ('0.398', '0.319'), ('0.385', '0.313'), ('0.414', '0.250'), ('0.402', '0.278'), ('0.389', '0.154'), ('0.397', '0.358'), ('0.379', '0.304'), ('0.378', '0.268')]","('0.3949', '0.2728')"
SVM,ngram_notes,3,1,sigmoid,False,False,"[('0.293', '0.250'), ('0.303', '0.206'), ('0.264', '0.389'), ('0.271', '0.243'), ('0.246', '0.282'), ('0.289', '0.309'), ('0.291', '0.244'), ('0.282', '0.292'), ('0.307', '0.272'), ('0.271', '0.252')]","('0.2817', '0.2739')"
SVM,ngram_notes,3,1,sigmoid,True,False,"[('0.293', '0.250'), ('0.303', '0.206'), ('0.264', '0.389'), ('0.271', '0.243'), ('0.246', '0.282'), ('0.289', '0.309'), ('0.291', '0.244'), ('0.282', '0.292'), ('0.307', '0.272'), ('0.271', '0.252')]","('0.2817', '0.2739')"
SVM,ngram_notes,8,5,linear,False,False,"[('0.452', '0.290'), ('0.449', '0.122'), ('0.429', '0.260'), ('0.448', '0.290'), ('0.433', '0.295'), ('0.426', '0.225'), ('0.426', '0.146'), ('0.422', '0.427'), ('0.413', '0.394'), ('0.430', '0.296')]","('0.4328', '0.2745')"
SVM,ngram_notes,5,1,sigmoid,False,False,"[('0.291', '0.280'), ('0.288', '0.221'), ('0.257', '0.361'), ('0.274', '0.265'), ('0.259', '0.274'), ('0.265', '0.294'), ('0.274', '0.126'), ('0.262', '0.308'), ('0.262', '0.342'), ('0.275', '0.279')]","('0.2707', '0.2750')"
SVM,ngram_notes,5,1,sigmoid,True,False,"[('0.291', '0.280'), ('0.288', '0.221'), ('0.257', '0.361'), ('0.274', '0.265'), ('0.259', '0.274'), ('0.265', '0.294'), ('0.274', '0.126'), ('0.262', '0.308'), ('0.262', '0.342'), ('0.275', '0.279')]","('0.2707', '0.2750')"
SVM,ngram_notes,1,8,sigmoid,True,False,"[('0.303', '0.288'), ('0.308', '0.248'), ('0.303', '0.266'), ('0.309', '0.235'), ('0.300', '0.312'), ('0.286', '0.213'), ('0.315', '0.154'), ('0.290', '0.400'), ('0.291', '0.405'), ('0.302', '0.244')]","('0.3007', '0.2765')"
SVM,ngram_notes,8,8,sigmoid,False,False,"[('0.304', '0.288'), ('0.309', '0.248'), ('0.306', '0.266'), ('0.312', '0.226'), ('0.301', '0.312'), ('0.281', '0.213'), ('0.317', '0.154'), ('0.290', '0.411'), ('0.293', '0.405'), ('0.304', '0.244')]","('0.3017', '0.2767')"
SVM,ngram_notes,1,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,2,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,3,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,4,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,5,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,6,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,7,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,8,8,rbf,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,1,8,sigmoid,False,False,"[('0.303', '0.288'), ('0.307', '0.248'), ('0.303', '0.266'), ('0.309', '0.226'), ('0.297', '0.312'), ('0.284', '0.222'), ('0.314', '0.154'), ('0.290', '0.411'), ('0.288', '0.405'), ('0.300', '0.244')]","('0.2995', '0.2776')"
SVM,ngram_notes,2,8,sigmoid,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.287', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3034', '0.2776')"
SVM,ngram_notes,3,8,sigmoid,False,False,"[('0.304', '0.288'), ('0.309', '0.248'), ('0.306', '0.266'), ('0.312', '0.235'), ('0.301', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.290', '0.411'), ('0.293', '0.405'), ('0.304', '0.244')]","('0.3024', '0.2776')"
SVM,ngram_notes,4,8,sigmoid,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,5,8,sigmoid,False,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,6,8,sigmoid,False,False,"[('0.304', '0.288'), ('0.309', '0.248'), ('0.306', '0.266'), ('0.312', '0.235'), ('0.301', '0.312'), ('0.286', '0.213'), ('0.317', '0.154'), ('0.290', '0.411'), ('0.293', '0.405'), ('0.304', '0.244')]","('0.3022', '0.2776')"
SVM,ngram_notes,1,8,rbf,True,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,2,8,rbf,True,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,3,8,rbf,True,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
SVM,ngram_notes,4,8,rbf,True,False,"[('0.305', '0.288'), ('0.311', '0.248'), ('0.307', '0.266'), ('0.312', '0.235'), ('0.302', '0.312'), ('0.286', '0.213'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.294', '0.405'), ('0.306', '0.244')]","('0.3033', '0.2776')"
