RATIOS-
[0.10770440251572327, 0.1029874213836478, 0.08569182389937106, 0.1069182389937107, 0.09276729559748427, 0.10927672955974843, 0.0959119496855346, 0.10220125786163523, 0.09040880503144653, 0.0880503144654088]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.360', '0.267'), ('0.370', '0.200'), ('0.351', '0.308'), ('0.371', '0.274'), ('0.363', '0.276'), ('0.346', '0.437'), ('0.369', '0.186'), ('0.345', '0.364'), ('0.347', '0.381'), ('0.341', '0.409')]('0.3563', '0.3102')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.360', '0.267'), ('0.370', '0.200'), ('0.351', '0.308'), ('0.371', '0.274'), ('0.363', '0.276'), ('0.346', '0.437'), ('0.369', '0.186'), ('0.345', '0.364'), ('0.347', '0.381'), ('0.341', '0.409')]('0.3563', '0.3102')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.360', '0.267'), ('0.370', '0.200'), ('0.351', '0.308'), ('0.371', '0.274'), ('0.363', '0.276'), ('0.346', '0.437'), ('0.369', '0.186'), ('0.345', '0.364'), ('0.347', '0.381'), ('0.341', '0.409')]('0.3563', '0.3102')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.346', '0.298'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3418', '0.3314')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.346', '0.298'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3418', '0.3314')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.346', '0.298'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3418', '0.3314')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.354', '0.260'), ('0.367', '0.208'), ('0.355', '0.271'), ('0.355', '0.274'), ('0.356', '0.241'), ('0.333', '0.444'), ('0.366', '0.178'), ('0.337', '0.442'), ('0.342', '0.389'), ('0.344', '0.409')]('0.3509', '0.3116')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.354', '0.260'), ('0.367', '0.208'), ('0.355', '0.271'), ('0.355', '0.274'), ('0.356', '0.241'), ('0.333', '0.444'), ('0.366', '0.178'), ('0.337', '0.442'), ('0.342', '0.389'), ('0.344', '0.409')]('0.3509', '0.3116')
