MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.303', '0.267'), ('0.284', '0.243'), ('0.268', '0.294'), ('0.274', '0.282'), ('0.285', '0.325')]","('0.2828', '0.2822')"
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.295', '0.244'), ('0.288', '0.272'), ('0.267', '0.341'), ('0.272', '0.286'), ('0.260', '0.342')]","('0.2764', '0.2970')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,linear,False,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,5,1,sigmoid,False,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,rbf,True,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,linear,True,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,5,1,sigmoid,True,True,"[('0.355', '0.282'), ('0.359', '0.267'), ('0.328', '0.393'), ('0.344', '0.327'), ('0.321', '0.426')]","('0.3414', '0.3390')"
SVM,previous_ngram_notes,4,1,rbf,True,False,"[('0.372', '0.282'), ('0.359', '0.267'), ('0.343', '0.397'), ('0.352', '0.327'), ('0.337', '0.426')]","('0.3526', '0.3398')"
SVM,previous_ngram_notes,4,1,linear,True,False,"[('1.000', '1.000'), ('1.000', '1.000'), ('0.999', '0.980'), ('0.994', '0.968'), ('1.000', '1.000')]","('0.9986', '0.9896')"
