MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,8,8,identity,False,False,"[('0.626', '0.158'), ('0.606', '0.240'), ('0.624', '0.212'), ('0.634', '0.179'), ('0.593', '0.185')]","('0.6166', '0.1948')"
LogReg,ngram_notes,5,8,identity,False,False,"[('0.485', '0.230'), ('0.529', '0.199'), ('0.508', '0.248'), ('0.502', '0.195'), ('0.520', '0.123')]","('0.5088', '0.1990')"
LogReg,ngram_notes,6,7,identity,False,False,"[('0.488', '0.232'), ('0.509', '0.220'), ('0.545', '0.211'), ('0.506', '0.186'), ('0.523', '0.149')]","('0.5142', '0.1996')"
LogReg,ngram_notes,6,8,identity,False,False,"[('0.509', '0.164'), ('0.548', '0.192'), ('0.544', '0.219'), ('0.539', '0.236'), ('0.545', '0.198')]","('0.5370', '0.2018')"
LogReg,ngram_notes,8,8,identity,True,False,"[('0.680', '0.204'), ('0.669', '0.226'), ('0.671', '0.204'), ('0.667', '0.228'), ('0.634', '0.148')]","('0.6642', '0.2020')"
LogReg,ngram_notes,8,6,identity,False,False,"[('0.539', '0.222'), ('0.548', '0.227'), ('0.543', '0.197'), ('0.554', '0.185'), ('0.537', '0.204')]","('0.5442', '0.2070')"
LogReg,ngram_notes,7,8,identity,True,False,"[('0.632', '0.211'), ('0.649', '0.260'), ('0.659', '0.197'), ('0.665', '0.195'), ('0.633', '0.185')]","('0.6476', '0.2096')"
LogReg,ngram_notes,8,7,identity,False,False,"[('0.594', '0.206'), ('0.591', '0.240'), ('0.608', '0.204'), ('0.597', '0.209'), ('0.582', '0.207')]","('0.5944', '0.2132')"
LogReg,ngram_notes,6,8,identity,True,False,"[('0.575', '0.224'), ('0.629', '0.205'), ('0.633', '0.226'), ('0.628', '0.252'), ('0.604', '0.173')]","('0.6138', '0.2160')"
LogReg,ngram_notes,7,8,identity,False,False,"[('0.577', '0.125'), ('0.604', '0.240'), ('0.586', '0.255'), ('0.603', '0.252'), ('0.573', '0.210')]","('0.5886', '0.2164')"
LogReg,ngram_notes,7,6,identity,False,False,"[('0.507', '0.184'), ('0.538', '0.240'), ('0.537', '0.204'), ('0.525', '0.252'), ('0.519', '0.204')]","('0.5252', '0.2168')"
LogReg,ngram_notes,7,7,identity,False,False,"[('0.518', '0.219'), ('0.552', '0.260'), ('0.559', '0.211'), ('0.590', '0.202'), ('0.547', '0.207')]","('0.5532', '0.2198')"
LogReg,ngram_notes,6,6,identity,False,False,"[('0.442', '0.222'), ('0.475', '0.260'), ('0.502', '0.204'), ('0.457', '0.237'), ('0.495', '0.183')]","('0.4742', '0.2212')"
LogReg,ngram_notes,8,6,identity,False,True,"[('0.312', '0.297'), ('0.315', '0.253'), ('0.333', '0.279'), ('0.357', '0.215'), ('0.370', '0.075')]","('0.3374', '0.2238')"
LogReg,ngram_notes,8,6,identity,True,True,"[('0.312', '0.297'), ('0.315', '0.253'), ('0.333', '0.279'), ('0.357', '0.215'), ('0.370', '0.075')]","('0.3374', '0.2238')"
LogReg,ngram_notes,7,4,identity,False,False,"[('0.452', '0.195'), ('0.478', '0.259'), ('0.446', '0.268'), ('0.456', '0.231'), ('0.449', '0.171')]","('0.4562', '0.2248')"
LogReg,ngram_notes,6,5,identity,False,False,"[('0.440', '0.205'), ('0.472', '0.285'), ('0.463', '0.204'), ('0.451', '0.220'), ('0.469', '0.212')]","('0.4590', '0.2252')"
LogReg,ngram_notes,5,1,identity,False,False,"[('0.317', '0.289'), ('0.318', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.171')]","('0.3400', '0.2256')"
LogReg,ngram_notes,5,1,identity,True,False,"[('0.317', '0.289'), ('0.318', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.171')]","('0.3400', '0.2256')"
LogReg,ngram_notes,5,7,identity,False,False,"[('0.472', '0.258'), ('0.493', '0.233'), ('0.505', '0.239'), ('0.483', '0.217'), ('0.509', '0.184')]","('0.4924', '0.2262')"
LogReg,ngram_notes,6,4,identity,False,False,"[('0.419', '0.207'), ('0.450', '0.259'), ('0.452', '0.255'), ('0.410', '0.211'), ('0.452', '0.200')]","('0.4366', '0.2264')"
LogReg,ngram_notes,7,5,identity,False,False,"[('0.487', '0.180'), ('0.495', '0.278'), ('0.483', '0.243'), ('0.509', '0.220'), ('0.484', '0.212')]","('0.4916', '0.2266')"
LogReg,ngram_notes,4,1,identity,False,False,"[('0.301', '0.295'), ('0.318', '0.270'), ('0.354', '0.192'), ('0.336', '0.212'), ('0.351', '0.171')]","('0.3320', '0.2280')"
LogReg,ngram_notes,8,5,identity,False,False,"[('0.513', '0.186'), ('0.515', '0.228'), ('0.506', '0.217'), ('0.519', '0.206'), ('0.516', '0.303')]","('0.5138', '0.2280')"
LogReg,ngram_notes,4,1,identity,True,False,"[('0.301', '0.295'), ('0.318', '0.270'), ('0.354', '0.192'), ('0.336', '0.212'), ('0.351', '0.171')]","('0.3320', '0.2280')"
LogReg,ngram_notes,7,6,identity,False,True,"[('0.318', '0.278'), ('0.317', '0.253'), ('0.331', '0.293'), ('0.346', '0.230'), ('0.362', '0.086')]","('0.3348', '0.2280')"
LogReg,ngram_notes,4,2,identity,True,False,"[('0.312', '0.329'), ('0.367', '0.235'), ('0.373', '0.186'), ('0.353', '0.264'), ('0.366', '0.128')]","('0.3542', '0.2284')"
LogReg,ngram_notes,7,5,identity,False,True,"[('0.325', '0.292'), ('0.297', '0.259'), ('0.313', '0.276'), ('0.332', '0.227'), ('0.332', '0.091')]","('0.3198', '0.2290')"
LogReg,ngram_notes,7,5,identity,True,True,"[('0.327', '0.292'), ('0.297', '0.259'), ('0.313', '0.276'), ('0.332', '0.227'), ('0.332', '0.091')]","('0.3202', '0.2290')"
LogReg,ngram_notes,8,5,identity,False,True,"[('0.316', '0.292'), ('0.302', '0.259'), ('0.309', '0.270'), ('0.335', '0.234'), ('0.348', '0.091')]","('0.3220', '0.2292')"
LogReg,ngram_notes,8,5,identity,True,True,"[('0.316', '0.292'), ('0.302', '0.259'), ('0.309', '0.270'), ('0.337', '0.234'), ('0.350', '0.091')]","('0.3228', '0.2292')"
LogReg,ngram_notes,7,6,identity,True,True,"[('0.318', '0.285'), ('0.317', '0.253'), ('0.331', '0.293'), ('0.346', '0.230'), ('0.362', '0.086')]","('0.3348', '0.2294')"
LogReg,ngram_notes,6,2,identity,True,False,"[('0.334', '0.324'), ('0.375', '0.235'), ('0.386', '0.168'), ('0.373', '0.270'), ('0.380', '0.154')]","('0.3696', '0.2302')"
LogReg,ngram_notes,8,4,identity,False,True,"[('0.320', '0.299'), ('0.307', '0.265'), ('0.313', '0.261'), ('0.330', '0.231'), ('0.344', '0.105')]","('0.3228', '0.2322')"
LogReg,ngram_notes,8,4,identity,True,True,"[('0.320', '0.299'), ('0.307', '0.265'), ('0.313', '0.261'), ('0.330', '0.231'), ('0.343', '0.105')]","('0.3226', '0.2322')"
LogReg,ngram_notes,5,8,identity,True,False,"[('0.542', '0.270'), ('0.613', '0.233'), ('0.596', '0.255'), ('0.607', '0.244'), ('0.595', '0.160')]","('0.5906', '0.2324')"
LogReg,ngram_notes,6,5,identity,True,True,"[('0.324', '0.267'), ('0.300', '0.272'), ('0.335', '0.263'), ('0.330', '0.234'), ('0.343', '0.131')]","('0.3264', '0.2334')"
LogReg,ngram_notes,8,3,identity,False,True,"[('0.333', '0.317'), ('0.309', '0.271'), ('0.310', '0.265'), ('0.338', '0.235'), ('0.335', '0.081')]","('0.3250', '0.2338')"
LogReg,ngram_notes,5,2,identity,False,False,"[('0.328', '0.294'), ('0.347', '0.206'), ('0.378', '0.198'), ('0.377', '0.233'), ('0.396', '0.239')]","('0.3652', '0.2340')"
LogReg,ngram_notes,7,4,identity,False,True,"[('0.327', '0.293'), ('0.309', '0.272'), ('0.313', '0.274'), ('0.328', '0.218'), ('0.333', '0.114')]","('0.3220', '0.2342')"
LogReg,ngram_notes,7,4,identity,True,True,"[('0.327', '0.293'), ('0.309', '0.272'), ('0.313', '0.274'), ('0.328', '0.218'), ('0.332', '0.114')]","('0.3218', '0.2342')"
LogReg,ngram_notes,6,4,identity,True,False,"[('0.415', '0.238'), ('0.478', '0.247'), ('0.471', '0.261'), ('0.429', '0.265'), ('0.457', '0.162')]","('0.4500', '0.2346')"
LogReg,ngram_notes,7,2,identity,True,False,"[('0.390', '0.282'), ('0.398', '0.247'), ('0.394', '0.198'), ('0.397', '0.258'), ('0.392', '0.188')]","('0.3942', '0.2346')"
LogReg,ngram_notes,6,5,identity,False,True,"[('0.324', '0.267'), ('0.300', '0.278'), ('0.335', '0.263'), ('0.330', '0.234'), ('0.345', '0.131')]","('0.3268', '0.2346')"
LogReg,ngram_notes,6,4,identity,False,True,"[('0.327', '0.280'), ('0.300', '0.284'), ('0.317', '0.287'), ('0.320', '0.218'), ('0.332', '0.105')]","('0.3192', '0.2348')"
LogReg,ngram_notes,6,4,identity,True,True,"[('0.327', '0.280'), ('0.300', '0.284'), ('0.320', '0.287'), ('0.320', '0.218'), ('0.330', '0.105')]","('0.3194', '0.2348')"
LogReg,ngram_notes,5,4,identity,False,True,"[('0.333', '0.293'), ('0.302', '0.278'), ('0.318', '0.293'), ('0.325', '0.218'), ('0.324', '0.095')]","('0.3204', '0.2354')"
LogReg,ngram_notes,8,4,identity,False,False,"[('0.469', '0.256'), ('0.490', '0.222'), ('0.462', '0.268'), ('0.471', '0.204'), ('0.468', '0.229')]","('0.4720', '0.2358')"
LogReg,ngram_notes,8,3,identity,True,True,"[('0.333', '0.329'), ('0.309', '0.271'), ('0.310', '0.265'), ('0.338', '0.235'), ('0.335', '0.081')]","('0.3250', '0.2362')"
LogReg,ngram_notes,5,6,identity,False,False,"[('0.429', '0.234'), ('0.454', '0.266'), ('0.472', '0.245'), ('0.447', '0.222'), ('0.475', '0.215')]","('0.4554', '0.2364')"
LogReg,ngram_notes,7,2,identity,False,False,"[('0.375', '0.294'), ('0.367', '0.253'), ('0.381', '0.210'), ('0.385', '0.264'), ('0.396', '0.162')]","('0.3808', '0.2366')"
LogReg,ngram_notes,5,4,identity,True,True,"[('0.333', '0.293'), ('0.302', '0.278'), ('0.318', '0.293'), ('0.325', '0.224'), ('0.324', '0.095')]","('0.3204', '0.2366')"
LogReg,ngram_notes,8,3,identity,False,False,"[('0.426', '0.269'), ('0.435', '0.241'), ('0.430', '0.216'), ('0.439', '0.255'), ('0.460', '0.207')]","('0.4380', '0.2376')"
LogReg,ngram_notes,3,2,identity,True,False,"[('0.315', '0.371'), ('0.357', '0.253'), ('0.352', '0.174'), ('0.353', '0.264'), ('0.383', '0.128')]","('0.3520', '0.2380')"
LogReg,ngram_notes,6,6,identity,False,True,"[('0.327', '0.291'), ('0.302', '0.279'), ('0.344', '0.265'), ('0.335', '0.237'), ('0.365', '0.118')]","('0.3346', '0.2380')"
LogReg,ngram_notes,6,6,identity,True,True,"[('0.327', '0.291'), ('0.302', '0.279'), ('0.344', '0.265'), ('0.335', '0.237'), ('0.367', '0.118')]","('0.3350', '0.2380')"
LogReg,ngram_notes,7,3,identity,False,False,"[('0.395', '0.269'), ('0.435', '0.265'), ('0.437', '0.235'), ('0.431', '0.242'), ('0.457', '0.180')]","('0.4310', '0.2382')"
LogReg,ngram_notes,3,2,identity,False,True,"[('0.289', '0.282'), ('0.308', '0.276'), ('0.308', '0.257'), ('0.316', '0.233'), ('0.323', '0.145')]","('0.3088', '0.2386')"
LogReg,ngram_notes,3,2,identity,True,True,"[('0.289', '0.282'), ('0.308', '0.276'), ('0.310', '0.257'), ('0.317', '0.233'), ('0.324', '0.145')]","('0.3096', '0.2386')"
LogReg,ngram_notes,7,3,identity,False,True,"[('0.321', '0.305'), ('0.307', '0.271'), ('0.313', '0.284'), ('0.335', '0.235'), ('0.330', '0.099')]","('0.3212', '0.2388')"
LogReg,ngram_notes,4,8,identity,False,False,"[('0.448', '0.270'), ('0.491', '0.247'), ('0.490', '0.285'), ('0.463', '0.220'), ('0.489', '0.173')]","('0.4762', '0.2390')"
LogReg,ngram_notes,5,5,identity,False,False,"[('0.416', '0.236'), ('0.441', '0.266'), ('0.440', '0.263'), ('0.428', '0.213'), ('0.446', '0.222')]","('0.4342', '0.2400')"
LogReg,ngram_notes,4,5,identity,False,True,"[('0.327', '0.261'), ('0.311', '0.285'), ('0.326', '0.283'), ('0.337', '0.241'), ('0.343', '0.131')]","('0.3288', '0.2402')"
LogReg,ngram_notes,4,5,identity,True,True,"[('0.325', '0.261'), ('0.311', '0.285'), ('0.326', '0.283'), ('0.337', '0.241'), ('0.343', '0.131')]","('0.3284', '0.2402')"
LogReg,ngram_notes,7,3,identity,True,True,"[('0.321', '0.305'), ('0.307', '0.271'), ('0.313', '0.284'), ('0.333', '0.242'), ('0.330', '0.099')]","('0.3208', '0.2402')"
LogReg,ngram_notes,6,2,identity,False,False,"[('0.349', '0.306'), ('0.369', '0.241'), ('0.375', '0.216'), ('0.362', '0.245'), ('0.393', '0.197')]","('0.3696', '0.2410')"
LogReg,ngram_notes,1,2,identity,True,False,"[('0.310', '0.376'), ('0.321', '0.188'), ('0.328', '0.204'), ('0.329', '0.296'), ('0.342', '0.145')]","('0.3260', '0.2418')"
LogReg,ngram_notes,4,4,identity,False,True,"[('0.329', '0.287'), ('0.304', '0.278'), ('0.329', '0.287'), ('0.330', '0.224'), ('0.329', '0.133')]","('0.3242', '0.2418')"
LogReg,ngram_notes,4,4,identity,True,True,"[('0.329', '0.287'), ('0.304', '0.278'), ('0.329', '0.287'), ('0.330', '0.224'), ('0.332', '0.133')]","('0.3248', '0.2418')"
LogReg,ngram_notes,5,5,identity,False,True,"[('0.324', '0.267'), ('0.302', '0.278'), ('0.322', '0.283'), ('0.337', '0.241'), ('0.338', '0.141')]","('0.3246', '0.2420')"
LogReg,ngram_notes,3,2,identity,False,False,"[('0.339', '0.335'), ('0.318', '0.229'), ('0.359', '0.228'), ('0.349', '0.233'), ('0.380', '0.188')]","('0.3490', '0.2426')"
LogReg,ngram_notes,5,4,identity,False,False,"[('0.408', '0.220'), ('0.422', '0.259'), ('0.424', '0.293'), ('0.400', '0.231'), ('0.419', '0.210')]","('0.4146', '0.2426')"
LogReg,ngram_notes,5,5,identity,True,True,"[('0.324', '0.273'), ('0.302', '0.278'), ('0.322', '0.283'), ('0.337', '0.241'), ('0.337', '0.141')]","('0.3244', '0.2432')"
LogReg,ngram_notes,8,2,identity,False,False,"[('0.382', '0.288'), ('0.370', '0.241'), ('0.388', '0.228'), ('0.391', '0.239'), ('0.420', '0.222')]","('0.3902', '0.2436')"
LogReg,ngram_notes,7,4,identity,True,False,"[('0.450', '0.244'), ('0.489', '0.272'), ('0.490', '0.261'), ('0.505', '0.231'), ('0.490', '0.210')]","('0.4848', '0.2436')"
LogReg,ngram_notes,1,2,identity,False,False,"[('0.289', '0.353'), ('0.325', '0.200'), ('0.328', '0.240'), ('0.321', '0.258'), ('0.330', '0.171')]","('0.3186', '0.2444')"
LogReg,ngram_notes,5,6,identity,False,True,"[('0.323', '0.304'), ('0.317', '0.286'), ('0.341', '0.265'), ('0.322', '0.259'), ('0.357', '0.108')]","('0.3320', '0.2444')"
LogReg,ngram_notes,5,6,identity,True,True,"[('0.325', '0.304'), ('0.317', '0.286'), ('0.341', '0.265'), ('0.324', '0.259'), ('0.355', '0.108')]","('0.3324', '0.2444')"
LogReg,ngram_notes,8,4,identity,True,False,"[('0.489', '0.287'), ('0.510', '0.241'), ('0.509', '0.248'), ('0.522', '0.218'), ('0.492', '0.229')]","('0.5044', '0.2446')"
LogReg,ngram_notes,5,3,identity,False,True,"[('0.314', '0.293'), ('0.304', '0.283'), ('0.312', '0.302'), ('0.347', '0.229'), ('0.341', '0.117')]","('0.3236', '0.2448')"
LogReg,ngram_notes,5,3,identity,True,True,"[('0.314', '0.293'), ('0.304', '0.283'), ('0.313', '0.302'), ('0.347', '0.229'), ('0.340', '0.117')]","('0.3236', '0.2448')"
LogReg,ngram_notes,8,6,identity,True,False,"[('0.558', '0.272'), ('0.598', '0.318'), ('0.620', '0.190'), ('0.623', '0.230'), ('0.601', '0.215')]","('0.6000', '0.2450')"
LogReg,ngram_notes,5,2,identity,True,False,"[('0.318', '0.318'), ('0.365', '0.235'), ('0.396', '0.204'), ('0.362', '0.296'), ('0.392', '0.179')]","('0.3666', '0.2464')"
LogReg,ngram_notes,3,1,identity,False,False,"[('0.298', '0.324'), ('0.321', '0.328'), ('0.357', '0.198'), ('0.341', '0.212'), ('0.338', '0.171')]","('0.3310', '0.2466')"
LogReg,ngram_notes,3,1,identity,True,False,"[('0.298', '0.324'), ('0.321', '0.328'), ('0.357', '0.198'), ('0.341', '0.212'), ('0.338', '0.171')]","('0.3310', '0.2466')"
LogReg,ngram_notes,1,1,identity,False,False,"[('0.289', '0.353'), ('0.306', '0.230'), ('0.276', '0.302'), ('0.318', '0.230'), ('0.336', '0.122')]","('0.3050', '0.2474')"
LogReg,ngram_notes,1,1,identity,True,False,"[('0.289', '0.353'), ('0.306', '0.230'), ('0.276', '0.302'), ('0.318', '0.230'), ('0.336', '0.122')]","('0.3050', '0.2474')"
LogReg,ngram_notes,2,7,identity,True,True,"[('0.315', '0.348'), ('0.294', '0.280'), ('0.342', '0.282'), ('0.345', '0.225'), ('0.372', '0.103')]","('0.3336', '0.2476')"
LogReg,ngram_notes,6,3,identity,False,True,"[('0.324', '0.299'), ('0.304', '0.283'), ('0.322', '0.302'), ('0.350', '0.229'), ('0.338', '0.126')]","('0.3276', '0.2478')"
