MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.285', '0.297'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.303', '0.228'), ('0.324', '0.197'), ('0.305', '0.212'), ('0.340', '0.188'), ('0.307', '0.333'), ('0.290', '0.300'), ('0.325', '0.157')]","('0.3103', '0.2385')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.300', '0.453'), ('0.317', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.323', '0.211'), ('0.309', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.312', '0.100'), ('0.318', '0.216')]","('0.3114', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,linear,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,5,1,sigmoid,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,linear,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,5,1,sigmoid,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,True,False,"[('0.327', '0.453'), ('0.317', '0.290'), ('0.330', '0.183'), ('0.324', '0.392'), ('0.334', '0.211'), ('0.330', '0.182'), ('0.343', '0.153'), ('0.319', '0.321'), ('0.325', '0.100'), ('0.351', '0.216')]","('0.3300', '0.2501')"
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.258', '0.234'), ('0.268', '0.308'), ('0.278', '0.323'), ('0.259', '0.253'), ('0.256', '0.225'), ('0.269', '0.253'), ('0.272', '0.235'), ('0.267', '0.295'), ('0.253', '0.329'), ('0.277', '0.137')]","('0.2657', '0.2592')"
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.259', '0.344'), ('0.281', '0.224'), ('0.267', '0.312'), ('0.258', '0.329'), ('0.289', '0.296'), ('0.268', '0.253'), ('0.251', '0.212'), ('0.271', '0.295'), ('0.245', '0.357'), ('0.257', '0.176')]","('0.2646', '0.2798')"
SVM,previous_ngram_notes,4,1,linear,True,False,"[('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('0.997', '0.987'), ('0.999', '1.000'), ('1.000', '1.000'), ('0.992', '0.894'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000')]","('0.9988', '0.9881')"
