MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,3,8,identity,True,False,"[('0.667', '0.400'), ('0.600', '0.286'), ('0.661', '0.133'), ('0.600', '0.444'), ('0.580', '0.200'), ('0.638', '0.600'), ('0.634', '0.000'), ('0.583', '0.000'), ('0.603', '0.000'), ('0.649', '0.000')]","('0.6215', '0.2063')"
MLP,ngram_notes,3,8,relu,True,False,"[('0.667', '0.400'), ('0.633', '0.286'), ('0.661', '0.133'), ('0.600', '0.444'), ('0.580', '0.200'), ('0.652', '0.600'), ('0.634', '0.000'), ('0.597', '0.000'), ('0.616', '0.000'), ('0.662', '0.000')]","('0.6302', '0.2063')"
MLP,ngram_notes,3,8,tanh,True,False,"[('0.648', '0.400'), ('0.583', '0.357'), ('0.661', '0.133'), ('0.600', '0.444'), ('0.551', '0.200'), ('0.609', '0.600'), ('0.634', '0.000'), ('0.583', '0.000'), ('0.589', '0.000'), ('0.622', '0.000')]","('0.6080', '0.2134')"
MLP,ngram_notes,3,8,identity,False,False,"[('0.648', '0.500'), ('0.583', '0.357'), ('0.644', '0.133'), ('0.569', '0.444'), ('0.536', '0.200'), ('0.594', '0.600'), ('0.620', '0.000'), ('0.569', '0.000'), ('0.589', '0.000'), ('0.608', '0.000')]","('0.5960', '0.2234')"
MLP,ngram_notes,3,8,relu,False,False,"[('0.648', '0.500'), ('0.583', '0.357'), ('0.627', '0.133'), ('0.569', '0.444'), ('0.522', '0.200'), ('0.609', '0.600'), ('0.620', '0.000'), ('0.583', '0.000'), ('0.603', '0.000'), ('0.608', '0.000')]","('0.5972', '0.2234')"
MLP,ngram_notes,3,8,tanh,False,False,"[('0.648', '0.500'), ('0.567', '0.357'), ('0.610', '0.133'), ('0.554', '0.444'), ('0.522', '0.200'), ('0.594', '0.600'), ('0.606', '0.000'), ('0.569', '0.000'), ('0.589', '0.000'), ('0.595', '0.000')]","('0.5854', '0.2234')"
MLP,ngram_notes,1,8,identity,True,False,"[('0.519', '0.250'), ('0.383', '0.500'), ('0.458', '0.133'), ('0.385', '0.444'), ('0.420', '0.200'), ('0.391', '0.400'), ('0.394', '0.333'), ('0.403', '0.000'), ('0.397', '0.000'), ('0.392', '0.000')]","('0.4142', '0.2260')"
MLP,ngram_notes,1,8,relu,True,False,"[('0.519', '0.250'), ('0.383', '0.500'), ('0.458', '0.133'), ('0.385', '0.444'), ('0.420', '0.200'), ('0.391', '0.400'), ('0.394', '0.333'), ('0.403', '0.000'), ('0.397', '0.000'), ('0.392', '0.000')]","('0.4142', '0.2260')"
MLP,ngram_notes,1,8,tanh,True,False,"[('0.519', '0.250'), ('0.367', '0.500'), ('0.458', '0.133'), ('0.385', '0.444'), ('0.406', '0.200'), ('0.391', '0.400'), ('0.394', '0.333'), ('0.403', '0.000'), ('0.397', '0.000'), ('0.392', '0.000')]","('0.4112', '0.2260')"
MLP,ngram_notes,1,7,identity,True,False,"[('0.431', '0.190'), ('0.380', '0.400'), ('0.471', '0.125'), ('0.368', '0.400'), ('0.450', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.463', '0.250'), ('0.434', '0.000'), ('0.453', '0.000')]","('0.4195', '0.2265')"
MLP,ngram_notes,1,7,tanh,True,False,"[('0.415', '0.190'), ('0.380', '0.400'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.450', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.451', '0.250'), ('0.434', '0.000'), ('0.453', '0.000')]","('0.4125', '0.2265')"
MLP,ngram_notes,1,7,identity,False,False,"[('0.369', '0.190'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.412', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.439', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3872', '0.2332')"
MLP,ngram_notes,1,7,relu,False,False,"[('0.369', '0.190'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.412', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.439', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3872', '0.2332')"
MLP,ngram_notes,1,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,2,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,3,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,4,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,5,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,6,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,7,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
