MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,2,8,linear,False,False,"[('0.975', '0.353'), ('0.840', '0.167'), ('0.841', '0.182'), ('0.797', '0.200'), ('0.797', '0.000')]","('0.8500', '0.1804')"
SVM,ngram_notes,1,8,linear,False,False,"[('0.850', '0.235'), ('0.720', '0.125'), ('0.730', '0.182'), ('0.681', '0.400'), ('0.703', '0.000')]","('0.7368', '0.1884')"
SVM,ngram_notes,1,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,2,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,3,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,4,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,5,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,6,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,7,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,8,8,rbf,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,1,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,2,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,3,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,4,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,5,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,6,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,7,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,8,8,sigmoid,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,1,8,rbf,True,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,2,8,rbf,True,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
SVM,ngram_notes,3,8,rbf,True,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
