MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,previous_ngram_notes,4,1,identity,False,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.379', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3627', '0.3203')"
LogReg,previous_ngram_notes,4,1,relu,False,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.379', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3627', '0.3203')"
LogReg,previous_ngram_notes,4,1,logistic,False,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.379', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3627', '0.3203')"
LogReg,previous_ngram_notes,4,1,tanh,False,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.379', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3627', '0.3203')"
LogReg,previous_ngram_notes,4,1,identity,True,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.373', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3621', '0.3203')"
LogReg,previous_ngram_notes,4,1,relu,True,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.373', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3621', '0.3203')"
LogReg,previous_ngram_notes,4,1,logistic,True,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.373', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3621', '0.3203')"
LogReg,previous_ngram_notes,4,1,tanh,True,True,"[('0.308', '0.231'), ('0.329', '0.500'), ('0.470', '0.143'), ('0.369', '0.133'), ('0.373', '0.000'), ('0.348', '0.545'), ('0.378', '0.125'), ('0.338', '0.267'), ('0.323', '0.714'), ('0.385', '0.545')]","('0.3621', '0.3203')"
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.452', '0.654'), ('0.368', '0.500'), ('0.444', '0.143'), ('0.420', '0.333'), ('0.435', '0.091'), ('0.391', '0.364'), ('0.404', '0.562'), ('0.357', '0.467'), ('0.456', '0.214'), ('0.373', '0.545')]","('0.4100', '0.3873')"
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.459', '0.654'), ('0.375', '0.500'), ('0.470', '0.095'), ('0.420', '0.333'), ('0.466', '0.182'), ('0.385', '0.364'), ('0.417', '0.562'), ('0.357', '0.533'), ('0.449', '0.143'), ('0.379', '0.545')]","('0.4177', '0.3911')"
