RATIOS-
[0.2784090909090909, 0.2159090909090909, 0.1875, 0.1875, 0.13068181818181818]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]('0.4804', '0.4604')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.680', '0.830'), ('0.815', '0.541'), ('0.681', '0.613'), ('0.736', '0.625'), ('0.740', '0.818')]('0.7304', '0.6854')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.536', '0.596'), ('0.607', '0.324'), ('0.539', '0.355'), ('0.529', '0.469'), ('0.453', '0.727')]('0.5328', '0.4942')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.536', '0.596'), ('0.607', '0.324'), ('0.539', '0.355'), ('0.529', '0.469'), ('0.453', '0.727')]('0.5328', '0.4942')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.536', '0.596'), ('0.607', '0.324'), ('0.539', '0.355'), ('0.529', '0.469'), ('0.453', '0.727')]('0.5328', '0.4942')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.432', '0.617'), ('0.459', '0.270'), ('0.447', '0.323'), ('0.407', '0.406'), ('0.413', '0.636')]('0.4316', '0.4504')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.432', '0.617'), ('0.459', '0.270'), ('0.447', '0.323'), ('0.407', '0.406'), ('0.413', '0.636')]('0.4316', '0.4504')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.432', '0.617'), ('0.459', '0.270'), ('0.447', '0.323'), ('0.407', '0.406'), ('0.413', '0.636')]('0.4316', '0.4504')
SVM                 previous_ngram_notes4                   1                   rbf                 True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   rbf                 True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
SVM                 previous_ngram_notes4                   1                   rbf                 True                False               [('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]('0.4848', '0.4876')
