MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.432', '0.617'), ('0.459', '0.270'), ('0.447', '0.323'), ('0.407', '0.406'), ('0.413', '0.636')]","('0.4316', '0.4504')"
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.440', '0.617'), ('0.496', '0.270'), ('0.461', '0.323'), ('0.407', '0.438'), ('0.420', '0.636')]","('0.4448', '0.4568')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,rbf,True,False,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,linear,False,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,5,1,sigmoid,False,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,rbf,True,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,linear,True,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,5,1,sigmoid,True,True,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.486', '0.469'), ('0.447', '0.727')]","('0.4848', '0.4876')"
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.536', '0.596'), ('0.607', '0.324'), ('0.539', '0.355'), ('0.529', '0.469'), ('0.453', '0.727')]","('0.5328', '0.4942')"
SVM,previous_ngram_notes,4,1,linear,True,False,"[('0.936', '0.936'), ('1.000', '0.595'), ('0.957', '1.000'), ('0.957', '1.000'), ('0.960', '1.000')]","('0.9620', '0.9062')"
