Tempo,127
72,53,587
72,0,758
72,51,917
48,51,1226
74,55,1257
72,0,1279
52,39,1551
55,57,1912
74,0,1917
72,45,1929
48,0,1939
60,39,2250
52,0,2498
55,0,2515
60,0,2526
48,55,2550
77,59,2595
72,0,2691
52,44,2880
48,0,3052
55,58,3237
76,60,3243
77,0,3243
60,44,3571
52,0,3601
48,41,3909
55,0,3970
60,0,4028
55,35,4256
60,48,4553
52,39,4867
55,0,4930
60,0,5050
55,53,5222
48,0,5413
60,45,5555
52,0,5765
55,0,5790
60,0,5821
76,0,5869
48,52,5872
72,44,5894
72,0,6044
52,53,6209
72,35,6219
55,54,6553
74,60,6558
48,0,6574
72,0,6619
60,46,6888
52,0,7074
60,0,7194
55,0,7221
74,0,7233
72,50,7234
48,52,7240
52,45,7559
72,0,7888
55,53,7895
79,55,7898
48,0,7953
60,51,8228
52,0,8248
55,0,8282
53,51,8571
79,0,8576
77,57,8583
60,0,8609
60,48,8920
65,44,9212
57,47,9567
60,0,9587
65,0,9640
60,50,9891
65,46,10227
53,0,10252
57,0,10449
60,0,10493
77,0,10515
72,50,10546
53,53,10577
65,0,10683
72,0,10723
57,57,10891
72,51,10907
53,0,10968
57,0,11024
84,57,11205
48,53,11224
72,0,11252
52,51,11535
81,53,11898
84,0,11899
55,60,11922
48,0,12034
60,47,12240
52,0,12246
55,0,12302
53,70,12568
77,61,12597
60,0,12622
81,0,12623
57,42,12901
76,59,13237
77,0,13263
60,48,13265
53,0,13575
65,57,13585
57,0,13762
60,0,13813
65,0,13886
74,62,13913
55,44,13927
76,0,13937
59,45,14232
62,47,14560
55,0,14707
67,48,14884
59,0,15150
55,58,15237
62,0,15284
67,0,15508
59,55,15546
55,0,15628
59,0,15669
46,66,15904
82,48,15915
74,0,15989
82,0,16049
82,49,16210
50,50,16215
81,60,16562
53,58,16600
82,0,16622
58,59,16915
46,0,16934
50,0,17021
53,0,17029
58,0,17202
81,0,17234
77,49,17238
48,62,17262
52,55,17557
55,61,17911
79,57,17922
77,0,17960
48,0,18069
60,45,18223
52,0,18391
60,0,18495
55,0,18511
48,57,18575
79,0,18578
77,49,18592
77,0,18860
52,47,18901
55,45,19222
48,0,19302
60,45,19546
52,0,19760
55,0,19805
48,43,19912
60,0,20038
55,46,20238
48,0,20282
72,46,20557
48,58,20557
55,0,20560
72,0,20724
52,54,20875
72,40,20905
55,60,21227
74,55,21240
48,0,21252
72,0,21278
60,39,21561
52,0,21753
74,0,21878
48,53,21907
72,42,21919
55,0,21960
60,0,21997
52,40,22231
77,53,22569
55,49,22586
72,0,22588
48,0,22867
60,46,22915
52,0,23091
77,0,23209
55,0,23223
76,51,23253
48,53,23255
60,0,23285
55,47,23607
60,38,23919
52,46,24223
55,0,24305
60,0,24420
55,53,24590
48,0,24825
60,47,24893
52,0,25042
55,0,25139
60,0,25142
76,0,25226
48,42,25244
72,43,25245
72,0,25403
52,51,25552
72,37,25570
55,54,25889
74,58,25906
48,0,25907
72,0,25963
60,42,26237
52,0,26437
55,0,26555
74,0,26561
72,46,26570
48,45,26578
60,0,26626
52,43,26927
72,0,27231
79,54,27245
55,54,27246
48,0,27371
60,49,27588
52,0,27614
55,0,27677
79,0,27897
53,47,27924
77,52,27925
60,0,27951
60,34,28287
65,44,28531
57,40,28896
60,0,29004
65,0,29078
60,55,29227
77,0,29309
65,45,29546
53,0,29555
57,0,29796
72,52,29870
53,40,29912
60,0,30000
72,0,30065
65,0,30185
57,58,30204
72,46,30249
53,0,30283
57,0,30329
48,44,30543
84,54,30553
72,0,30567
52,49,30869
81,49,31224
84,0,31234
55,57,31244
48,0,31413
60,46,31549
52,0,31577
55,0,31624
53,49,31871
77,59,31901
60,0,31933
81,0,31958
57,47,32230
60,55,32570
76,50,32577
77,0,32583
65,55,32907
53,0,32910
57,0,33085
60,0,33117
65,0,33194
74,52,33241
76,0,33246
55,43,33252
59,43,33563
62,49,33884
55,0,34107
67,46,34224
59,0,34431
55,46,34581
62,0,34594
59,53,34893
67,0,34963
55,0,35009
59,0,35093
82,40,35250
46,94,35254
74,0,35359
82,0,35386
82,54,35555
50,57,35579
81,62,35901
53,67,35909
82,0,35955
58,53,36202
46,0,36308
50,0,36426
46,62,36571
77,51,36588
81,0,36605
53,0,36639
50,57,36872
58,0,36873
79,57,37231
53,51,37243
77,0,37284
46,0,37318
58,62,37546
50,0,37557
53,0,37747
58,0,37792
48,51,37939
77,50,37944
79,0,37956
52,42,38247
77,0,38328
55,51,38568
48,0,38707
60,44,38898
52,0,39174
48,53,39246
52,39,39554
55,0,39603
60,0,39749
55,53,39921
48,0,40062
60,36,40259
52,0,40408
72,69,40573
48,60,40578
48,0,41296
55,0,41364
60,0,41366
72,0,42289
