Tempo,90
48,57,2506
76,57,2507
76,0,2635
76,53,2839
52,40,2841
48,0,2845
76,0,2973
52,0,3138
76,57,3180
55,49,3194
60,42,3520
55,0,3559
60,0,3726
76,0,3760
48,55,3823
76,53,3861
76,0,3990
76,51,4178
52,39,4198
76,0,4301
48,0,4375
76,54,4522
55,51,4531
52,0,4598
60,44,4845
55,0,4960
60,0,5057
76,0,5066
48,58,5193
76,55,5199
76,0,5390
79,57,5497
52,40,5555
79,0,5753
72,53,5857
48,0,5862
55,53,5879
52,0,6010
60,58,6148
55,0,6172
74,46,6191
72,0,6309
74,0,6463
76,58,6488
53,40,6628
53,0,6715
48,58,7144
60,0,7197
48,0,7464
55,47,7495
55,0,7807
77,61,7848
76,0,7849
53,46,7855
77,0,7986
77,57,8186
57,47,8188
77,0,8312
60,54,8462
77,48,8507
53,0,8518
57,0,8604
65,53,8843
60,0,8944
65,0,8945
77,0,9104
48,58,9168
77,58,9189
76,62,9240
77,0,9241
76,0,9396
76,60,9516
52,46,9529
76,0,9636
76,59,9823
55,53,9856
48,0,10036
60,46,10195
52,0,10203
55,0,10231
60,0,10493
76,0,10494
55,55,10517
74,55,10530
74,0,10646
74,52,10862
59,47,10867
74,0,10970
62,57,11182
74,50,11182
59,0,11208
55,0,11223
59,57,11474
62,0,11524
76,49,11533
74,0,11535
55,63,11844
74,63,11850
76,0,11854
59,0,11855
59,61,12160
55,0,12206
59,0,12257
74,0,12478
48,59,12513
79,50,12533
52,51,12865
48,0,12867
79,0,13092
52,0,13191
48,63,13196
76,58,13205
76,0,13333
52,53,13504
76,53,13514
76,0,13635
48,0,13663
76,54,13839
55,45,13846
52,0,13951
60,40,14165
55,0,14210
60,0,14377
76,0,14430
48,50,14509
76,54,14518
76,0,14633
52,53,14833
76,53,14838
48,0,14879
76,0,14954
76,48,15160
55,49,15169
52,0,15184
60,38,15512
55,0,15568
76,0,15696
60,0,15764
76,55,15807
48,47,15822
76,0,16039
79,53,16141
52,50,16155
48,0,16448
79,0,16453
72,45,16506
55,51,16518
60,58,16836
74,50,16838
52,0,16916
72,0,16951
55,0,17030
60,0,17070
74,0,17159
76,51,17164
48,59,17166
52,38,17521
48,0,17843
55,52,17844
60,44,18152
52,0,18164
55,0,18178
53,57,18472
60,0,18474
77,52,18482
76,0,18497
77,0,18632
57,48,18827
77,52,18833
77,0,18963
57,0,19135
60,53,19153
77,55,19161
53,0,19489
57,51,19504
60,0,19527
57,0,19624
77,0,19762
48,55,19791
76,53,19826
76,0,19988
52,55,20166
76,53,20167
76,0,20313
76,55,20492
55,50,20527
48,0,20700
52,0,20766
55,0,20984
76,0,21110
55,55,21174
74,49,21188
74,0,21314
74,53,21506
59,53,21516
74,0,21646
62,58,21826
59,0,21833
74,52,21835
59,61,22132
76,55,22153
74,0,22165
62,0,22168
55,0,22205
59,0,22210
48,62,22502
74,55,22522
76,0,22559
52,55,22846
48,0,23148
55,57,23160
74,0,23169
79,55,23183
52,0,23243
60,44,23514
55,0,23624
60,0,23689
79,0,23727
55,47,23819
48,58,23829
52,38,23867
55,0,24165
52,0,24188
48,0,24193
