Tempo,100
48,57,1125
84,62,1139
55,35,1404
60,45,1734
52,59,2001
83,49,2011
84,0,2026
48,0,2047
60,0,2060
55,0,2086
52,0,2307
84,59,2337
48,51,2338
83,0,2381
55,46,2610
60,49,2933
55,0,3060
83,53,3196
48,0,3204
55,55,3208
84,0,3233
60,0,3298
84,61,3516
48,59,3523
55,0,3532
83,0,3573
52,46,3836
55,54,4103
48,0,4137
60,61,4373
83,47,4385
84,0,4402
55,0,4472
52,0,4496
84,52,4707
48,64,4730
60,0,4759
83,0,4761
88,49,5001
52,53,5028
84,0,5033
48,0,5301
86,53,5314
55,57,5321
88,0,5375
52,0,5468
84,58,5596
60,55,5609
55,0,5613
86,0,5621
83,57,5904
55,49,5908
84,0,5913
60,0,5950
59,47,6245
62,55,6496
55,0,6688
67,60,6799
81,59,6818
83,0,6836
59,0,6860
62,0,6899
67,0,7002
55,58,7101
83,57,7111
81,0,7133
59,45,7390
62,36,7725
55,0,7759
67,58,7972
81,60,7989
83,0,8019
59,0,8021
62,0,8056
67,0,8128
55,57,8300
83,55,8321
81,0,8349
59,39,8623
55,0,8864
62,35,8944
67,41,9209
62,0,9314
59,0,9332
67,0,9435
55,46,9504
62,39,9809
67,50,10099
62,0,10283
55,0,10376
59,47,10395
67,0,10408
59,0,10450
48,58,10726
84,59,10746
83,0,10766
55,50,11026
60,43,11338
55,0,11531
52,49,11605
83,50,11615
48,0,11634
84,0,11673
60,0,11713
52,0,11908
84,54,11922
48,42,11935
83,0,11971
52,43,12190
48,0,12433
55,48,12501
52,0,12686
60,55,12780
83,51,12817
55,0,12827
84,0,12857
48,62,13112
84,58,13117
60,0,13126
83,0,13170
55,42,13410
60,51,13706
55,0,13761
55,50,13998
83,48,14000
48,0,14009
84,0,14015
60,0,14120
55,0,14263
84,46,14296
48,60,14305
83,0,14368
88,57,14587
52,47,14623
84,0,14628
48,0,14848
55,62,14892
86,50,14903
52,0,14963
88,0,14981
55,0,15183
60,51,15189
84,46,15193
86,0,15239
83,53,15488
55,53,15489
84,0,15495
60,0,15526
62,53,15799
67,49,16090
59,50,16381
81,57,16412
83,0,16413
62,0,16414
55,0,16433
67,0,16446
59,0,16686
55,49,16708
83,54,16712
81,0,16741
59,51,16986
62,51,17305
55,0,17308
67,57,17584
81,51,17609
83,0,17613
59,0,17655
62,0,17677
67,0,17808
83,50,17903
55,52,17904
81,0,17916
59,44,18205
62,48,18512
55,0,18538
83,0,18794
79,57,18806
67,55,19105
62,0,19116
59,0,19352
81,55,19422
62,46,19452
79,0,19533
59,53,19704
62,0,19772
67,0,19836
62,59,19983
84,59,20017
81,0,20025
59,0,20053
62,0,20118
53,61,20303
81,57,20309
84,0,20333
60,40,20588
65,49,20879
60,0,20936
60,50,21183
53,0,21211
65,0,21298
60,0,21467
53,53,21485
60,45,21807
65,47,22110
60,0,22303
53,0,22365
57,33,22418
65,0,22505
53,47,22716
57,0,22725
57,46,23006
53,0,23326
60,38,23344
81,0,23576
77,51,23601
65,60,23607
60,0,23675
57,0,23680
53,46,23902
65,0,23973
57,51,24205
79,49,24214
77,0,24286
53,0,24476
60,49,24503
65,51,24782
81,54,24790
79,0,24818
57,0,24822
60,0,24839
55,51,25088
65,0,25093
79,57,25103
81,0,25131
62,48,25359
67,49,25674
62,0,25849
55,0,25903
59,51,25971
67,0,26054
