Tempo,117
67,44,384
67,0,511
67,47,667
69,52,913
36,36,915
67,0,928
36,0,1165
43,38,1169
48,37,1418
67,44,1420
69,0,1432
52,39,1663
48,0,1712
72,50,1925
67,0,1961
43,0,1975
52,0,2025
43,39,2417
71,44,2432
72,0,2438
50,35,2677
43,0,2705
71,0,2802
55,36,2932
55,0,3171
50,0,3325
67,39,3407
67,0,3505
67,37,3670
43,39,3870
69,44,3879
67,0,3904
50,35,4139
43,0,4220
53,36,4373
67,43,4382
69,0,4383
50,0,4511
53,0,4606
55,40,4625
55,0,4714
74,48,4899
67,0,4902
36,35,5412
74,0,5412
72,41,5421
43,35,5673
36,0,5690
48,30,5947
72,0,5953
43,0,6074
48,0,6167
52,39,6204
52,0,6277
72,47,6457
72,0,6582
72,57,6758
72,0,6850
36,44,6966
79,46,6997
79,0,7137
36,0,7328
43,46,7458
76,61,7484
48,35,7738
76,0,7958
72,38,7965
48,0,7975
52,38,7978
43,0,7982
52,0,8080
72,0,8477
71,48,8489
41,57,8492
48,35,8746
41,0,8822
69,45,9008
53,32,9019
71,0,9044
57,43,9240
53,0,9307
77,41,9498
69,0,9509
57,0,9528
77,0,9593
48,0,9611
77,57,9773
76,55,10027
36,39,10042
77,0,10091
43,36,10272
36,0,10322
43,0,10501
48,40,10548
72,41,10549
76,0,10572
48,0,10599
43,37,11052
72,0,11053
55,33,11057
74,48,11061
55,0,11167
43,0,11201
72,49,11597
74,0,11601
36,39,11611
43,36,11832
36,0,11852
48,33,12093
72,0,12153
52,37,12339
48,0,12649
43,0,12682
52,0,12683
