Tempo,117
75,44,384
75,0,511
75,47,667
77,52,913
44,36,915
75,0,928
44,0,1165
51,38,1169
56,37,1418
75,44,1420
77,0,1432
60,39,1663
56,0,1712
80,50,1925
75,0,1961
51,0,1975
60,0,2025
51,39,2417
79,44,2432
80,0,2438
58,35,2677
51,0,2705
79,0,2802
63,36,2932
63,0,3171
58,0,3325
75,39,3407
75,0,3505
75,37,3670
51,39,3870
77,44,3879
75,0,3904
58,35,4139
51,0,4220
61,36,4373
75,43,4382
77,0,4383
58,0,4511
61,0,4606
63,40,4625
63,0,4714
82,48,4899
75,0,4902
44,35,5412
82,0,5412
80,41,5421
51,35,5673
44,0,5690
56,30,5947
80,0,5953
51,0,6074
56,0,6167
60,39,6204
60,0,6277
80,47,6457
80,0,6582
80,57,6758
80,0,6850
44,44,6966
87,46,6997
87,0,7137
44,0,7328
51,46,7458
84,61,7484
56,35,7738
84,0,7958
80,38,7965
56,0,7975
60,38,7978
51,0,7982
60,0,8080
80,0,8477
79,48,8489
49,57,8492
56,35,8746
49,0,8822
77,45,9008
61,32,9019
79,0,9044
65,43,9240
61,0,9307
85,41,9498
77,0,9509
65,0,9528
85,0,9593
56,0,9611
85,57,9773
84,55,10027
44,39,10042
85,0,10091
51,36,10272
44,0,10322
51,0,10501
56,40,10548
80,41,10549
84,0,10572
56,0,10599
51,37,11052
80,0,11053
63,33,11057
82,48,11061
63,0,11167
51,0,11201
80,49,11597
82,0,11601
44,39,11611
51,36,11832
44,0,11852
56,33,12093
80,0,12153
60,37,12339
56,0,12649
51,0,12682
60,0,12683
