Tempo,70
36,33,1888
72,36,1889
43,33,2273
36,0,2275
43,0,2503
48,35,2506
48,0,2678
50,38,2714
50,0,2862
72,0,3098
43,36,3142
43,0,3510
52,36,3566
72,46,3570
52,0,3704
72,0,3946
43,33,3998
43,0,4376
72,57,4426
48,38,4433
48,0,4521
72,0,4765
43,41,4825
43,0,4919
71,46,5047
71,0,5123
43,23,5276
71,56,5292
43,0,5709
50,29,5744
50,0,5924
55,26,5954
55,0,6098
72,48,6154
57,36,6159
71,0,6168
57,0,6268
50,33,6567
50,0,6980
59,35,6986
59,0,7153
72,0,7368
50,28,7439
50,0,7805
72,57,7850
55,39,7871
55,0,7953
50,35,8267
72,0,8269
50,0,8313
71,47,8436
71,0,8518
41,39,8683
71,66,8685
41,0,9080
48,31,9123
53,36,9331
48,0,9332
53,0,9485
55,42,9537
72,53,9548
71,0,9563
55,0,9688
48,32,9960
48,0,10309
57,32,10376
57,0,10513
72,0,10775
48,32,10807
48,0,11162
74,56,11261
53,33,11265
53,0,11362
48,38,11672
48,0,11738
74,0,12042
43,46,12114
76,57,12116
43,0,12503
50,30,12550
55,44,12741
50,0,12771
55,0,12905
59,46,12968
59,0,13100
50,36,13396
76,0,13545
50,0,13661
55,29,13837
74,48,13838
59,30,13844
55,0,13915
59,0,13924
50,32,14251
50,0,14634
55,46,14659
55,0,14790
74,0,14906
50,42,15096
50,0,15153
45,56,15513
72,61,15521
69,62,15522
45,0,15910
52,32,15960
57,37,16161
52,0,16162
57,0,16292
69,0,16338
59,46,16384
59,0,16491
52,35,16808
52,0,17114
60,45,17229
60,0,17351
72,0,17491
52,41,17665
72,51,17858
72,0,17932
52,0,18021
72,65,18098
57,44,18105
57,0,18213
52,33,18517
52,0,18586
72,0,18649
71,50,18719
71,0,18798
71,68,18953
43,40,18958
50,35,19189
43,0,19239
50,0,19404
55,33,19407
55,0,19549
57,46,19611
57,0,19696
71,0,19804
72,52,19811
50,31,20223
50,0,20554
55,31,20652
59,36,20655
55,0,20735
59,0,20742
72,0,20955
50,36,21058
50,0,21435
72,62,21511
55,40,21528
55,0,21606
72,0,21901
50,30,21949
50,0,21992
67,43,22135
67,0,22202
67,68,22344
41,43,22356
41,0,22723
48,36,22762
48,0,22958
53,32,22981
53,0,23110
55,46,23180
55,0,23324
48,33,23623
48,0,23923
57,36,24056
53,33,24065
53,0,24151
57,0,24163
48,32,24516
48,0,24658
60,33,25016
53,35,25020
60,0,25142
53,0,25166
48,31,25433
48,0,25770
41,37,25844
48,35,26069
41,0,26133
48,0,26261
53,30,26310
53,0,26470
55,51,26506
55,0,26601
57,51,26730
57,0,26916
48,31,27125
48,0,27375
60,37,27561
53,41,27569
60,0,27631
53,0,27654
67,0,27802
48,35,27983
48,0,28251
69,73,28426
57,38,28436
53,40,28437
53,0,28512
57,0,28518
48,43,28842
71,67,28844
69,0,28875
48,0,28896
45,50,29262
72,82,29272
71,0,29319
52,36,29492
45,0,29567
57,41,29719
52,0,29736
57,0,29894
59,56,29931
59,0,30201
52,49,30377
57,35,30588
60,57,30824
57,0,30842
60,0,30899
60,76,31013
60,0,31284
52,0,31413
57,35,31425
72,0,31485
57,0,31611
60,44,31619
72,82,31861
60,0,31931
57,41,32244
57,0,32296
74,61,32449
72,0,32481
74,0,32547
74,75,32663
43,49,32668
50,41,33109
43,0,33137
55,42,33304
50,0,33359
55,0,33503
59,46,33510
59,0,33744
50,38,33940
74,0,34072
67,51,34118
67,0,34225
50,0,34295
55,41,34357
67,71,34359
55,0,34453
50,39,34794
50,0,35119
79,76,35238
59,51,35241
59,0,35339
79,0,35528
50,35,35663
50,0,35731
79,67,35861
67,0,35912
79,0,35955
79,69,36062
41,46,36084
41,0,36497
48,36,36544
53,39,36746
48,0,36776
53,0,36920
55,52,36980
55,0,37083
79,0,37311
77,58,37365
48,44,37372
77,0,37435
48,0,37697
57,48,37814
77,52,37825
57,0,37915
48,35,38263
77,0,38680
48,0,38683
76,56,38718
53,47,38723
53,0,38834
48,37,39124
48,0,39199
76,0,39501
43,41,39531
74,56,39540
50,33,39997
43,0,40014
55,47,40166
50,0,40215
55,0,40386
57,43,40403
57,0,40534
50,36,40805
74,0,40820
50,0,41139
76,59,41265
59,41,41267
59,0,41365
50,33,41718
50,0,42070
76,0,42136
55,39,42143
77,51,42145
55,0,42278
50,35,42524
50,0,42574
77,0,42704
76,43,42774
76,0,42872
77,41,42884
45,35,42962
77,0,42965
76,46,42969
45,0,43414
52,30,43444
57,42,43629
52,0,43655
57,0,43792
59,49,43853
59,0,43958
52,31,44269
74,52,44424
76,0,44437
52,0,44447
74,0,44492
74,41,44689
60,31,44707
60,0,44797
74,0,44993
52,33,45103
52,0,45487
72,41,45544
57,49,45552
57,0,45656
72,0,46045
71,49,46196
71,0,46276
43,37,46421
71,59,46423
43,0,46861
50,31,46873
50,0,47085
55,24,47088
55,0,47247
57,41,47281
72,54,47288
71,0,47314
57,0,47391
50,35,47683
50,0,48010
59,43,48131
59,0,48222
72,0,48420
50,36,48553
50,0,48943
55,37,49001
71,63,49201
55,0,49275
71,0,49374
50,38,49400
50,0,49485
71,63,49600
71,0,49698
71,68,49832
41,41,49834
41,0,50240
48,31,50280
53,38,50483
48,0,50511
53,0,50675
55,46,50721
72,57,50727
71,0,50730
55,0,50841
48,36,51121
48,0,51430
57,44,51553
57,0,51670
72,0,51908
48,37,51989
48,0,52385
74,58,52412
53,33,52451
53,0,52615
48,30,52846
48,0,52927
43,36,53258
74,0,53273
76,49,53275
43,0,53736
50,28,53741
50,0,54095
55,29,54176
55,0,54277
50,31,54570
50,0,54907
74,36,55017
59,32,55034
76,0,55061
59,0,55133
50,29,55485
74,0,55495
50,0,55876
72,42,55905
55,36,55913
55,0,56026
50,38,56296
74,49,56301
72,0,56323
50,0,56361
74,0,56386
45,37,56710
74,51,56714
76,43,57112
45,0,57114
52,28,57122
74,0,57124
76,0,57214
52,0,57469
57,35,57572
76,43,57577
57,0,57746
59,36,58006
59,0,58297
76,0,58352
60,31,58467
77,54,59301
60,0,59346
76,52,59505
77,0,59524
74,51,59715
76,0,59729
72,51,59912
74,0,59935
43,32,60114
74,61,60116
72,0,60125
43,0,60572
50,29,60594
55,44,60791
50,0,60850
55,0,60965
79,41,61012
74,0,61026
59,29,61030
59,0,61142
50,32,61424
62,35,61858
79,0,62148
62,0,62216
50,0,62573
55,37,62706
76,42,62716
55,0,62800
76,0,63124
79,41,63143
79,0,63547
81,33,63591
41,29,63596
77,38,63599
48,29,64016
41,0,64024
81,0,64129
77,0,64206
48,0,64365
53,30,64427
53,0,64532
79,41,64803
48,33,64812
79,0,64909
48,0,65009
79,43,65265
55,30,65270
53,29,65286
53,0,65346
55,0,65349
79,0,65623
48,32,65681
48,0,66018
55,41,66137
76,59,66146
53,31,66177
53,0,66239
55,0,66239
48,41,66544
48,0,66606
76,0,66971
43,40,66988
74,57,66989
50,35,67419
43,0,67427
50,0,67634
55,32,67637
55,0,67794
57,36,67830
57,0,67959
50,29,68247
50,0,68626
59,37,68667
59,0,68748
74,0,69087
50,32,69114
50,0,69501
55,36,69536
