Tempo,70
39,33,1888
75,36,1889
46,33,2273
39,0,2275
46,0,2503
51,35,2506
51,0,2678
53,38,2714
53,0,2862
75,0,3098
46,36,3142
46,0,3510
55,36,3566
75,46,3570
55,0,3704
75,0,3946
46,33,3998
46,0,4376
75,57,4426
51,38,4433
51,0,4521
75,0,4765
46,41,4825
46,0,4919
74,46,5047
74,0,5123
46,23,5276
74,56,5292
46,0,5709
53,29,5744
53,0,5924
58,26,5954
58,0,6098
75,48,6154
60,36,6159
74,0,6168
60,0,6268
53,33,6567
53,0,6980
62,35,6986
62,0,7153
75,0,7368
53,28,7439
53,0,7805
75,57,7850
58,39,7871
58,0,7953
53,35,8267
75,0,8269
53,0,8313
74,47,8436
74,0,8518
44,39,8683
74,66,8685
44,0,9080
51,31,9123
56,36,9331
51,0,9332
56,0,9485
58,42,9537
75,53,9548
74,0,9563
58,0,9688
51,32,9960
51,0,10309
60,32,10376
60,0,10513
75,0,10775
51,32,10807
51,0,11162
77,56,11261
56,33,11265
56,0,11362
51,38,11672
51,0,11738
77,0,12042
46,46,12114
79,57,12116
46,0,12503
53,30,12550
58,44,12741
53,0,12771
58,0,12905
62,46,12968
62,0,13100
53,36,13396
79,0,13545
53,0,13661
58,29,13837
77,48,13838
62,30,13844
58,0,13915
62,0,13924
53,32,14251
53,0,14634
58,46,14659
58,0,14790
77,0,14906
53,42,15096
53,0,15153
48,56,15513
75,61,15521
72,62,15522
48,0,15910
55,32,15960
60,37,16161
55,0,16162
60,0,16292
72,0,16338
62,46,16384
62,0,16491
55,35,16808
55,0,17114
63,45,17229
63,0,17351
75,0,17491
55,41,17665
75,51,17858
75,0,17932
55,0,18021
75,65,18098
60,44,18105
60,0,18213
55,33,18517
55,0,18586
75,0,18649
74,50,18719
74,0,18798
74,68,18953
46,40,18958
53,35,19189
46,0,19239
53,0,19404
58,33,19407
58,0,19549
60,46,19611
60,0,19696
74,0,19804
75,52,19811
53,31,20223
53,0,20554
58,31,20652
62,36,20655
58,0,20735
62,0,20742
75,0,20955
53,36,21058
53,0,21435
75,62,21511
58,40,21528
58,0,21606
75,0,21901
53,30,21949
53,0,21992
70,43,22135
70,0,22202
70,68,22344
44,43,22356
44,0,22723
51,36,22762
51,0,22958
56,32,22981
56,0,23110
58,46,23180
58,0,23324
51,33,23623
51,0,23923
60,36,24056
56,33,24065
56,0,24151
60,0,24163
51,32,24516
51,0,24658
63,33,25016
56,35,25020
63,0,25142
56,0,25166
51,31,25433
51,0,25770
44,37,25844
51,35,26069
44,0,26133
51,0,26261
56,30,26310
56,0,26470
58,51,26506
58,0,26601
60,51,26730
60,0,26916
51,31,27125
51,0,27375
63,37,27561
56,41,27569
63,0,27631
56,0,27654
70,0,27802
51,35,27983
51,0,28251
72,73,28426
60,38,28436
56,40,28437
56,0,28512
60,0,28518
51,43,28842
74,67,28844
72,0,28875
51,0,28896
48,50,29262
75,82,29272
74,0,29319
55,36,29492
48,0,29567
60,41,29719
55,0,29736
60,0,29894
62,56,29931
62,0,30201
55,49,30377
60,35,30588
63,57,30824
60,0,30842
63,0,30899
63,76,31013
63,0,31284
55,0,31413
60,35,31425
75,0,31485
60,0,31611
63,44,31619
75,82,31861
63,0,31931
60,41,32244
60,0,32296
77,61,32449
75,0,32481
77,0,32547
77,75,32663
46,49,32668
53,41,33109
46,0,33137
58,42,33304
53,0,33359
58,0,33503
62,46,33510
62,0,33744
53,38,33940
77,0,34072
70,51,34118
70,0,34225
53,0,34295
58,41,34357
70,71,34359
58,0,34453
53,39,34794
53,0,35119
82,76,35238
62,51,35241
62,0,35339
82,0,35528
53,35,35663
53,0,35731
82,67,35861
70,0,35912
82,0,35955
82,69,36062
44,46,36084
44,0,36497
51,36,36544
56,39,36746
51,0,36776
56,0,36920
58,52,36980
58,0,37083
82,0,37311
80,58,37365
51,44,37372
80,0,37435
51,0,37697
60,48,37814
80,52,37825
60,0,37915
51,35,38263
80,0,38680
51,0,38683
79,56,38718
56,47,38723
56,0,38834
51,37,39124
51,0,39199
79,0,39501
46,41,39531
77,56,39540
53,33,39997
46,0,40014
58,47,40166
53,0,40215
58,0,40386
60,43,40403
60,0,40534
53,36,40805
77,0,40820
53,0,41139
79,59,41265
62,41,41267
62,0,41365
53,33,41718
53,0,42070
79,0,42136
58,39,42143
80,51,42145
58,0,42278
53,35,42524
53,0,42574
80,0,42704
79,43,42774
79,0,42872
80,41,42884
48,35,42962
80,0,42965
79,46,42969
48,0,43414
55,30,43444
60,42,43629
55,0,43655
60,0,43792
62,49,43853
62,0,43958
55,31,44269
77,52,44424
79,0,44437
55,0,44447
77,0,44492
77,41,44689
63,31,44707
63,0,44797
77,0,44993
55,33,45103
55,0,45487
75,41,45544
60,49,45552
60,0,45656
75,0,46045
74,49,46196
74,0,46276
46,37,46421
74,59,46423
46,0,46861
53,31,46873
53,0,47085
58,24,47088
58,0,47247
60,41,47281
75,54,47288
74,0,47314
60,0,47391
53,35,47683
53,0,48010
62,43,48131
62,0,48222
75,0,48420
53,36,48553
53,0,48943
58,37,49001
74,63,49201
58,0,49275
74,0,49374
53,38,49400
53,0,49485
74,63,49600
74,0,49698
74,68,49832
44,41,49834
44,0,50240
51,31,50280
56,38,50483
51,0,50511
56,0,50675
58,46,50721
75,57,50727
74,0,50730
58,0,50841
51,36,51121
51,0,51430
60,44,51553
60,0,51670
75,0,51908
51,37,51989
51,0,52385
77,58,52412
56,33,52451
56,0,52615
51,30,52846
51,0,52927
46,36,53258
77,0,53273
79,49,53275
46,0,53736
53,28,53741
53,0,54095
58,29,54176
58,0,54277
53,31,54570
53,0,54907
77,36,55017
62,32,55034
79,0,55061
62,0,55133
53,29,55485
77,0,55495
53,0,55876
75,42,55905
58,36,55913
58,0,56026
53,38,56296
77,49,56301
75,0,56323
53,0,56361
77,0,56386
48,37,56710
77,51,56714
79,43,57112
48,0,57114
55,28,57122
77,0,57124
79,0,57214
55,0,57469
60,35,57572
79,43,57577
60,0,57746
62,36,58006
62,0,58297
79,0,58352
63,31,58467
80,54,59301
63,0,59346
79,52,59505
80,0,59524
77,51,59715
79,0,59729
75,51,59912
77,0,59935
46,32,60114
77,61,60116
75,0,60125
46,0,60572
53,29,60594
58,44,60791
53,0,60850
58,0,60965
82,41,61012
77,0,61026
62,29,61030
62,0,61142
53,32,61424
65,35,61858
82,0,62148
65,0,62216
53,0,62573
58,37,62706
79,42,62716
58,0,62800
79,0,63124
82,41,63143
82,0,63547
84,33,63591
44,29,63596
80,38,63599
51,29,64016
44,0,64024
84,0,64129
80,0,64206
51,0,64365
56,30,64427
56,0,64532
82,41,64803
51,33,64812
82,0,64909
51,0,65009
82,43,65265
58,30,65270
56,29,65286
56,0,65346
58,0,65349
82,0,65623
51,32,65681
51,0,66018
58,41,66137
79,59,66146
56,31,66177
56,0,66239
58,0,66239
51,41,66544
51,0,66606
79,0,66971
46,40,66988
77,57,66989
53,35,67419
46,0,67427
53,0,67634
58,32,67637
58,0,67794
60,36,67830
60,0,67959
53,29,68247
53,0,68626
62,37,68667
62,0,68748
77,0,69087
53,32,69114
53,0,69501
58,36,69536
75,50,69737
58,0,69791
53,40,69925
53,0,69997
77,51,70128
75,0,70170
77,0,70233
48,36,70358
77,59,70360
55,30,70786
79,44,70790
48,0,70802
77,0,70820
79,0,70908
55,0,71205
60,33,71226
79,51,71228
60,0,71391
62,31,71701
62,0,71805
63,27,72152
79,0,72268
63,0,72668
80,39,73022
80,0,73219
79,39,73229
77,36,73437
79,0,73446
77,0,73618
75,46,73620
46,33,73826
77,43,73837
75,0,73853
53,31,74067
46,0,74129
58,50,74251
53,0,74280
58,0,74471
60,43,74489
60,0,74601
62,46,75128
77,0,75132
82,52,75139
62,0,75216
53,43,75514
58,35,75952
82,0,76046
58,0,76339
60,32,76392
79,51,76397
53,0,76429
60,0,76549
58,35,76812
82,43,76840
79,0,76844
58,0,76893
84,48,77285
44,35,77294
82,0,77310
51,32,77712
44,0,77713
51,0,78115
84,0,78116
56,24,78156
56,0,78250
51,36,78535
82,46,78546
82,0,78609
51,0,78886
58,39,78998
82,42,79003
58,0,79119
82,0,79343
51,33,79432
51,0,79840
56,36,79895
79,51,79897
56,0,80029
51,36,80292
51,0,80345
79,0,80675
46,33,80712
77,41,80727
46,0,81167
53,32,81170
53,0,81497
58,30,81584
58,0,81721
53,29,82022
62,36,82468
62,0,82792
77,0,83043
53,0,83244
58,31,83314
58,0,83396
39,32,84235
75,38,84251
46,31,84645
39,0,84645
46,0,84994
51,32,85084
51,0,85167
75,0,85387
46,33,85442
75,44,85649
46,0,85710
75,0,85717
75,50,85864
55,35,85866
55,0,85996
75,0,86258
46,35,86269
46,0,86663
75,52,86690
51,32,86707
51,0,86817
46,39,87098
46,0,87175
75,0,87232
74,41,87280
74,0,87373
46,39,87506
74,53,87514
46,0,87924
53,31,87950
53,0,88287
75,41,88376
58,28,88387
74,0,88388
58,0,88712
53,28,88812
53,0,89198
62,36,89235
62,0,89403
75,0,89705
53,30,89715
58,36,90124
53,0,90125
75,63,90333
58,0,90387
53,36,90537
53,0,90599
75,0,90717
74,58,90724
74,0,90814
74,65,90950
44,40,90965
44,0,91365
51,31,91388
51,0,91734
75,47,91806
56,28,91821
74,0,91821
56,0,91903
51,27,92231
51,0,92530
58,38,92669
58,0,92798
75,0,92958
51,31,93110
51,0,93405
77,63,93547
60,38,93554
60,0,93658
51,33,93971
51,0,94024
77,0,94374
46,47,94389
79,56,94394
46,0,94710
53,45,94824
