Tempo,120
40,40,1087
76,52,1095
76,0,1337
47,38,1350
40,0,1363
52,40,1635
76,53,1644
56,41,1869
76,0,2155
83,49,2163
83,0,2235
52,0,2310
56,0,2527
47,0,2574
52,46,2650
83,51,2651
52,0,2706
83,0,3077
45,33,3121
85,47,3127
76,46,3130
57,35,3138
76,0,3258
57,0,3365
52,33,3401
45,0,3403
85,0,3430
52,0,3630
85,48,3636
57,33,3648
57,0,3705
85,0,4138
83,50,4141
40,51,4171
47,38,4392
40,0,4494
52,45,4683
47,0,4737
52,0,4772
83,0,5136
45,38,5143
81,53,5146
52,32,5394
81,0,5399
45,0,5543
81,50,5665
57,36,5667
52,0,5697
57,0,5823
52,36,6141
80,46,6155
81,0,6175
80,0,6353
59,36,6619
52,0,6642
80,50,6645
59,0,6684
47,37,7105
80,0,7113
78,51,7117
54,35,7363
78,0,7399
47,0,7425
59,42,7621
78,51,7633
54,0,7675
59,0,7721
52,36,8126
78,0,8127
76,41,8130
59,29,8418
59,0,8715
52,0,8754
76,0,8814
85,35,9113
85,0,9207
83,50,9560
40,43,9573
47,41,9792
40,0,9823
47,0,9892
45,40,10063
81,57,10078
83,0,10086
52,35,10329
81,0,10391
45,0,10446
81,50,10569
57,46,10572
52,0,10609
57,0,10639
81,0,11091
40,21,11101
80,47,11102
47,36,11331
80,0,11352
40,0,11559
52,36,11579
80,46,11605
47,0,11622
52,0,11649
78,41,12066
80,0,12066
78,0,13428
83,53,14072
40,49,14077
47,44,14320
83,0,14327
40,0,14371
47,0,14587
83,55,14613
52,47,14616
52,0,14694
83,0,15085
45,47,15103
81,55,15109
52,41,15337
81,0,15346
45,0,15397
57,50,15610
81,59,15622
52,0,15630
57,0,15691
81,0,16113
52,44,16118
80,55,16119
40,41,16121
80,0,16343
47,29,16345
52,0,16348
40,0,16356
52,49,16621
80,58,16626
47,0,16660
52,0,16690
47,32,17136
78,49,17140
59,38,17145
80,0,17157
59,0,17511
59,53,17595
78,0,17618
59,0,17681
47,0,17683
71,44,18108
76,47,18110
40,35,18122
52,36,18128
71,0,18301
76,0,18341
52,0,18347
47,31,18435
40,0,18451
76,57,18639
52,39,18647
56,29,18917
83,51,19185
76,0,19187
56,0,19271
83,0,19281
52,0,19306
47,0,19506
83,48,19652
52,46,19653
52,0,19707
45,41,20109
85,49,20120
83,0,20121
52,40,20353
85,0,20367
45,0,20395
52,0,20609
57,46,20624
85,50,20629
57,0,20687
85,0,21098
83,51,21117
40,67,21138
47,33,21376
40,0,21498
52,44,21642
47,0,21683
52,0,21849
47,38,21864
47,0,21951
45,43,22113
81,58,22134
83,0,22135
52,30,22357
81,0,22380
57,43,22592
45,0,22609
81,51,22616
52,0,22651
57,0,22675
40,42,23117
80,47,23118
81,0,23120
47,41,23334
80,0,23377
40,0,23390
52,42,23608
47,0,23613
80,55,23617
52,0,23672
47,37,24073
78,43,24107
80,0,24108
54,37,24346
78,0,24365
47,0,24400
54,0,24595
59,37,24602
78,45,24606
59,0,24661
52,30,25077
78,0,25077
76,38,25089
52,0,25465
76,0,25522
76,27,37142
76,0,37272
76,30,37498
76,0,37581
83,29,37749
83,0,37851
83,35,38014
83,0,38154
85,35,38229
85,0,38347
83,26,38692
83,0,38794
81,22,39130
81,0,39344
81,28,39558
81,0,39849
80,28,39896
80,0,40026
81,27,40085
81,0,40183
80,28,40227
80,0,40294
81,30,40337
81,0,40404
80,33,40412
80,0,40471
81,36,40503
80,35,40584
81,0,40630
80,0,40897
