Tempo,128
64,36,615
72,0,710
69,37,842
64,0,875
69,0,1048
64,33,1063
72,35,1305
64,0,1306
64,33,1530
72,0,1547
57,0,1675
45,0,1739
64,0,1773
69,35,1777
69,0,1979
64,38,1984
64,0,2163
74,41,2233
53,39,2236
41,41,2239
65,40,2457
74,0,2657
65,0,2690
69,38,2697
69,0,2915
65,31,2917
65,0,3146
74,47,3161
53,0,3365
74,0,3390
65,38,3392
41,0,3414
65,0,3608
69,45,3641
69,0,3829
65,41,3858
65,0,4069
76,46,4094
36,39,4100
48,41,4102
67,40,4323
76,0,4460
67,0,4556
72,44,4565
72,0,4793
67,49,4796
67,0,5022
76,45,5035
36,0,5245
67,41,5262
76,0,5269
48,0,5287
67,0,5484
74,48,5498
74,0,5716
72,46,5738
43,37,5964
55,37,5967
74,48,5978
72,0,6002
67,38,6193
74,0,6368
71,39,6446
67,0,6472
67,37,6668
71,0,6678
67,0,6912
74,35,6924
74,0,7118
67,35,7126
72,42,7360
67,0,7362
43,0,7438
55,0,7469
72,0,7602
71,40,7608
45,40,7848
57,38,7861
71,0,7862
72,35,7868
64,30,8105
72,0,8302
69,31,8323
64,0,8339
69,0,8533
64,33,8537
64,0,8769
72,35,8782
72,0,9006
64,31,9013
57,0,9111
45,0,9175
69,38,9245
64,0,9250
69,0,9453
64,35,9482
64,0,9703
53,37,9716
74,39,9718
41,38,9720
65,32,9959
74,0,10058
65,0,10182
69,38,10196
69,0,10397
65,41,10402
65,0,10621
74,43,10643
65,38,10868
74,0,10869
53,0,10873
41,0,10941
65,0,11089
69,43,11111
69,0,11302
65,37,11337
65,0,11542
76,42,11574
48,48,11576
36,42,11583
67,37,11794
76,0,11895
72,36,12046
67,0,12064
48,0,12242
72,0,12261
67,37,12285
67,0,12530
76,37,12552
36,0,12618
67,38,12747
76,0,12840
67,0,12982
74,36,13010
74,0,13238
72,37,13241
43,37,13472
74,48,13495
72,0,13523
50,35,13700
67,38,13702
74,0,13723
43,0,13741
55,39,13933
71,35,13971
67,0,13992
71,0,14175
55,0,14177
67,35,14189
59,28,14232
59,0,14401
74,31,14438
67,0,14453
50,0,14579
74,0,14654
67,31,14690
67,0,14883
45,37,15359
69,42,15361
67,38,15574
69,0,15589
52,35,15592
45,0,15640
67,0,15792
57,36,15820
69,50,15821
67,48,16025
69,0,16026
57,0,16030
60,36,16045
67,0,16132
67,57,16289
60,0,16394
67,0,16410
52,0,16505
57,41,16756
67,46,16761
57,0,16832
67,0,16964
64,46,16981
64,0,17199
41,36,17210
67,55,17221
48,33,17449
41,0,17456
67,0,17519
53,40,17682
53,0,17839
57,41,17908
67,61,17914
57,0,18149
48,0,18334
53,31,18351
53,0,18471
67,0,18559
48,39,18577
62,53,18578
48,0,18629
62,0,18675
62,55,19083
36,46,19086
48,41,19095
43,43,19277
36,0,19289
64,59,19310
48,0,19312
62,0,19314
48,35,19546
48,0,19718
52,50,19770
52,0,20145
43,0,20212
48,36,20247
48,0,20356
43,44,20444
43,0,20516
43,35,20959
64,0,20964
62,46,20974
50,32,21208
43,0,21239
55,41,21433
62,0,21494
55,0,21634
59,37,21667
59,0,22016
50,0,22109
55,39,22124
55,0,22226
50,50,22352
50,0,22413
69,71,22832
45,48,22837
67,46,23055
52,41,23057
69,0,23069
45,0,23108
67,0,23273
57,46,23281
69,50,23298
57,0,23476
67,57,23527
69,0,23534
60,41,23537
67,0,23617
60,0,23684
67,76,23822
67,0,23930
52,0,24066
67,70,24169
57,46,24311
57,0,24366
67,0,24484
64,48,24492
41,41,24745
67,57,24760
64,0,24773
48,36,24980
41,0,25000
67,0,25080
53,44,25216
48,0,25271
53,0,25368
55,50,25428
67,59,25439
55,0,25509
62,53,26180
67,0,26188
62,0,26253
36,40,26622
62,53,26629
43,35,26834
64,56,26854
36,0,26866
62,0,26872
48,36,27075
52,44,27277
48,0,27287
52,0,27721
48,38,27763
43,0,27767
48,0,27856
43,39,27963
43,0,28036
43,35,28464
55,33,28479
64,0,28482
62,43,28490
43,0,28707
50,28,28720
55,0,28735
55,38,28943
62,0,28990
55,0,29150
59,37,29167
59,0,29546
50,0,29578
55,35,29618
55,0,29761
50,50,29830
50,0,29877
45,43,30336
69,67,30345
52,35,30559
67,51,30565
69,0,30577
45,0,30601
67,0,30785
57,36,30799
69,57,30802
57,0,30959
69,0,31023
60,46,31026
67,57,31028
67,0,31251
69,57,31275
60,0,31331
52,0,31439
72,61,31512
69,0,31534
57,49,31745
57,0,31796
72,0,31949
69,60,31968
41,46,32224
48,37,32441
67,55,32453
69,0,32459
41,0,32469
67,0,32668
53,42,32676
69,56,32684
48,0,32685
53,0,32778
55,43,32896
67,57,32903
69,0,32906
67,0,33118
