Tempo,128
66,36,615
74,0,710
71,37,842
66,0,875
71,0,1048
66,33,1063
74,35,1305
66,0,1306
66,33,1530
74,0,1547
59,0,1675
47,0,1739
66,0,1773
71,35,1777
71,0,1979
66,38,1984
66,0,2163
76,41,2233
55,39,2236
43,41,2239
67,40,2457
76,0,2657
67,0,2690
71,38,2697
71,0,2915
67,31,2917
67,0,3146
76,47,3161
55,0,3365
76,0,3390
67,38,3392
43,0,3414
67,0,3608
71,45,3641
71,0,3829
67,41,3858
67,0,4069
78,46,4094
38,39,4100
50,41,4102
69,40,4323
78,0,4460
69,0,4556
74,44,4565
74,0,4793
69,49,4796
69,0,5022
78,45,5035
38,0,5245
69,41,5262
78,0,5269
50,0,5287
69,0,5484
76,48,5498
76,0,5716
74,46,5738
45,37,5964
57,37,5967
76,48,5978
74,0,6002
69,38,6193
76,0,6368
73,39,6446
69,0,6472
69,37,6668
73,0,6678
69,0,6912
76,35,6924
76,0,7118
69,35,7126
74,42,7360
69,0,7362
45,0,7438
57,0,7469
74,0,7602
73,40,7608
47,40,7848
59,38,7861
73,0,7862
74,35,7868
66,30,8105
74,0,8302
71,31,8323
66,0,8339
71,0,8533
66,33,8537
66,0,8769
74,35,8782
74,0,9006
66,31,9013
59,0,9111
47,0,9175
71,38,9245
66,0,9250
71,0,9453
66,35,9482
66,0,9703
55,37,9716
76,39,9718
43,38,9720
67,32,9959
76,0,10058
67,0,10182
71,38,10196
71,0,10397
67,41,10402
67,0,10621
76,43,10643
67,38,10868
76,0,10869
55,0,10873
43,0,10941
67,0,11089
71,43,11111
71,0,11302
67,37,11337
67,0,11542
78,42,11574
50,48,11576
38,42,11583
69,37,11794
78,0,11895
74,36,12046
69,0,12064
50,0,12242
74,0,12261
69,37,12285
69,0,12530
78,37,12552
38,0,12618
69,38,12747
78,0,12840
69,0,12982
76,36,13010
76,0,13238
74,37,13241
45,37,13472
76,48,13495
74,0,13523
52,35,13700
69,38,13702
76,0,13723
45,0,13741
57,39,13933
73,35,13971
69,0,13992
73,0,14175
57,0,14177
69,35,14189
61,28,14232
61,0,14401
76,31,14438
69,0,14453
52,0,14579
76,0,14654
69,31,14690
69,0,14883
47,37,15359
71,42,15361
69,38,15574
71,0,15589
54,35,15592
47,0,15640
69,0,15792
59,36,15820
71,50,15821
69,48,16025
71,0,16026
59,0,16030
62,36,16045
69,0,16132
69,57,16289
62,0,16394
69,0,16410
54,0,16505
59,41,16756
69,46,16761
59,0,16832
69,0,16964
66,46,16981
66,0,17199
43,36,17210
69,55,17221
50,33,17449
43,0,17456
69,0,17519
55,40,17682
55,0,17839
59,41,17908
69,61,17914
59,0,18149
50,0,18334
55,31,18351
55,0,18471
69,0,18559
50,39,18577
64,53,18578
50,0,18629
64,0,18675
64,55,19083
38,46,19086
50,41,19095
45,43,19277
38,0,19289
66,59,19310
50,0,19312
64,0,19314
50,35,19546
50,0,19718
54,50,19770
54,0,20145
45,0,20212
50,36,20247
50,0,20356
45,44,20444
45,0,20516
45,35,20959
66,0,20964
64,46,20974
52,32,21208
45,0,21239
57,41,21433
64,0,21494
57,0,21634
61,37,21667
61,0,22016
52,0,22109
57,39,22124
57,0,22226
52,50,22352
52,0,22413
71,71,22832
47,48,22837
69,46,23055
54,41,23057
71,0,23069
47,0,23108
69,0,23273
59,46,23281
71,50,23298
59,0,23476
69,57,23527
71,0,23534
62,41,23537
69,0,23617
62,0,23684
69,76,23822
69,0,23930
54,0,24066
69,70,24169
59,46,24311
59,0,24366
69,0,24484
66,48,24492
43,41,24745
69,57,24760
66,0,24773
50,36,24980
43,0,25000
69,0,25080
55,44,25216
50,0,25271
55,0,25368
57,50,25428
69,59,25439
57,0,25509
64,53,26180
69,0,26188
64,0,26253
38,40,26622
64,53,26629
45,35,26834
66,56,26854
38,0,26866
64,0,26872
50,36,27075
54,44,27277
50,0,27287
54,0,27721
50,38,27763
45,0,27767
50,0,27856
45,39,27963
45,0,28036
45,35,28464
57,33,28479
66,0,28482
64,43,28490
45,0,28707
52,28,28720
57,0,28735
57,38,28943
64,0,28990
57,0,29150
61,37,29167
61,0,29546
52,0,29578
57,35,29618
57,0,29761
52,50,29830
52,0,29877
47,43,30336
71,67,30345
54,35,30559
69,51,30565
71,0,30577
47,0,30601
69,0,30785
59,36,30799
71,57,30802
59,0,30959
71,0,31023
62,46,31026
69,57,31028
69,0,31251
71,57,31275
62,0,31331
54,0,31439
74,61,31512
71,0,31534
59,49,31745
59,0,31796
74,0,31949
71,60,31968
43,46,32224
50,37,32441
69,55,32453
71,0,32459
43,0,32469
69,0,32668
55,42,32676
71,56,32684
50,0,32685
55,0,32778
57,43,32896
69,57,32903
71,0,32906
69,0,33118
71,59,33141
57,0,33142
59,31,33146
59,0,33476
71,0,33590
74,57,33613
62,41,33626
62,0,33652
74,0,33700
74,60,34122
38,61,34131
50,53,34136
38,0,34321
45,32,34340
50,0,34352
74,0,34518
50,31,34592
50,0,34699
