Tempo,115
36,40,436
72,50,446
43,36,692
36,0,702
72,0,742
48,36,957
72,61,963
43,0,982
48,0,1087
52,36,1206
79,57,1460
52,0,1473
55,35,1475
72,0,1476
79,0,1599
55,0,1865
79,51,1978
41,37,2488
81,44,2495
79,0,2503
48,35,2732
83,46,2748
41,0,2754
81,0,2785
48,0,2936
83,0,3005
53,43,3021
84,58,3034
53,0,3074
84,0,3245
81,52,3271
36,41,3540
79,50,3550
81,0,3551
43,35,3788
36,0,3801
79,0,3933
48,39,4055
43,0,4082
48,0,4262
43,42,4297
43,0,4379
41,38,4581
77,51,4582
53,35,4592
53,0,4819
41,0,4820
48,36,4830
77,0,4855
48,0,5060
77,51,5094
53,41,5100
53,0,5182
48,41,5342
48,0,5381
36,39,5614
77,0,5616
76,45,5618
43,29,5844
76,0,5867
36,0,5875
43,0,6118
48,30,6139
76,49,6141
72,44,6145
48,0,6232
43,40,6358
43,0,6427
72,0,6435
43,41,6633
74,47,6662
76,0,6701
43,0,6896
74,0,6922
50,26,6928
50,0,7096
74,41,7166
55,42,7170
55,0,7262
50,41,7420
50,0,7456
36,38,7663
72,35,7673
74,0,7704
43,31,7938
36,0,7966
48,29,8214
43,0,8268
48,0,8401
43,36,8455
43,0,8684
72,0,8737
36,27,8741
79,44,8745
79,0,8899
43,36,8986
36,0,9002
48,35,9280
79,56,9288
43,0,9289
79,0,9368
48,0,9384
43,46,9514
79,69,9547
43,0,9589
77,55,9792
79,0,9801
41,40,9804
53,27,9809
77,0,10011
53,0,10026
41,0,10028
48,26,10072
48,0,10272
77,58,10310
53,33,10334
53,0,10409
36,43,10812
77,0,10813
76,42,10817
76,0,11022
43,33,11060
36,0,11079
43,0,11336
76,50,11340
48,33,11352
48,0,11410
76,0,11418
43,36,11564
76,57,11592
43,0,11627
43,37,11821
74,46,11848
76,0,11853
50,41,12092
43,0,12146
50,0,12325
53,41,12370
53,0,12431
74,0,12885
36,33,12896
79,50,12906
43,37,13129
36,0,13137
79,0,13163
43,0,13396
79,51,13410
48,36,13413
48,0,13493
79,0,13497
43,31,13642
79,48,13676
43,0,13725
41,35,13932
77,56,13933
79,0,13938
53,30,13941
41,0,14156
53,0,14189
79,43,14193
48,33,14203
77,0,14230
48,0,14448
81,46,14456
79,0,14473
53,29,14505
53,0,14594
48,32,14710
77,40,14712
81,0,14730
48,0,14861
43,41,14949
76,46,14963
77,0,14964
50,37,15203
43,0,15273
74,48,15484
53,31,15506
50,0,15508
76,0,15522
53,0,15586
74,0,15588
55,42,15734
74,48,15740
55,0,15779
74,0,16010
48,41,16016
72,44,16021
55,33,16273
48,0,16286
60,35,16536
72,0,17132
60,0,17316
55,0,17331
