Tempo,115
38,40,436
74,50,446
45,36,692
38,0,702
74,0,742
50,36,957
74,61,963
45,0,982
50,0,1087
54,36,1206
81,57,1460
54,0,1473
57,35,1475
74,0,1476
81,0,1599
57,0,1865
81,51,1978
43,37,2488
83,44,2495
81,0,2503
50,35,2732
85,46,2748
43,0,2754
83,0,2785
50,0,2936
85,0,3005
55,43,3021
86,58,3034
55,0,3074
86,0,3245
83,52,3271
38,41,3540
81,50,3550
83,0,3551
45,35,3788
38,0,3801
81,0,3933
50,39,4055
45,0,4082
50,0,4262
45,42,4297
45,0,4379
43,38,4581
79,51,4582
55,35,4592
55,0,4819
43,0,4820
50,36,4830
79,0,4855
50,0,5060
79,51,5094
55,41,5100
55,0,5182
50,41,5342
50,0,5381
38,39,5614
79,0,5616
78,45,5618
45,29,5844
78,0,5867
38,0,5875
45,0,6118
50,30,6139
78,49,6141
74,44,6145
50,0,6232
45,40,6358
45,0,6427
74,0,6435
45,41,6633
76,47,6662
78,0,6701
45,0,6896
76,0,6922
52,26,6928
52,0,7096
76,41,7166
57,42,7170
57,0,7262
52,41,7420
52,0,7456
38,38,7663
74,35,7673
76,0,7704
45,31,7938
38,0,7966
50,29,8214
45,0,8268
50,0,8401
45,36,8455
45,0,8684
74,0,8737
38,27,8741
81,44,8745
81,0,8899
45,36,8986
38,0,9002
50,35,9280
81,56,9288
45,0,9289
81,0,9368
50,0,9384
45,46,9514
81,69,9547
45,0,9589
79,55,9792
81,0,9801
43,40,9804
55,27,9809
79,0,10011
55,0,10026
43,0,10028
50,26,10072
50,0,10272
79,58,10310
55,33,10334
55,0,10409
38,43,10812
79,0,10813
78,42,10817
78,0,11022
45,33,11060
38,0,11079
45,0,11336
78,50,11340
50,33,11352
50,0,11410
78,0,11418
45,36,11564
78,57,11592
45,0,11627
45,37,11821
76,46,11848
78,0,11853
52,41,12092
45,0,12146
52,0,12325
55,41,12370
55,0,12431
76,0,12885
38,33,12896
81,50,12906
45,37,13129
38,0,13137
81,0,13163
45,0,13396
81,51,13410
50,36,13413
50,0,13493
81,0,13497
45,31,13642
81,48,13676
45,0,13725
43,35,13932
79,56,13933
81,0,13938
55,30,13941
43,0,14156
55,0,14189
81,43,14193
50,33,14203
79,0,14230
50,0,14448
83,46,14456
81,0,14473
55,29,14505
55,0,14594
50,32,14710
79,40,14712
83,0,14730
50,0,14861
45,41,14949
78,46,14963
79,0,14964
52,37,15203
45,0,15273
76,48,15484
55,31,15506
52,0,15508
78,0,15522
55,0,15586
76,0,15588
57,42,15734
76,48,15740
57,0,15779
76,0,16010
50,41,16016
74,44,16021
57,33,16273
50,0,16286
62,35,16536
74,0,17132
62,0,17316
57,0,17331
