Tempo,95
47,38,740
47,0,807
54,36,1050
59,36,1059
87,50,1062
59,0,1122
54,0,1124
87,0,1141
87,60,1383
47,38,1386
47,0,1443
87,0,1473
54,36,1696
87,57,1704
59,38,1708
59,0,1768
54,0,1773
87,0,1817
47,38,2029
90,41,2034
47,0,2095
92,53,2208
90,0,2232
54,37,2344
59,36,2366
59,0,2421
54,0,2432
87,56,2550
92,0,2556
47,36,2695
47,0,2776
54,43,2987
59,40,3013
54,0,3050
59,0,3083
54,33,3301
85,50,3305
87,0,3322
54,0,3408
87,53,3478
85,0,3487
66,38,3618
61,38,3631
61,0,3699
66,0,3703
85,44,3814
87,0,3834
54,38,3930
54,0,4029
66,39,4251
83,48,4253
61,36,4262
85,0,4269
61,0,4310
66,0,4320
83,0,4358
54,41,4538
83,41,4549
54,0,4649
82,46,4843
83,0,4852
66,36,4854
61,37,4856
61,0,4922
66,0,4922
54,41,5160
54,0,5251
61,39,5482
61,0,5535
82,0,5728
80,49,5770
80,0,5879
64,42,6077
59,38,6088
80,64,6089
59,0,6137
64,0,6147
80,0,6196
52,40,6399
80,57,6402
52,0,6473
59,41,6711
82,57,6721
64,39,6725
80,0,6762
59,0,6770
64,0,6777
82,0,7022
52,40,7025
87,52,7027
52,0,7112
59,38,7333
64,36,7344
85,51,7349
87,0,7379
64,0,7406
59,0,7408
52,40,7643
83,51,7657
85,0,7668
52,0,7733
80,47,7831
83,0,7842
59,37,7959
64,36,7971
59,0,8015
64,0,8041
85,40,8114
80,0,8122
54,37,8255
54,0,8384
66,33,8597
61,36,8605
66,0,8666
61,0,8670
54,39,8920
54,0,9041
64,41,9228
61,35,9241
61,0,9288
64,0,9295
54,45,9526
54,0,9647
61,36,9856
66,36,9859
66,0,9912
61,0,9918
54,44,10153
54,0,10260
85,0,10440
61,39,10496
66,41,10497
66,0,10529
61,0,10543
47,29,10829
47,0,10943
54,41,11130
59,37,11140
87,50,11146
59,0,11196
54,0,11203
87,0,11218
47,39,11439
87,59,11453
47,0,11538
87,0,11553
54,41,11755
59,41,11766
87,57,11774
59,0,11835
54,0,11843
87,0,11926
47,40,12089
90,42,12091
47,0,12187
92,52,12266
90,0,12294
54,39,12395
59,37,12403
59,0,12475
54,0,12479
87,51,12586
92,0,12623
47,37,12718
47,0,12839
54,41,13029
59,37,13038
54,0,13085
59,0,13122
87,0,13335
54,32,13344
85,50,13345
54,0,13458
87,58,13518
85,0,13532
66,32,13665
61,40,13666
61,0,13740
66,0,13743
85,49,13858
87,0,13866
54,36,13980
54,0,14101
66,41,14302
83,49,14307
85,0,14315
61,36,14319
61,0,14357
66,0,14365
83,0,14398
54,41,14596
83,51,14612
54,0,14709
82,50,14771
83,0,14797
66,36,14936
61,36,14945
61,0,15012
66,0,15015
54,46,15254
54,0,15346
61,41,15581
66,35,15584
61,0,15632
66,0,15632
82,0,15743
80,50,15865
52,39,15878
52,0,15961
80,0,15969
64,43,16198
80,60,16203
59,40,16205
59,0,16263
64,0,16271
80,0,16294
80,61,16371
52,39,16520
52,0,16613
82,57,16667
80,0,16721
64,40,16833
59,41,16834
59,0,16889
64,0,16898
87,57,17016
82,0,17036
52,37,17145
52,0,17255
85,53,17449
64,39,17466
59,36,17474
87,0,17492
59,0,17520
64,0,17527
83,50,17743
85,0,17752
52,43,17755
52,0,17855
59,41,18054
80,51,18056
83,0,18057
64,36,18066
59,0,18101
64,0,18121
54,41,18353
85,55,18364
80,0,18369
54,0,18473
66,37,18693
61,36,18702
66,0,18745
61,0,18748
54,41,19013
54,0,19127
66,33,19363
