Tempo,96
72,24,603
79,56,659
45,41,664
72,0,703
57,36,1534
45,0,1724
57,0,1865
79,0,2084
45,37,2133
45,0,2378
57,42,2442
79,42,2454
57,0,2526
79,0,2551
45,45,2753
79,48,2762
45,0,2798
79,0,2845
79,47,3068
53,44,3076
41,48,3078
79,0,3333
53,0,3372
76,38,3386
76,0,3465
53,36,3574
76,42,3724
41,0,3811
53,0,3910
41,46,3984
74,49,3999
76,0,4001
41,0,4061
74,0,4066
41,37,4326
74,51,4334
74,0,4602
72,49,4651
72,0,4758
41,0,4782
53,37,4797
53,0,4942
79,47,4965
79,0,5036
41,41,5261
79,51,5272
41,0,5322
79,0,5342
48,41,5593
36,41,5599
79,54,5601
48,0,5835
79,0,5877
76,47,5892
76,0,5972
48,35,6076
76,48,6228
36,0,6329
48,0,6383
76,0,6480
36,46,6492
74,50,6514
36,0,6583
74,0,6588
36,47,6825
74,47,6845
74,0,7093
72,53,7144
36,0,7210
48,33,7289
72,0,7411
48,0,7429
67,51,7463
67,0,7724
36,36,7752
76,47,7765
36,0,7807
76,0,8096
74,46,8098
43,27,8121
43,0,8441
50,24,8463
55,33,8737
50,0,8740
55,0,9002
50,32,9049
59,33,9386
59,0,9870
55,40,10004
50,0,10056
55,0,10062
74,0,10139
45,41,10557
72,49,10560
79,48,10567
45,0,10866
52,32,10885
57,43,11046
52,0,11077
57,0,11216
59,36,11219
59,0,11354
52,32,11526
79,0,11662
72,0,11720
60,42,11844
52,0,11933
60,0,12140
72,51,12319
72,0,12452
79,53,12461
57,44,12473
79,0,12550
57,0,12554
79,55,12652
79,0,12734
52,46,12788
52,0,12843
79,50,12919
79,0,12996
79,60,13081
41,42,13099
76,46,13369
48,37,13377
79,0,13380
41,0,13406
76,0,13460
76,57,13548
53,39,13705
48,0,13709
53,0,13806
74,50,13834
76,0,13840
74,0,13914
55,46,13998
55,0,14081
74,57,14157
74,0,14235
57,46,14304
74,54,14311
57,0,14439
74,0,14583
72,50,14620
48,38,14758
48,0,14898
79,44,14943
72,0,14959
79,0,15008
53,40,15248
79,41,15260
53,0,15303
81,57,15594
36,47,15597
79,0,15604
43,41,15876
76,33,15883
81,0,15909
36,0,15914
76,0,15971
43,0,16193
76,45,16208
48,41,16217
48,0,16342
76,0,16469
74,54,16497
50,32,16500
74,0,16569
50,0,16663
52,36,16801
74,48,16819
74,0,17129
72,60,17137
55,35,17261
72,0,17426
52,0,17443
67,53,17458
55,0,17516
55,36,17750
76,49,17752
67,0,17752
55,0,17825
43,39,18084
74,42,18097
76,0,18115
43,0,18396
50,27,18434
50,0,18699
55,33,18726
55,0,18923
50,31,19058
59,36,19368
59,0,19953
50,0,20091
45,39,20563
52,36,20875
45,0,20889
57,33,21061
52,0,21070
57,0,21217
59,39,21229
59,0,21342
74,0,21465
72,43,21502
52,35,21521
72,0,21573
52,0,21808
72,54,21819
60,46,21833
60,0,21947
74,57,22145
72,0,22149
52,33,22181
74,0,22203
52,0,22403
57,44,22464
74,67,22467
57,0,22569
72,44,22637
74,0,22659
72,0,22731
52,41,22785
52,0,22842
72,61,22928
72,0,23005
72,63,23083
41,41,23098
72,0,23266
48,37,23391
72,63,23392
41,0,23405
72,0,23474
72,67,23558
48,0,23660
72,0,23686
53,42,23716
53,0,23829
72,56,23840
72,0,23934
55,45,24005
55,0,24110
72,57,24139
72,0,24218
57,46,24310
72,65,24313
57,0,24488
72,0,24559
74,58,24629
74,0,24702
53,48,24795
53,0,24903
74,61,24949
48,35,25240
72,59,25247
74,0,25260
48,0,25309
36,49,25563
43,31,25875
36,0,25888
48,29,26040
43,0,26060
48,0,26170
50,52,26217
72,0,26255
50,0,26475
72,58,26518
52,48,26529
72,0,26586
55,47,26848
72,73,26850
52,0,26937
55,0,27061
72,0,27114
74,57,27161
74,0,27238
55,45,27306
55,0,27427
74,62,27495
74,0,27660
71,55,27662
71,0,27733
52,36,27768
52,0,27826
71,67,27933
71,0,28006
43,50,28083
71,70,28089
71,0,28310
50,41,28389
71,69,28404
43,0,28423
71,0,28479
71,68,28580
50,0,28670
71,0,28684
55,46,28722
55,0,28812
71,57,28851
71,0,28944
50,40,28997
71,59,29142
71,0,29217
50,0,29227
71,67,29313
59,42,29317
59,0,29451
71,0,29572
74,60,29616
50,44,29625
74,0,29692
50,0,29882
74,70,29939
55,48,29942
55,0,30024
74,0,30178
50,48,30237
71,61,30241
50,0,30298
71,0,30333
45,53,30568
79,70,30570
79,0,30870
52,37,30881
45,0,30883
76,67,31039
52,0,31136
76,0,31148
74,68,31196
57,36,31198
57,0,31300
74,0,31309
72,66,31513
59,45,31517
59,0,31604
72,0,31618
60,46,31826
67,61,31827
69,52,31838
69,0,31917
67,0,31927
60,0,31967
67,85,32152
67,0,32268
57,51,32308
57,0,32394
76,36,32466
74,61,32642
76,0,32662
52,51,32762
52,0,32830
74,0,32916
72,55,32926
41,49,33089
48,36,33414
41,0,33415
53,29,33576
48,0,33598
53,0,33723
55,48,33746
55,0,33846
48,45,34056
48,0,34278
57,50,34364
57,0,34464
72,0,34631
48,44,34692
48,0,34913
79,63,34997
53,46,35000
53,0,35085
79,0,35093
48,50,35298
79,66,35311
48,0,35359
79,0,35397
36,44,35616
79,67,35618
43,45,35893
36,0,35947
79,0,36060
76,46,36070
43,0,36209
74,53,36230
48,53,36233
76,0,36244
48,0,36393
72,51,36543
50,39,36546
74,0,36560
72,0,36628
50,0,36747
67,67,36828
52,42,36830
67,0,36957
67,66,37163
67,0,37279
55,47,37292
52,0,37379
76,59,37478
55,0,37523
52,44,37759
76,0,37761
74,57,37771
52,0,37821
43,40,38075
50,35,38401
43,0,38424
50,0,38681
55,38,38732
55,0,38847
50,33,39057
59,35,39371
74,0,39641
72,45,39657
59,0,39712
72,0,39768
50,0,39857
72,44,39965
74,37,40261
72,0,40262
74,0,40359
45,28,40535
74,46,40563
52,31,40875
76,44,40877
74,0,40896
45,0,40928
76,0,41172
52,0,41176
72,37,41179
57,33,41194
57,0,41315
60,42,41464
74,37,41468
72,0,41474
60,0,41529
74,0,41559
74,46,41806
76,40,42124
74,0,42132
76,0,42419
72,42,42450
72,0,42722
74,41,42731
74,0,42818
74,46,43039
41,35,43048
48,36,43360
76,39,43367
41,0,43388
74,0,43394
48,0,43654
72,40,43659
76,0,43662
53,38,43668
53,0,43798
72,0,43978
55,32,43981
74,36,43982
55,0,44058
74,0,44064
57,38,44311
74,41,44322
57,0,44378
74,0,44594
72,43,44618
72,0,44698
72,51,44946
72,0,45250
76,48,45271
76,0,45335
76,61,45568
36,44,45575
43,37,45868
72,50,45879
36,0,45879
76,0,45894
72,0,45982
43,0,46128
48,48,46184
72,61,46186
48,0,46309
72,0,46479
52,39,46485
74,50,46490
74,0,46573
52,0,46708
74,55,46819
55,49,46821
74,0,47112
72,53,47124
55,0,47142
72,0,47210
60,44,47313
60,0,47425
72,66,47483
55,44,47749
76,54,47764
72,0,47767
55,0,47806
76,0,47842
43,43,48078
76,62,48086
72,57,48389
76,0,48390
50,39,48394
43,0,48456
72,0,48490
50,0,48656
55,47,48695
72,64,48697
55,0,48865
72,0,48976
57,49,48997
74,56,49001
74,0,49069
57,0,49247
59,49,49318
74,62,49327
74,0,49561
72,60,49624
72,0,49680
59,0,49860
72,69,49945
72,0,50102
74,56,50118
74,0,50198
59,49,50261
59,0,50302
74,60,50397
74,0,50475
45,42,50548
74,67,50557
52,50,50855
76,57,50863
74,0,50871
45,0,50906
76,0,51145
52,0,51152
57,47,51155
72,58,51163
57,0,51297
72,0,51326
74,56,51333
74,0,51407
59,47,51478
59,0,51554
74,50,51611
74,0,51674
74,67,51781
60,50,51784
60,0,51910
74,0,52104
76,57,52120
76,0,52194
57,49,52267
57,0,52349
72,59,52421
72,0,52689
52,51,52733
74,69,52738
52,0,52793
74,0,52841
74,71,53065
41,43,53077
48,44,53386
76,57,53393
41,0,53403
74,0,53403
48,0,53669
76,0,53689
53,43,53698
72,56,53703
53,0,53802
72,0,53974
55,47,54005
74,55,54007
55,0,54082
74,0,54089
57,62,54329
74,61,54337
57,0,54439
74,0,54570
72,67,54629
72,0,54691
53,50,54795
53,0,54859
72,62,54920
72,0,55222
55,56,55242
76,59,55252
55,0,55307
76,0,55320
36,54,55594
76,67,55598
76,0,55884
36,0,55896
72,59,55900
43,49,55902
72,0,55973
43,0,56176
48,47,56232
72,57,56234
48,0,56309
72,0,56493
43,48,56515
74,55,56521
74,0,56585
43,0,56783
74,62,56837
52,49,56845
52,0,56939
74,0,57121
72,55,57138
43,46,57154
72,0,57210
43,0,57404
72,62,57445
48,53,57448
48,0,57545
72,0,57710
76,51,57757
43,49,57763
43,0,57824
76,0,58055
43,53,58082
74,63,58087
50,37,58384
43,0,58394
55,36,58561
50,0,58566
55,0,58713
57,45,58739
57,0,58840
50,37,59034
50,0,59295
59,43,59351
59,0,59461
50,36,59678
50,0,59924
55,44,59965
55,0,60058
50,37,60278
50,0,60324
74,0,60581
45,37,60584
79,43,60597
45,0,60892
52,26,60928
52,0,61060
57,32,61091
57,0,61223
59,28,61262
59,0,61378
52,24,61582
60,36,61847
79,0,61882
60,0,62031
72,50,62296
52,0,62417
72,0,62430
79,51,62471
79,0,62548
79,68,62671
79,0,62757
79,61,62957
79,0,63026
79,67,63104
41,43,63107
76,41,63389
48,37,63395
79,0,63400
41,0,63432
76,0,63472
76,59,63557
53,40,63704
48,0,63724
53,0,63816
74,56,63848
76,0,63874
74,0,63923
55,46,64017
55,0,64089
74,59,64162
74,0,64238
57,50,64310
74,56,64321
57,0,64438
74,0,64585
72,53,64609
53,51,64758
53,0,64827
72,0,64925
79,44,64941
79,0,65015
53,52,65217
79,56,65233
53,0,65275
36,51,65544
81,59,65552
79,0,65564
43,49,65847
36,0,65853
76,49,65857
81,0,65892
76,0,65946
43,0,66115
48,51,66172
76,70,66181
48,0,66286
74,50,66339
76,0,66350
74,0,66436
50,44,66490
74,61,66635
50,0,66642
74,0,66712
52,51,66795
74,63,66805
74,0,67099
72,55,67114
72,0,67183
52,0,67201
55,43,67235
55,0,67335
67,62,67422
67,0,67698
52,41,67713
76,51,67726
52,0,67762
76,0,68030
74,60,68059
43,41,68061
43,0,68373
50,30,68389
55,32,68565
50,0,68572
55,0,68712
57,33,68732
57,0,68848
50,35,69026
50,0,69280
59,41,69348
59,0,69449
50,40,69667
50,0,69919
55,51,69975
55,0,70056
50,39,70289
50,0,70333
74,0,70398
45,46,70614
79,53,70621
72,61,70623
45,0,70932
52,32,70940
57,36,71089
52,0,71109
57,0,71244
59,41,71273
59,0,71403
52,37,71568
52,0,71798
72,0,71854
60,46,71862
79,0,71904
60,0,71961
52,39,72196
72,47,72322
52,0,72446
72,0,72479
79,58,72494
57,55,72496
79,0,72580
57,0,72590
79,75,72707
79,0,72802
52,49,72834
52,0,72888
79,67,72972
79,0,73042
79,80,73155
41,46,73161
79,0,73432
76,50,73438
48,37,73458
41,0,73483
76,0,73527
48,0,73707
76,59,73740
53,41,73750
53,0,73856
48,41,74041
74,53,74043
76,0,74062
74,0,74111
48,0,74263
55,45,74356
74,57,74357
55,0,74479
74,0,74616
72,55,74672
48,37,74675
48,0,74892
72,0,74945
79,57,74973
53,33,74984
79,0,75060
53,0,75080
79,57,75200
79,0,75291
48,48,75302
48,0,75361
79,46,75455
79,0,75630
36,39,75633
81,50,75635
43,37,75905
76,46,75914
36,0,75938
81,0,75949
76,0,76011
43,0,76165
76,58,76194
48,39,76199
48,0,76346
76,0,76495
74,53,76497
50,36,76508
74,0,76576
50,0,76720
52,40,76815
74,55,76826
74,0,77105
72,57,77136
72,0,77257
55,43,77262
52,0,77378
55,0,77412
52,45,77750
77,33,77799
52,0,77812
77,0,77895
74,71,78065
43,44,78099
50,36,78397
43,0,78443
55,36,78589
50,0,78591
55,0,78727
57,30,78757
57,0,78860
50,35,79039
59,41,79326
59,0,79673
50,0,79835
55,43,79976
55,0,80046
45,39,80562
52,35,80895
45,0,80909
57,46,81065
52,0,81101
59,37,81240
57,0,81247
59,0,81363
74,0,81505
72,42,81513
52,35,81524
72,0,81618
52,0,81781
72,46,81823
60,44,81828
60,0,81970
74,42,82120
52,39,82142
72,0,82148
74,0,82197
52,0,82415
74,46,82457
57,43,82464
57,0,82556
72,50,82611
74,0,82629
72,0,82702
52,41,82757
52,0,82820
72,49,82921
72,0,82990
72,57,83073
41,40,83079
