Tempo,96
74,24,603
81,56,659
47,41,664
74,0,703
59,36,1534
47,0,1724
59,0,1865
81,0,2084
47,37,2133
47,0,2378
59,42,2442
81,42,2454
59,0,2526
81,0,2551
47,45,2753
81,48,2762
47,0,2798
81,0,2845
81,47,3068
55,44,3076
43,48,3078
81,0,3333
55,0,3372
78,38,3386
78,0,3465
55,36,3574
78,42,3724
43,0,3811
55,0,3910
43,46,3984
76,49,3999
78,0,4001
43,0,4061
76,0,4066
43,37,4326
76,51,4334
76,0,4602
74,49,4651
74,0,4758
43,0,4782
55,37,4797
55,0,4942
81,47,4965
81,0,5036
43,41,5261
81,51,5272
43,0,5322
81,0,5342
50,41,5593
38,41,5599
81,54,5601
50,0,5835
81,0,5877
78,47,5892
78,0,5972
50,35,6076
78,48,6228
38,0,6329
50,0,6383
78,0,6480
38,46,6492
76,50,6514
38,0,6583
76,0,6588
38,47,6825
76,47,6845
76,0,7093
74,53,7144
38,0,7210
50,33,7289
74,0,7411
50,0,7429
69,51,7463
69,0,7724
38,36,7752
78,47,7765
38,0,7807
78,0,8096
76,46,8098
45,27,8121
45,0,8441
52,24,8463
57,33,8737
52,0,8740
57,0,9002
52,32,9049
61,33,9386
61,0,9870
57,40,10004
52,0,10056
57,0,10062
76,0,10139
47,41,10557
74,49,10560
81,48,10567
47,0,10866
54,32,10885
59,43,11046
54,0,11077
59,0,11216
61,36,11219
61,0,11354
54,32,11526
81,0,11662
74,0,11720
62,42,11844
54,0,11933
62,0,12140
74,51,12319
74,0,12452
81,53,12461
59,44,12473
81,0,12550
59,0,12554
81,55,12652
81,0,12734
54,46,12788
54,0,12843
81,50,12919
81,0,12996
81,60,13081
43,42,13099
78,46,13369
50,37,13377
81,0,13380
43,0,13406
78,0,13460
78,57,13548
55,39,13705
50,0,13709
55,0,13806
76,50,13834
78,0,13840
76,0,13914
57,46,13998
57,0,14081
76,57,14157
76,0,14235
59,46,14304
76,54,14311
59,0,14439
76,0,14583
74,50,14620
50,38,14758
50,0,14898
81,44,14943
74,0,14959
81,0,15008
55,40,15248
81,41,15260
55,0,15303
83,57,15594
38,47,15597
81,0,15604
45,41,15876
78,33,15883
83,0,15909
38,0,15914
78,0,15971
45,0,16193
78,45,16208
50,41,16217
50,0,16342
78,0,16469
76,54,16497
52,32,16500
76,0,16569
52,0,16663
54,36,16801
76,48,16819
76,0,17129
74,60,17137
57,35,17261
74,0,17426
54,0,17443
69,53,17458
57,0,17516
57,36,17750
78,49,17752
69,0,17752
57,0,17825
45,39,18084
76,42,18097
78,0,18115
45,0,18396
52,27,18434
52,0,18699
57,33,18726
57,0,18923
52,31,19058
61,36,19368
61,0,19953
52,0,20091
47,39,20563
54,36,20875
47,0,20889
59,33,21061
54,0,21070
59,0,21217
61,39,21229
61,0,21342
76,0,21465
74,43,21502
54,35,21521
74,0,21573
54,0,21808
74,54,21819
62,46,21833
62,0,21947
76,57,22145
74,0,22149
54,33,22181
76,0,22203
54,0,22403
59,44,22464
76,67,22467
59,0,22569
74,44,22637
76,0,22659
74,0,22731
54,41,22785
54,0,22842
74,61,22928
74,0,23005
74,63,23083
43,41,23098
74,0,23266
50,37,23391
74,63,23392
43,0,23405
74,0,23474
74,67,23558
50,0,23660
74,0,23686
55,42,23716
55,0,23829
74,56,23840
74,0,23934
57,45,24005
57,0,24110
74,57,24139
74,0,24218
59,46,24310
74,65,24313
59,0,24488
74,0,24559
76,58,24629
76,0,24702
55,48,24795
55,0,24903
76,61,24949
50,35,25240
74,59,25247
76,0,25260
50,0,25309
38,49,25563
45,31,25875
38,0,25888
50,29,26040
45,0,26060
50,0,26170
52,52,26217
74,0,26255
52,0,26475
74,58,26518
54,48,26529
74,0,26586
57,47,26848
74,73,26850
54,0,26937
57,0,27061
74,0,27114
76,57,27161
76,0,27238
57,45,27306
57,0,27427
76,62,27495
76,0,27660
73,55,27662
73,0,27733
54,36,27768
54,0,27826
73,67,27933
73,0,28006
45,50,28083
73,70,28089
73,0,28310
52,41,28389
73,69,28404
45,0,28423
73,0,28479
73,68,28580
52,0,28670
73,0,28684
57,46,28722
57,0,28812
73,57,28851
73,0,28944
52,40,28997
73,59,29142
73,0,29217
52,0,29227
73,67,29313
61,42,29317
61,0,29451
73,0,29572
76,60,29616
52,44,29625
76,0,29692
52,0,29882
76,70,29939
57,48,29942
57,0,30024
76,0,30178
52,48,30237
73,61,30241
52,0,30298
73,0,30333
47,53,30568
81,70,30570
81,0,30870
54,37,30881
47,0,30883
78,67,31039
54,0,31136
78,0,31148
76,68,31196
59,36,31198
59,0,31300
76,0,31309
74,66,31513
61,45,31517
61,0,31604
74,0,31618
62,46,31826
69,61,31827
71,52,31838
71,0,31917
69,0,31927
62,0,31967
69,85,32152
69,0,32268
59,51,32308
59,0,32394
78,36,32466
76,61,32642
78,0,32662
54,51,32762
54,0,32830
76,0,32916
74,55,32926
43,49,33089
50,36,33414
43,0,33415
55,29,33576
50,0,33598
55,0,33723
57,48,33746
57,0,33846
50,45,34056
50,0,34278
59,50,34364
59,0,34464
74,0,34631
50,44,34692
50,0,34913
81,63,34997
55,46,35000
55,0,35085
81,0,35093
50,50,35298
81,66,35311
50,0,35359
81,0,35397
38,44,35616
81,67,35618
45,45,35893
38,0,35947
81,0,36060
78,46,36070
45,0,36209
76,53,36230
50,53,36233
78,0,36244
50,0,36393
74,51,36543
52,39,36546
76,0,36560
74,0,36628
52,0,36747
69,67,36828
54,42,36830
