Tempo,128
45,48,729
74,59,737
52,36,986
45,0,1048
57,35,1208
76,48,1222
74,0,1266
79,41,1675
57,0,1695
76,0,1701
52,0,1878
74,41,2101
79,0,2118
57,35,2120
57,0,2169
74,0,2194
74,50,2566
36,37,2599
43,36,2797
76,50,2808
74,0,2815
36,0,2893
48,38,3034
74,44,3044
76,0,3072
74,0,3261
72,40,3271
52,31,3273
48,0,3291
76,40,3505
72,0,3513
52,0,3549
43,0,3640
48,36,3999
48,0,4047
43,38,4402
74,45,4639
50,35,4641
76,0,4643
74,0,4769
74,51,4887
55,27,4949
76,47,5115
74,0,5145
55,0,5305
77,38,5370
76,0,5396
43,0,5473
50,0,5475
77,0,5596
76,38,5602
74,41,5818
76,0,5832
55,37,5834
55,0,5887
74,0,6024
72,37,6051
72,0,6281
41,38,6284
76,50,6292
48,35,6516
41,0,6562
53,33,6764
69,46,6770
76,0,6774
53,0,7100
72,50,7247
69,0,7281
48,0,7338
53,46,7702
53,0,7753
45,47,8149
72,0,8156
74,55,8160
52,36,8393
45,0,8450
57,36,8633
76,53,8650
74,0,8720
57,0,8812
60,40,8885
60,0,9057
76,0,9096
79,50,9115
52,0,9205
57,35,9334
57,0,9433
79,0,9572
74,56,9575
52,40,9583
52,0,9651
74,0,9758
36,47,10087
74,57,10089
43,33,10278
74,0,10298
76,53,10305
36,0,10320
48,39,10529
74,51,10535
76,0,10546
43,0,10586
48,0,10674
74,0,10720
50,40,10745
72,44,10747
50,0,10971
72,0,10977
52,35,10988
76,53,10990
52,0,11470
55,40,11475
55,0,11530
43,48,11934
50,37,12148
74,50,12160
76,0,12175
43,0,12217
74,0,12259
55,33,12400
74,51,12403
55,0,12600
59,41,12603
76,49,12614
74,0,12633
59,0,12824
77,39,12869
76,0,12888
50,0,12970
77,0,13105
76,48,13115
55,43,13342
76,0,13347
74,47,13352
55,0,13400
74,0,13560
72,45,13568
72,0,13771
41,44,13796
76,56,13800
48,37,14006
41,0,14016
53,44,14251
69,49,14270
76,0,14270
48,0,14321
53,0,14419
72,51,14735
69,0,14759
48,36,15183
53,35,15401
53,0,15661
57,37,15685
57,0,16016
72,0,16075
53,35,16174
74,46,16399
74,0,16472
53,0,16602
74,62,16647
57,39,16651
57,0,16783
76,48,16871
48,0,16885
74,0,16893
53,35,17098
74,49,17109
76,0,17109
53,0,17149
72,49,17330
74,0,17350
72,0,17422
36,42,17571
72,59,17578
43,38,17753
72,0,17775
36,0,17794
69,55,17798
48,38,18043
43,0,18117
48,0,18121
72,59,18260
69,0,18291
45,47,18680
45,0,18779
72,0,18911
81,54,18928
36,43,19391
79,56,19392
81,0,19437
36,0,19602
43,36,19606
48,40,19837
79,0,19839
76,53,19857
43,0,19983
48,0,20006
76,0,20059
52,41,20061
74,51,20076
74,0,20294
72,51,20311
52,0,20396
72,0,20551
74,47,20563
55,42,20789
76,47,20801
74,0,20803
55,0,20859
74,53,21046
76,0,21069
43,42,21253
50,37,21496
74,0,21559
43,0,21578
55,35,21745
55,0,21964
59,37,21968
59,0,22132
71,53,22217
50,0,22338
71,0,22419
69,58,22437
69,0,22663
55,44,22672
71,53,22681
55,0,22726
72,48,22924
71,0,22959
41,42,23153
48,36,23375
69,51,23401
72,0,23407
41,0,23409
53,41,23632
48,0,23656
53,0,23806
57,55,23842
57,0,24209
53,38,24327
53,0,24416
69,0,24544
48,50,24559
48,0,24613
36,53,25041
48,50,25042
69,59,25052
48,0,25231
36,0,25277
69,0,25337
69,61,25532
69,0,25666
45,44,25730
52,39,25994
69,57,25999
45,0,26025
72,57,26285
69,0,26312
52,0,26371
57,51,26439
57,0,26503
72,0,26621
81,51,26629
48,46,26919
79,56,26925
81,0,26964
55,33,27153
48,0,27236
60,36,27394
76,44,27404
79,0,27429
74,38,27619
76,0,27634
60,0,27637
74,0,27845
72,48,27866
55,0,27957
74,41,28102
72,0,28122
74,0,28332
76,49,28338
60,37,28342
60,0,28394
74,57,28573
76,0,28598
43,40,28790
50,36,29018
74,0,29047
43,0,29086
55,41,29278
69,26,29653
71,44,29699
69,0,29706
55,0,29860
69,33,29954
71,0,29959
50,0,30099
55,35,30177
71,50,30195
69,0,30210
55,0,30226
72,42,30438
71,0,30456
41,36,30675
48,35,30900
69,44,30917
72,0,30946
41,0,30959
53,37,31171
57,37,31625
53,0,31686
57,0,31999
53,27,32089
69,0,32412
57,36,32586
69,41,33076
69,0,33380
67,39,33384
69,41,33553
67,0,33571
69,0,33665
69,40,33964
69,0,34166
67,36,34174
69,39,34434
67,0,34447
69,0,34505
69,44,34904
67,39,35118
69,0,35122
67,0,35358
69,41,35364
67,47,35583
69,0,35592
67,0,35721
48,0,35779
53,0,35793
57,0,35868
69,38,36225
72,39,36286
45,43,36311
81,75,36356
69,0,36523
52,44,36557
45,0,36583
72,0,36697
57,36,36774
79,82,36786
81,0,36855
60,33,36988
57,0,37041
79,0,37240
76,57,37246
60,0,37308
52,0,37398
76,0,37456
74,49,37467
74,0,37669
72,54,37698
57,38,37706
57,0,37771
74,60,37932
72,0,37949
43,44,38145
50,37,38366
76,55,38384
74,0,38420
43,0,38434
55,33,38621
59,39,38841
74,50,38843
55,0,38843
76,0,38865
59,0,39264
74,0,39284
72,40,39317
69,39,39552
55,41,39557
72,0,39557
50,0,39573
55,0,39624
69,0,39814
67,48,39823
67,0,39955
72,57,40034
69,52,40271
72,0,40293
45,58,40295
72,46,40518
69,0,40520
45,0,40690
72,0,40740
69,44,40743
69,0,40950
72,46,40963
72,0,41167
69,39,41190
69,0,41411
45,38,41414
72,46,41420
45,0,41481
72,0,41642
69,45,41652
69,0,41866
43,41,41876
72,48,41878
50,36,42103
72,0,42116
71,45,42119
43,0,42140
55,36,42335
72,42,42343
71,0,42364
55,0,42563
59,38,42566
71,45,42579
72,0,42594
72,36,42822
59,0,42823
71,0,42836
72,0,43053
50,0,43056
71,37,43066
72,46,43320
55,37,43325
71,0,43340
55,0,43395
71,39,43544
72,0,43554
71,0,43645
71,46,43788
41,36,43791
