Tempo,90
85,49,1248
85,0,1357
85,70,1570
85,0,1818
61,63,1911
92,69,1924
68,53,2233
73,55,2562
68,0,2606
68,58,2892
87,57,2909
73,0,2952
92,0,2989
73,46,3241
68,0,3322
87,0,3368
73,0,3523
68,66,3573
73,39,3580
87,58,3584
73,0,3644
73,57,3896
68,0,3916
85,59,3935
87,0,4064
85,0,4065
73,0,4114
68,64,4227
85,73,4259
61,0,4273
68,0,4306
85,0,4470
92,64,4546
56,77,4562
60,54,4870
63,53,5215
68,69,5541
87,57,5542
60,0,5594
63,0,5602
92,0,5627
56,0,5887
63,58,5888
68,0,6017
87,0,6081
63,0,6201
56,61,6220
87,55,6238
60,57,6526
85,57,6904
63,55,6909
56,0,6910
60,0,6929
87,0,7083
63,0,7190
85,0,7195
58,49,7212
94,54,7225
65,42,7550
70,52,7884
61,57,8174
89,55,8193
94,0,8222
65,0,8249
70,0,8257
65,57,8514
87,59,8867
89,0,8881
61,0,9127
70,53,9159
61,66,9514
85,77,9523
58,0,9534
70,0,9539
65,0,9551
61,0,9638
87,0,9648
85,0,9729
54,70,9858
90,79,9860
58,55,10196
90,0,10302
90,72,10395
61,58,10556
90,0,10672
61,0,10849
66,73,10880
90,88,10892
61,67,11226
54,0,11256
58,0,11286
66,0,11336
90,0,11374
61,0,11490
54,66,11518
90,59,11539
58,57,11828
54,0,12200
61,55,12206
58,0,12215
85,78,12234
90,0,12272
61,0,12345
85,0,12536
61,83,12542
92,60,12546
65,58,12883
68,47,13243
87,63,13564
73,86,13566
92,0,13567
68,0,13597
61,0,13675
68,40,13928
65,0,13968
73,0,14038
87,0,14101
68,0,14209
61,62,14248
87,55,14282
65,59,14579
85,72,14608
87,0,14706
85,0,14739
68,49,14926
85,70,14940
65,0,14969
61,0,14971
68,0,14996
85,0,15243
92,58,15244
56,78,15267
60,51,15564
63,58,15914
68,70,16244
87,60,16245
63,0,16308
92,0,16363
63,53,16581
56,0,16614
68,0,16713
87,0,16747
60,0,16831
63,0,16863
68,70,16914
56,70,16924
87,58,16942
60,49,17231
56,0,17549
85,73,17562
63,47,17566
60,0,17583
68,0,17593
87,0,17662
85,0,17854
63,0,17857
58,61,17876
94,49,17906
61,46,18191
65,47,18557
58,0,18863
94,0,18867
89,44,18883
70,77,18885
61,0,18946
65,0,19004
61,53,19188
70,0,19286
61,0,19549
58,66,19550
89,0,19552
87,58,19556
85,88,19706
87,0,19785
65,64,19871
70,54,20198
61,73,20231
58,0,20258
65,0,20279
70,0,20298
61,0,20376
85,0,20459
54,86,20541
87,34,20547
90,30,20632
87,0,20713
90,0,20793
58,53,20885
90,86,21053
87,60,21070
61,62,21250
87,0,21278
90,0,21320
87,58,21553
90,84,21558
61,0,21577
66,70,21579
66,0,21764
61,64,21917
87,0,21984
90,0,22027
58,0,22203
61,0,22240
90,84,22243
87,57,22244
66,79,22255
58,41,22296
61,40,22606
87,0,22613
90,0,22636
66,0,22666
54,0,22850
58,0,22856
66,81,22902
87,57,22908
90,77,22911
61,0,22946
66,0,23006
87,0,23195
90,0,23220
61,81,23247
65,59,23566
92,94,23568
92,0,23651
92,84,23899
68,47,23908
92,0,23976
65,0,24045
68,0,24146
73,77,24220
92,88,24228
65,33,24245
61,0,24340
92,0,24361
65,0,24367
73,0,24376
61,77,24547
92,86,24563
65,51,24882
92,0,25030
89,54,25038
73,77,25205
89,0,25469
68,55,25542
73,0,25553
92,86,25564
61,0,25574
65,0,25591
68,0,25602
56,69,25898
92,0,25916
60,55,26215
92,83,26230
92,0,26341
63,50,26551
92,86,26553
63,0,26656
92,0,26656
92,84,26868
68,58,26878
63,51,26896
56,0,26963
63,0,26988
56,33,27025
92,0,27182
97,73,27184
63,51,27245
68,0,27249
60,0,27420
68,64,27512
63,0,27605
96,59,27703
97,0,27715
68,0,27773
60,55,27848
94,54,28175
96,0,28199
63,48,28202
56,0,28206
60,0,28216
63,0,28501
58,57,28511
61,55,28902
89,70,28911
94,0,28914
89,0,29093
65,57,29220
89,72,29238
58,0,29252
89,0,29340
70,64,29568
89,78,29571
61,0,29650
89,0,29719
65,0,29763
70,0,29764
58,74,29888
89,83,29900
89,0,30228
61,50,30231
89,79,30394
65,57,30547
61,0,30817
70,66,30871
90,84,30894
89,0,30900
58,0,30970
65,0,30983
70,0,30985
54,84,31222
90,0,31404
58,54,31568
90,77,31571
90,0,31669
61,47,31893
90,84,31900
90,0,31987
58,0,32177
90,79,32216
66,69,32230
54,0,32299
90,0,32333
61,0,32363
66,0,32410
90,77,32558
54,66,32574
58,50,32918
89,53,33080
90,0,33117
61,49,33253
89,0,33300
54,0,33552
89,60,33576
58,0,33580
66,60,33591
61,0,33650
66,0,33765
89,0,33864
61,69,33905
65,46,34238
92,83,34244
92,0,34331
92,78,34556
68,41,34572
92,0,34628
61,0,34680
65,0,34710
68,0,34779
92,84,34876
73,79,34878
92,0,34973
73,0,35013
61,77,35211
92,90,35214
65,47,35555
89,59,35718
92,0,35722
68,62,35890
73,69,36213
92,78,36251
61,0,36261
68,0,36268
65,0,36275
73,0,36279
89,0,36425
56,77,36558
92,0,36628
60,50,36892
92,66,36900
92,0,37001
92,63,37224
63,51,37238
92,0,37316
56,0,37357
60,0,37367
63,0,37469
63,43,37523
68,70,37525
92,73,37536
63,0,37623
68,0,37860
56,70,37879
97,70,37888
92,0,37938
97,0,38201
60,51,38219
96,57,38393
63,55,38588
96,0,38840
56,0,38870
68,63,38885
94,78,38886
60,0,38891
63,0,38942
68,0,39068
58,53,39220
65,54,39554
89,57,39578
94,0,39617
89,0,39687
89,69,39877
70,51,39885
89,0,39971
89,55,40203
61,61,40216
70,0,40252
65,0,40286
89,0,40337
65,49,40561
89,67,40568
61,0,40637
89,0,40885
70,72,40916
89,66,41088
61,54,41248
65,0,41361
70,0,41481
90,83,41561
89,0,41563
58,0,41567
61,0,41720
54,81,41882
90,0,42003
90,79,42224
58,53,42234
90,0,42295
61,59,42552
90,83,42561
90,0,42650
61,0,42776
90,88,42880
66,60,42896
90,0,43045
66,0,43069
54,0,43089
61,78,43202
90,74,43215
58,0,43465
66,64,43525
89,67,43734
61,0,43739
90,0,43773
66,0,43773
54,74,43890
89,0,44172
61,66,44227
58,53,44228
54,0,44247
87,77,44251
58,0,44277
61,0,44363
61,84,44577
87,0,44583
65,60,44931
68,49,45247
89,88,45253
61,0,45365
65,0,45422
73,55,45572
68,0,45784
61,83,45901
89,0,45903
92,83,45922
73,0,45949
65,54,46265
85,88,46407
92,0,46448
68,44,46593
61,0,46822
68,0,46847
65,0,46895
73,70,46896
84,57,46926
73,0,46958
85,0,46995
56,78,47240
60,51,47605
84,0,47617
63,55,47928
89,55,47930
56,0,47982
60,0,48017
68,63,48219
63,0,48467
68,0,48507
56,88,48553
89,0,48554
92,79,48576
60,49,48898
84,61,49046
92,0,49053
68,69,49229
56,0,49532
82,79,49555
60,0,49565
63,47,49585
84,0,49607
68,0,49609
63,0,49855
58,57,49887
82,0,49968
61,54,50222
89,77,50223
89,0,50322
58,0,50542
65,55,50544
89,59,50553
89,0,50656
61,0,50727
70,57,50892
89,58,50904
65,0,51021
89,0,51030
70,0,51051
89,81,51231
58,66,51232
61,38,51569
89,0,51585
89,73,51746
58,0,51852
65,53,51892
61,0,51961
70,66,52206
89,0,52234
90,84,52236
70,0,52297
65,0,52305
54,74,52564
90,0,52691
90,72,52910
58,47,52936
90,0,52996
90,84,53233
61,54,53242
90,0,53327
54,0,53361
58,0,53377
90,88,53567
66,83,53577
90,0,53660
61,0,53674
90,88,53880
54,83,53908
66,0,53923
58,46,54245
89,73,54401
90,0,54440
61,66,54581
54,0,54781
89,0,54865
58,0,54882
87,69,54904
66,74,54905
61,0,54935
66,0,55043
61,86,55229
87,0,55336
65,54,55599
68,54,55905
89,81,55907
61,0,56049
65,0,56096
73,54,56244
68,0,56432
89,0,56465
73,0,56478
61,88,56560
92,78,56601
92,0,56670
85,88,56897
65,57,56902
68,58,57215
61,0,57356
65,0,57390
84,73,57571
85,0,57594
68,0,57648
56,84,57889
84,0,57949
60,60,58241
89,73,58539
63,51,58591
56,0,58763
68,63,58887
60,0,58962
63,0,59024
56,90,59226
89,0,59227
68,0,59233
92,72,59235
60,42,59573
92,0,59681
84,49,59725
63,49,59939
56,0,60187
68,70,60222
82,79,60224
60,0,60239
84,0,60256
63,0,60285
68,0,60373
58,60,60559
82,0,60606
89,84,60876
61,60,60881
89,0,60967
65,62,61209
89,66,61217
58,0,61219
89,0,61298
61,0,61308
70,70,61553
89,66,61559
89,0,61665
65,0,61704
70,0,61721
58,78,61875
89,79,61880
61,46,62215
89,0,62252
89,72,62400
58,0,62406
65,58,62501
61,0,62576
70,59,62838
89,0,62847
90,81,62873
65,0,62926
70,0,62946
54,66,63202
90,0,63310
90,81,63542
58,45,63574
90,0,63617
61,60,63857
90,88,63871
90,0,63957
54,0,64011
58,0,64019
66,74,64223
