Tempo,59
67,35,1237
72,32,1483
67,0,1512
74,43,1709
72,0,1734
76,50,1956
36,35,1958
74,0,1988
36,0,2354
76,0,2379
43,36,2422
43,0,2796
48,30,2876
79,44,2885
48,0,3131
50,30,3368
79,0,3386
50,0,3811
52,37,3905
84,42,3909
84,0,4285
83,41,4994
83,0,5239
52,0,5447
79,36,5710
79,0,5781
79,46,5963
41,35,5986
81,46,6225
79,0,6238
41,0,6407
48,35,6417
53,32,6653
48,0,6674
53,0,6833
55,35,6900
55,0,7042
48,31,7369
77,36,7897
57,32,7905
81,0,7915
77,0,8578
57,0,9138
48,0,9273
72,36,9523
72,0,9765
74,40,9768
45,35,10042
74,0,10049
76,41,10052
45,0,10473
52,31,10503
57,23,10986
72,46,11002
76,0,11007
52,0,11039
57,0,11399
72,0,11403
59,31,11484
59,0,11583
71,42,12004
59,29,12011
71,0,12435
67,42,13038
59,0,13057
67,0,13438
57,36,13548
57,0,13622
67,46,13751
67,0,13864
41,35,14039
67,41,14041
69,42,14322
67,0,14338
41,0,14535
48,30,14569
53,27,15069
55,33,16125
69,0,16894
67,41,17560
55,0,17570
53,0,17622
48,0,17711
72,47,17793
67,0,17839
74,61,18013
72,0,18038
36,38,18226
76,59,18235
74,0,18236
36,0,18640
76,0,18663
43,36,18707
48,40,18944
43,0,18997
48,0,19139
84,56,19172
50,44,19177
50,0,19566
84,0,19621
52,37,19628
83,51,19640
83,0,20103
79,33,20119
55,39,20120
60,36,21130
76,46,21135
79,0,21136
55,0,21171
52,0,21176
60,0,21222
76,0,21780
77,41,22238
41,36,22254
41,0,22683
48,28,22768
48,0,23111
53,33,23201
77,0,23216
53,0,23578
48,31,23694
53,27,24196
55,35,24210
55,0,25639
81,40,25779
53,0,25792
48,0,25821
83,53,26002
81,0,26025
83,0,26233
45,46,26244
84,60,26251
45,0,26677
84,0,26719
52,31,26735
83,54,26739
57,31,27204
83,0,27206
79,56,27210
59,36,27750
59,0,27836
76,46,28268
60,35,28273
79,0,28275
57,0,28485
60,0,28663
52,0,28994
76,0,29406
79,36,29438
57,27,29452
57,0,29506
79,0,29609
79,37,29826
79,0,29923
79,44,30122
79,0,30205
79,60,30411
43,3,30416
43,0,30851
50,32,30899
50,0,31270
55,35,31335
55,0,31704
50,29,31822
59,40,32360
55,36,33413
77,55,33631
79,0,33662
59,0,33803
76,59,33886
55,0,33905
77,0,33909
50,0,33931
76,0,34098
71,46,34119
72,50,34126
71,0,34197
72,0,34203
72,50,34369
41,50,34381
41,0,34813
48,29,34890
72,0,34974
53,36,35127
48,0,35210
53,0,35332
72,60,35367
55,41,35370
55,0,35521
48,41,35838
57,58,36402
48,0,36623
57,0,36818
48,40,36934
72,0,37008
48,0,37384
77,56,37436
55,43,37444
53,39,37449
53,0,37539
55,0,37549
76,61,37766
77,0,37767
48,49,37909
48,0,37965
76,0,38057
72,60,38097
72,0,38177
45,50,38417
72,75,38433
52,28,38920
45,0,38929
57,35,39156
52,0,39211
57,0,39332
59,55,39397
59,0,39805
52,33,39907
52,0,40418
60,42,40421
60,0,40637
52,33,40926
52,0,41434
72,0,41469
57,38,41472
77,59,41474
57,0,41784
76,58,41850
77,0,41888
52,45,42001
52,0,42063
76,0,42153
72,62,42171
72,0,42255
72,67,42488
41,46,42494
41,0,42958
48,35,42983
53,39,43226
48,0,43265
53,0,43412
55,49,43467
55,0,43627
48,35,43978
72,0,44115
48,0,44344
57,35,44481
72,58,44485
57,0,44617
48,29,45016
72,0,45058
48,0,45450
72,46,45536
55,33,45548
53,36,45557
53,0,45634
55,0,45642
72,0,46250
74,38,46278
74,0,46360
43,36,46562
74,44,46580
43,0,46995
50,29,47087
50,0,47560
55,36,47615
55,0,47995
50,30,48085
59,38,48689
74,0,49047
59,0,49931
79,53,49967
50,0,50127
79,0,50195
84,64,50219
83,57,50441
84,0,50446
83,0,50699
84,61,50710
36,56,50721
43,44,50948
36,0,51012
48,50,51210
43,0,51236
48,0,51366
50,50,51436
84,0,51601
52,48,51672
83,64,51674
50,0,51684
55,37,52155
83,0,52316
79,52,52396
79,0,52461
55,0,52549
79,76,52642
60,28,52726
60,0,52781
55,31,53138
79,0,53140
76,49,53143
76,0,53234
55,0,53381
60,46,53414
76,82,53651
60,0,53710
76,0,53967
74,60,53989
52,0,54015
55,53,54150
55,0,54221
74,0,54318
72,54,54334
72,0,54427
43,46,54613
74,73,54617
50,37,54878
43,0,54969
74,0,54975
55,35,55118
57,35,55347
55,0,55357
57,0,55601
79,55,55621
55,28,56134
83,51,56705
79,0,56717
59,27,56742
83,0,57846
79,54,58080
59,0,58148
55,0,58269
79,0,58280
84,67,58308
50,0,58339
83,56,58541
84,0,58639
83,0,58704
45,57,58786
84,75,58794
52,37,59042
45,0,59121
57,43,59263
57,0,59495
59,46,59513
59,0,59705
79,50,59763
84,0,59802
60,33,60295
60,0,60464
57,33,60815
76,50,60817
79,0,60818
59,54,61910
76,0,61939
77,67,62149
59,0,62395
57,0,62467
52,0,62559
77,0,62649
76,55,62652
76,0,62884
77,78,62929
41,40,62936
48,36,63189
41,0,63246
53,36,63426
53,0,63607
55,52,63654
76,63,63664
77,0,63669
55,0,63874
48,0,63902
53,36,63910
53,0,64149
48,32,64154
48,0,64347
76,0,64379
72,53,64388
53,38,64390
53,0,64554
48,38,64630
48,0,64771
74,56,64858
43,46,64860
72,0,64880
50,32,65174
43,0,65260
55,35,65387
57,37,65648
55,0,65712
74,0,65977
57,0,66216
55,42,66527
79,70,66545
50,0,66556
55,0,66586
79,0,66925
84,54,67045
79,46,67047
72,45,67051
36,39,67062
43,40,67279
36,0,67368
72,0,67466
79,0,67492
48,35,67510
84,0,67530
43,0,67582
48,0,67705
50,40,67747
83,58,67759
52,44,68009
50,0,68029
55,36,68242
83,0,68468
79,55,68486
55,0,68594
55,37,68938
76,39,69191
79,0,69199
76,0,69488
60,28,69808
76,46,70035
60,0,70216
74,43,70397
76,0,70403
55,0,70404
52,0,70538
74,0,70757
72,41,70770
72,0,71031
74,51,71044
43,36,71054
43,0,71468
50,30,71546
50,0,71953
74,0,71974
55,36,72002
79,39,72059
55,0,72430
79,0,72441
50,32,72506
55,35,72997
83,48,73007
57,33,73012
83,0,73882
57,0,74118
81,58,74378
55,0,74441
50,0,74578
81,0,74599
83,49,74602
84,51,74825
83,0,74854
84,0,74913
45,46,75067
84,68,75079
52,35,75331
45,0,75352
57,38,75549
57,0,75773
59,35,75775
59,0,75985
84,0,76011
83,57,76044
57,32,76568
84,51,76817
83,0,76856
84,0,76898
57,0,77049
84,57,77071
59,33,77076
59,0,77370
57,30,77584
84,0,77684
57,0,78027
88,51,78048
59,42,78065
52,0,78123
59,0,78197
57,33,78542
88,0,78555
57,0,78562
89,47,78763
89,0,78869
89,54,79058
41,39,79065
48,33,79362
41,0,79369
53,33,79589
53,0,79799
55,40,79816
89,0,80034
88,58,80091
55,0,80109
48,0,80236
53,35,80580
84,46,80600
88,0,80618
53,0,80661
84,0,81127
86,50,81137
43,37,81143
43,0,81639
50,35,81646
55,37,82179
83,49,82180
86,0,82207
55,0,82729
50,0,82745
83,0,82766
84,51,83002
84,0,83080
84,61,83270
45,51,83273
52,41,83640
79,56,83641
84,0,83656
45,0,83663
57,39,83956
76,53,83968
79,0,83977
76,0,84078
76,61,84237
57,0,84323
76,0,84549
72,57,84566
52,0,84607
57,41,84718
72,0,84773
57,0,84777
76,47,84900
76,0,84993
77,54,85174
41,52,85188
77,0,85406
77,56,85536
48,47,85539
41,0,85566
77,0,85660
53,40,85868
77,53,85878
48,0,85941
77,0,85966
53,0,86002
77,64,86176
55,50,86183
55,0,86370
77,0,86422
76,50,86508
76,0,86645
53,40,86704
53,0,86752
72,51,86913
72,0,86987
72,57,87227
36,51,87234
72,0,87479
43,48,87597
72,47,87603
36,0,87646
72,0,87706
48,39,87951
72,51,87966
72,0,88056
72,70,88258
48,0,88263
52,53,88271
72,0,88443
72,59,88594
52,0,88624
43,0,88646
48,51,88757
48,0,88846
72,0,88910
74,57,88953
74,0,89037
74,64,89290
43,57,89299
43,0,89828
50,30,89852
74,0,89864
50,0,90316
55,47,90352
74,50,90353
55,0,90467
50,32,90851
74,0,90887
50,0,90895
72,39,91060
72,0,91134
72,46,91397
41,37,91411
72,0,91729
41,0,91737
77,32,91856
48,26,91866
77,0,91988
48,0,92294
77,41,92413
53,30,92415
53,0,92533
76,51,92676
77,0,92726
76,0,92905
72,47,92910
48,41,92921
48,0,93003
72,0,93009
72,73,93166
36,42,93432
43,46,93656
36,0,93751
48,41,93914
48,0,94093
50,43,94138
50,0,94233
72,0,94236
52,51,94403
67,56,94408
72,67,94764
52,0,94771
67,0,94811
43,0,94864
48,50,94928
48,0,94985
76,69,95116
72,0,95120
76,0,95388
74,64,95398
43,50,95401
50,39,95651
43,0,95742
55,35,95922
74,0,95983
55,0,96129
57,36,96150
57,0,96329
67,59,96383
69,46,96633
67,0,96637
69,0,96867
71,44,96893
55,31,96907
72,42,97140
71,0,97177
72,0,97399
74,47,97411
55,0,97475
74,0,97599
76,49,97928
50,0,97988
55,41,98182
77,43,98437
76,0,98446
55,0,98491
76,47,98790
77,0,98804
50,41,98945
50,0,98994
76,0,99114
72,36,99150
72,0,99249
41,46,99445
72,57,99447
48,31,99696
41,0,99738
53,36,99962
53,0,100150
55,44,100217
72,0,100300
67,47,100466
55,0,100550
48,0,100661
69,58,100802
67,0,100842
53,47,100979
53,0,101036
69,0,101159
72,56,101194
72,0,101280
36,49,101508
72,62,101510
43,43,101771
36,0,101821
48,50,102018
43,0,102087
48,0,102181
50,50,102271
72,0,102281
50,0,102501
52,41,102515
72,63,102519
55,37,103051
52,0,103060
55,0,103119
72,0,103174
74,42,103302
74,0,103376
43,44,103589
74,56,103591
43,0,104022
50,30,104088
50,0,104573
55,31,104598
71,47,104600
74,0,104601
55,0,104848
50,31,105061
74,39,105610
71,0,105619
59,30,105622
74,0,106637
67,49,106910
59,0,106996
72,54,107133
50,0,107139
67,0,107152
74,59,107367
72,0,107401
76,47,107612
41,48,107627
74,0,107665
79,49,107873
76,0,107884
48,41,107888
41,0,107901
53,45,108126
53,0,108337
55,41,108353
72,56,108370
79,0,108408
55,0,108701
72,0,108959
67,39,108975
48,0,109068
72,38,109194
53,46,109199
67,0,109210
53,0,109255
74,51,109429
72,0,109453
74,0,109631
45,38,109649
57,39,109660
76,41,109666
45,0,109905
52,42,109946
57,0,109966
76,0,110093
57,28,110188
79,47,110429
57,0,110573
72,42,110942
79,0,110985
52,0,111105
57,41,111164
72,0,111170
57,0,111233
72,50,111401
72,0,111487
72,69,111658
36,50,111669
43,41,111902
72,0,111951
36,0,111954
48,50,112141
43,0,112170
48,0,112306
50,44,112385
72,60,112418
72,0,112501
50,0,112624
52,33,112630
72,52,112879
52,0,113121
55,46,113125
55,0,113198
72,0,113327
74,44,113347
74,0,113423
43,44,113633
74,52,113635
50,36,113893
43,0,113977
55,35,114129
59,32,114395
74,0,115218
72,44,115237
55,0,115263
59,0,115264
50,0,115369
74,43,115478
72,0,115490
76,38,115759
41,42,115769
74,0,115828
48,39,116008
79,46,116012
76,0,116023
41,0,116087
53,39,116265
53,0,116487
55,46,116503
72,53,116510
79,0,116524
72,0,117081
55,0,117147
48,0,117278
72,47,117336
53,37,117341
53,0,117393
72,0,117551
74,46,117567
74,0,117794
72,48,117811
76,47,117818
45,37,117826
79,42,118069
76,0,118071
52,36,118079
72,0,118082
45,0,118108
57,36,118320
57,0,118566
72,50,118569
59,41,118581
79,0,118593
72,0,119210
59,0,119280
52,0,119321
57,37,119361
57,0,119412
72,51,119851
36,38,119862
43,37,120095
36,0,120138
72,0,120366
48,36,120389
48,0,120596
72,50,120615
52,35,120627
52,0,121070
48,38,121113
43,0,121254
74,50,121354
72,0,121354
48,0,121388
74,0,121447
74,51,121867
43,36,121876
43,0,122259
50,31,122344
74,0,122668
55,33,122874
79,36,123114
79,0,123343
55,0,123357
84,38,123374
50,0,123463
83,44,123609
84,0,123644
83,0,123866
84,49,123872
45,39,123874
52,36,124103
45,0,124196
57,33,124362
57,0,124570
59,41,124589
83,54,124602
84,0,124641
59,0,125041
52,0,125293
83,0,125380
57,39,125384
81,51,125403
57,0,125450
81,0,125874
84,60,125891
41,43,125903
48,39,126141
41,0,126265
53,47,126390
48,0,126500
53,0,126593
55,42,126629
83,59,126630
84,0,126670
55,0,126741
53,44,126940
53,0,127288
48,36,127431
79,51,127437
83,0,127455
48,0,127480
79,0,127541
79,69,127926
36,44,127928
43,39,128181
84,52,128193
36,0,128231
79,0,128236
48,31,128437
43,0,128468
84,0,128493
48,0,128589
79,43,128663
50,38,128666
50,0,128913
52,41,128927
84,59,128932
79,0,128949
84,0,129055
84,55,129266
52,0,129355
55,41,129425
55,0,129501
84,0,129597
83,54,129643
83,0,129715
43,49,129919
83,76,129930
