Tempo,59
74,35,1237
79,32,1483
74,0,1512
81,43,1709
79,0,1734
83,50,1956
43,35,1958
81,0,1988
43,0,2354
83,0,2379
50,36,2422
50,0,2796
55,30,2876
86,44,2885
55,0,3131
57,30,3368
86,0,3386
57,0,3811
59,37,3905
91,42,3909
91,0,4285
90,41,4994
90,0,5239
59,0,5447
86,36,5710
86,0,5781
86,46,5963
48,35,5986
88,46,6225
86,0,6238
48,0,6407
55,35,6417
60,32,6653
55,0,6674
60,0,6833
62,35,6900
62,0,7042
55,31,7369
84,36,7897
64,32,7905
88,0,7915
84,0,8578
64,0,9138
55,0,9273
79,36,9523
79,0,9765
81,40,9768
52,35,10042
81,0,10049
83,41,10052
52,0,10473
59,31,10503
64,23,10986
79,46,11002
83,0,11007
59,0,11039
64,0,11399
79,0,11403
66,31,11484
66,0,11583
78,42,12004
66,29,12011
78,0,12435
74,42,13038
66,0,13057
74,0,13438
64,36,13548
64,0,13622
74,46,13751
74,0,13864
48,35,14039
74,41,14041
76,42,14322
74,0,14338
48,0,14535
55,30,14569
60,27,15069
62,33,16125
76,0,16894
74,41,17560
62,0,17570
60,0,17622
55,0,17711
79,47,17793
74,0,17839
81,61,18013
79,0,18038
43,38,18226
83,59,18235
81,0,18236
43,0,18640
83,0,18663
50,36,18707
55,40,18944
50,0,18997
55,0,19139
91,56,19172
57,44,19177
57,0,19566
91,0,19621
59,37,19628
90,51,19640
90,0,20103
86,33,20119
62,39,20120
67,36,21130
83,46,21135
86,0,21136
62,0,21171
59,0,21176
67,0,21222
83,0,21780
84,41,22238
48,36,22254
48,0,22683
55,28,22768
55,0,23111
60,33,23201
84,0,23216
60,0,23578
55,31,23694
60,27,24196
62,35,24210
62,0,25639
88,40,25779
60,0,25792
55,0,25821
90,53,26002
88,0,26025
90,0,26233
52,46,26244
91,60,26251
52,0,26677
91,0,26719
59,31,26735
90,54,26739
64,31,27204
90,0,27206
86,56,27210
66,36,27750
66,0,27836
83,46,28268
67,35,28273
86,0,28275
64,0,28485
67,0,28663
59,0,28994
83,0,29406
86,36,29438
64,27,29452
64,0,29506
86,0,29609
86,37,29826
86,0,29923
86,44,30122
86,0,30205
86,60,30411
50,3,30416
50,0,30851
57,32,30899
57,0,31270
62,35,31335
62,0,31704
57,29,31822
66,40,32360
62,36,33413
84,55,33631
86,0,33662
66,0,33803
83,59,33886
62,0,33905
84,0,33909
57,0,33931
83,0,34098
78,46,34119
79,50,34126
78,0,34197
79,0,34203
79,50,34369
48,50,34381
48,0,34813
55,29,34890
79,0,34974
60,36,35127
55,0,35210
60,0,35332
79,60,35367
62,41,35370
62,0,35521
55,41,35838
64,58,36402
55,0,36623
64,0,36818
55,40,36934
79,0,37008
55,0,37384
84,56,37436
62,43,37444
60,39,37449
60,0,37539
62,0,37549
83,61,37766
84,0,37767
55,49,37909
55,0,37965
83,0,38057
79,60,38097
79,0,38177
52,50,38417
79,75,38433
59,28,38920
52,0,38929
64,35,39156
59,0,39211
64,0,39332
66,55,39397
66,0,39805
59,33,39907
59,0,40418
67,42,40421
67,0,40637
59,33,40926
59,0,41434
79,0,41469
64,38,41472
84,59,41474
64,0,41784
83,58,41850
84,0,41888
59,45,42001
59,0,42063
83,0,42153
79,62,42171
79,0,42255
79,67,42488
48,46,42494
48,0,42958
55,35,42983
60,39,43226
55,0,43265
60,0,43412
62,49,43467
62,0,43627
55,35,43978
79,0,44115
55,0,44344
64,35,44481
79,58,44485
64,0,44617
55,29,45016
79,0,45058
55,0,45450
79,46,45536
62,33,45548
60,36,45557
60,0,45634
62,0,45642
79,0,46250
81,38,46278
81,0,46360
50,36,46562
81,44,46580
50,0,46995
57,29,47087
57,0,47560
62,36,47615
62,0,47995
57,30,48085
66,38,48689
81,0,49047
66,0,49931
86,53,49967
57,0,50127
86,0,50195
91,64,50219
90,57,50441
91,0,50446
90,0,50699
91,61,50710
43,56,50721
50,44,50948
43,0,51012
55,50,51210
50,0,51236
55,0,51366
57,50,51436
91,0,51601
59,48,51672
90,64,51674
57,0,51684
62,37,52155
90,0,52316
86,52,52396
86,0,52461
62,0,52549
86,76,52642
67,28,52726
67,0,52781
62,31,53138
86,0,53140
83,49,53143
83,0,53234
62,0,53381
67,46,53414
83,82,53651
67,0,53710
83,0,53967
81,60,53989
59,0,54015
62,53,54150
62,0,54221
81,0,54318
79,54,54334
79,0,54427
50,46,54613
81,73,54617
57,37,54878
50,0,54969
81,0,54975
62,35,55118
64,35,55347
62,0,55357
64,0,55601
86,55,55621
62,28,56134
90,51,56705
86,0,56717
66,27,56742
90,0,57846
86,54,58080
66,0,58148
62,0,58269
86,0,58280
91,67,58308
57,0,58339
90,56,58541
91,0,58639
90,0,58704
52,57,58786
91,75,58794
59,37,59042
52,0,59121
64,43,59263
64,0,59495
66,46,59513
66,0,59705
86,50,59763
91,0,59802
67,33,60295
67,0,60464
64,33,60815
83,50,60817
86,0,60818
66,54,61910
83,0,61939
84,67,62149
66,0,62395
64,0,62467
59,0,62559
84,0,62649
83,55,62652
83,0,62884
84,78,62929
48,40,62936
55,36,63189
48,0,63246
60,36,63426
60,0,63607
