Tempo,100
49,33,1168
61,33,1170
76,35,1176
76,0,1414
76,32,1812
61,0,1860
76,0,2058
61,31,2129
76,39,2445
49,0,2520
61,0,2553
49,40,2716
49,0,2823
80,39,3004
76,0,3040
80,0,3200
45,33,3593
85,37,3594
57,32,3597
85,0,3855
85,35,4192
57,0,4209
57,36,4459
85,0,4463
85,49,4784
45,0,4787
57,0,4904
45,36,5058
45,0,5249
57,46,5350
83,53,5373
85,0,5380
57,0,5417
83,0,5835
52,36,5973
40,35,5978
80,39,5992
80,0,6253
80,32,6583
80,0,6679
80,40,7184
52,0,7193
40,0,7271
40,36,7460
40,0,7767
52,35,7782
80,0,7799
76,41,7816
52,0,7894
40,41,8096
40,0,8135
76,0,8413
75,37,8426
47,43,8428
59,37,8433
75,0,8749
75,36,9004
75,0,9196
59,0,9507
47,0,9581
75,39,9587
47,37,9875
47,0,10176
75,0,10195
59,33,10207
76,53,10208
59,0,10300
47,41,10496
47,0,10572
76,0,10785
61,37,10808
49,37,10814
73,50,10818
73,0,11101
76,36,11397
61,0,11501
76,0,11610
61,32,11698
76,48,11987
49,0,11995
61,0,12072
49,39,12242
49,0,12425
76,0,12524
80,55,12544
61,43,12551
61,0,12659
49,36,12832
49,0,12907
80,0,13117
85,46,13159
45,35,13179
57,35,13190
85,0,13459
57,0,13534
85,43,13774
85,0,13929
45,0,14027
57,23,14035
85,43,14370
57,0,14415
45,29,14668
45,0,14855
85,0,14912
57,36,14942
83,46,14958
57,0,15019
83,0,15337
52,36,15572
40,35,15587
80,36,15592
80,0,15849
52,0,16046
80,31,16145
80,0,16392
52,35,16444
80,41,16768
40,0,16793
52,0,16949
40,33,17057
40,0,17312
52,35,17345
80,0,17346
76,37,17369
52,0,17428
76,0,17923
47,33,17925
59,32,17935
75,37,17938
75,0,18984
59,0,19274
47,0,19662
49,36,20409
56,32,20710
76,40,20712
49,0,20752
76,0,20800
61,31,20990
76,46,21005
56,0,21025
61,0,21214
76,0,21245
63,35,21274
73,40,21290
63,0,21391
73,0,21563
76,42,21577
64,35,21579
64,0,21791
76,0,21851
73,45,21899
76,39,22197
61,35,22203
73,0,22218
61,0,22283
78,44,22486
76,0,22514
78,0,22752
80,42,22767
45,35,22781
52,32,23062
76,36,23069
80,0,23082
45,0,23090
76,0,23157
57,35,23359
76,47,23361
52,0,23366
76,0,23443
57,0,23478
59,37,23628
76,43,23650
59,0,23713
76,0,23916
71,45,23960
61,26,23965
61,0,24106
71,0,24235
80,41,24260
57,36,24564
57,0,24638
40,33,25198
47,36,25469
40,0,25511
47,0,25778
52,49,25811
52,0,25991
54,47,26086
80,0,26317
54,0,26320
56,49,26379
76,46,26644
76,0,26723
56,0,26856
76,56,26948
59,44,26955
59,0,27036
78,55,27246
76,0,27253
78,0,27515
47,42,27559
75,59,27562
54,43,27876
47,0,27892
75,0,27898
59,36,28156
54,0,28193
59,0,28297
61,39,28428
75,47,28442
61,0,28515
75,0,28518
63,45,28754
75,50,28761
63,0,28937
75,0,29012
73,57,29051
59,39,29353
73,0,29354
76,54,29358
59,0,29406
49,41,29971
76,0,29996
56,36,30271
76,51,30285
49,0,30288
76,0,30361
56,0,30503
61,48,30583
76,51,30590
61,0,30685
76,0,30831
63,46,30875
73,56,30878
63,0,30957
73,0,31148
76,44,31181
64,40,31190
64,0,31295
76,0,31322
73,50,31355
61,44,31485
61,0,31582
76,47,31640
73,0,31654
63,46,31794
63,0,31907
78,53,31945
76,0,31958
61,41,32083
61,0,32148
80,47,32227
78,0,32232
80,0,32311
45,44,32395
80,58,32397
52,37,32681
76,49,32683
45,0,32701
80,0,32724
76,0,32775
52,0,32919
57,35,32980
76,48,32981
76,0,33067
57,0,33068
76,50,33271
59,41,33282
59,0,33341
76,0,33386
71,44,33578
61,43,33583
61,0,33695
71,0,33886
80,50,33962
57,42,34179
57,0,34251
59,53,34493
59,0,34549
40,39,34774
40,0,35047
47,41,35061
47,0,35322
52,52,35386
52,0,35466
54,45,35681
54,0,35854
80,0,35865
56,49,35978
76,47,36241
76,0,36317
56,0,36487
59,44,36539
76,52,36542
59,0,36602
76,0,36835
78,52,36865
78,0,37164
47,42,37180
75,55,37191
75,0,37373
54,36,37452
75,50,37466
47,0,37492
75,0,37551
59,40,37739
75,50,37760
75,0,37829
59,0,37990
61,37,38041
75,51,38047
75,0,38113
61,0,38143
63,37,38372
75,49,38373
63,0,38483
75,0,38521
80,36,38645
54,0,38700
80,0,38732
59,42,38932
80,57,38943
59,0,39002
80,0,39039
80,51,39239
80,0,39324
80,50,39553
49,46,39555
80,0,39789
49,0,39856
56,30,39880
61,30,40189
80,38,40192
80,0,40326
61,0,40419
64,31,40448
64,0,40579
80,46,40792
56,0,40909
80,0,40962
83,42,41342
61,33,41362
61,0,41410
83,0,41600
85,50,41944
45,40,41946
85,0,42234
52,35,42276
45,0,42285
52,0,42557
57,29,42563
85,56,42579
57,0,42758
85,0,42847
59,38,42857
59,0,42974
85,61,43173
61,40,43190
61,0,43396
85,0,43552
57,45,43793
83,49,43804
57,0,43868
83,0,44150
80,59,44413
40,44,44419
80,0,44695
47,44,44702
40,0,44721
47,0,44982
52,44,45007
80,62,45016
52,0,45161
54,38,45276
80,0,45310
54,0,45533
56,49,45573
80,61,45587
80,0,46144
56,0,46155
76,53,46190
59,36,46198
59,0,46253
76,0,46719
47,41,46744
75,52,46754
54,33,47055
47,0,47078
75,0,47087
59,27,47374
75,44,47377
75,0,47622
59,0,47632
61,32,47637
61,0,47757
75,40,47978
63,36,47997
63,0,48252
54,0,48549
75,0,48626
49,38,49167
76,46,49188
76,0,49454
49,0,49487
56,33,49491
56,0,49770
61,33,49791
76,52,49792
61,0,49991
76,0,50014
63,41,50081
63,0,50178
76,57,50387
64,41,50399
64,0,50528
61,44,50674
76,0,50685
61,0,50954
80,57,51018
63,47,51025
63,0,51140
61,40,51310
61,0,51362
85,52,51591
80,0,51596
45,24,51692
52,36,51903
85,0,51929
45,0,51959
52,0,52185
57,35,52220
85,49,52227
57,0,52412
59,39,52504
85,0,52510
59,0,52602
85,48,52787
61,43,52801
61,0,52929
57,39,53091
57,0,53308
85,0,53382
59,46,53396
83,60,53401
59,0,53500
57,48,53683
57,0,53750
83,0,53982
40,48,53986
80,50,53991
47,41,54280
40,0,54311
80,0,54348
47,0,54561
52,40,54585
80,45,54597
52,0,54700
47,35,54876
80,0,54889
47,0,55152
80,49,55195
56,35,55208
56,0,55307
47,41,55482
47,0,55725
80,0,55776
76,45,55783
52,41,55785
52,0,55864
47,43,56076
47,0,56151
76,0,56363
47,37,56366
75,48,56378
54,33,56680
47,0,56704
59,35,56955
54,0,56957
59,0,57109
54,33,57259
63,38,57609
75,0,57714
63,0,57861
80,40,57879
80,0,57937
54,0,58030
59,35,58166
80,37,58200
59,0,58240
80,0,58265
