Tempo,62
69,0,348
45,0,468
45,37,1749
69,36,1765
69,0,2049
76,36,2097
45,0,2110
52,31,2123
76,0,2186
57,33,2416
76,41,2426
57,0,2670
76,0,2702
59,30,2750
71,46,2756
71,0,3045
59,0,3047
69,46,3097
69,0,3179
69,42,3427
57,24,3472
69,0,3770
60,31,3780
64,36,3804
57,0,3865
64,0,4040
69,35,4111
60,0,4123
69,0,4202
52,0,4369
69,38,4457
69,0,4764
71,40,4789
57,36,4805
57,0,4883
71,0,4970
69,37,4986
69,0,5112
41,38,5665
69,45,5673
48,36,5995
76,43,5996
69,0,5997
41,0,6001
76,0,6088
76,48,6316
53,33,6320
48,0,6320
53,0,6446
55,40,6658
71,52,6660
76,0,6674
55,0,6802
71,0,6966
69,48,6997
69,0,7078
57,39,7328
69,49,7349
57,0,7446
69,0,7629
53,33,7664
64,47,7671
64,0,7927
69,41,7994
69,0,8071
53,0,8342
55,35,8348
69,46,8355
69,0,8662
55,0,8683
71,36,8696
71,0,8860
69,46,8864
69,0,9011
38,47,9589
69,50,9594
69,0,9934
76,42,9935
38,0,10054
74,46,10265
76,0,10265
43,44,10574
69,36,10595
74,0,10608
69,0,10904
71,52,10910
43,0,11094
71,0,11210
67,50,11249
67,0,11324
67,50,11576
36,41,11580
67,0,11864
74,39,11924
74,0,12221
72,47,12231
36,0,12268
41,36,12597
65,36,12600
72,0,12608
41,0,13002
65,0,13145
64,41,13508
36,36,13511
48,38,13516
65,49,13823
36,0,13834
64,0,13848
48,0,13853
65,0,14128
67,55,14139
41,48,14450
53,45,14453
69,55,14461
67,0,14480
69,0,14748
71,51,14765
53,0,14832
41,0,14876
71,0,15011
72,46,15099
74,49,15467
72,0,15476
50,55,15480
38,58,15485
76,44,15813
74,0,15873
38,0,16034
50,0,16064
76,0,16110
74,41,16119
74,0,16189
68,42,16494
52,36,16499
40,36,16507
40,0,17004
52,0,17048
68,0,17298
45,36,17453
57,33,17459
72,38,17785
72,0,17857
57,0,18046
72,44,18075
69,46,18079
72,0,18135
69,0,18151
57,32,18364
69,35,18691
69,0,18776
72,41,18994
69,40,19002
57,0,19028
72,0,19060
69,0,19069
57,35,19283
69,33,19623
72,36,19624
72,0,19709
69,0,19719
72,36,19941
69,38,19946
57,0,19993
72,0,20015
69,0,20023
57,29,20233
69,40,20534
72,40,20540
72,0,20628
69,0,20635
45,0,20693
57,0,20710
72,41,20860
69,41,20870
69,0,20957
72,0,20958
45,41,21176
69,44,21178
76,40,21496
69,0,21501
45,0,21503
52,32,21511
76,0,21599
52,0,21744
76,46,21800
57,32,21801
57,0,21973
59,39,22107
71,47,22117
76,0,22123
59,0,22192
71,0,22399
69,43,22426
69,0,22521
60,33,22746
69,47,22758
60,0,22835
69,0,23033
57,37,23065
64,40,23066
64,0,23363
69,41,23382
69,0,23457
57,0,23685
69,47,23700
59,32,23714
59,0,23825
69,0,23826
71,43,24025
60,32,24036
60,0,24150
71,0,24316
69,36,24351
69,0,24469
41,45,25072
69,46,25078
69,0,25339
76,46,25372
41,0,25375
48,32,25386
76,0,25455
48,0,25657
76,47,25701
53,33,25706
53,0,25826
76,0,25995
55,45,26033
71,51,26044
71,0,26305
69,44,26336
69,0,26417
55,0,26627
57,35,26683
69,39,26685
69,0,26963
64,40,27005
64,0,27257
69,43,27312
69,0,27387
69,39,27637
69,0,27939
71,49,27966
57,0,28025
71,0,28167
69,50,28175
69,0,28251
38,43,28895
69,51,28897
69,0,29201
45,44,29208
76,44,29220
38,0,29225
45,0,29292
74,41,29556
76,0,29613
43,40,29867
69,53,29881
74,0,29952
69,0,30183
71,49,30193
43,0,30251
71,0,30464
67,48,30518
67,0,30576
36,45,30830
48,43,30832
67,52,30847
67,0,31133
74,42,31178
36,0,31179
48,0,31206
72,43,31502
74,0,31538
65,46,31871
41,36,31875
53,38,31876
72,0,31891
53,0,32152
41,0,32236
65,0,32333
48,43,32817
36,43,32818
64,53,32827
64,0,33145
65,51,33155
36,0,33158
48,0,33193
67,45,33504
65,0,33517
69,51,33821
53,44,33823
41,45,33826
67,0,33945
71,53,34132
69,0,34168
53,0,34183
41,0,34210
72,49,34467
71,0,34497
72,0,34549
38,35,34805
50,36,34807
74,51,34808
74,0,35073
76,39,35090
38,0,35241
50,0,35277
76,0,35358
74,35,35428
74,0,35487
52,32,35780
68,31,35789
40,33,35791
52,0,36363
68,0,36708
52,29,36804
76,38,37070
40,0,37150
76,0,37158
52,0,37190
76,59,37395
76,0,37479
45,52,37721
76,58,37723
57,51,37725
76,0,37973
57,0,37977
57,39,38387
69,48,38400
57,0,38689
45,0,38727
69,0,38799
74,38,39114
74,0,39227
74,51,39399
74,0,39504
74,54,39714
52,46,39725
40,44,39728
40,0,39894
52,0,39899
44,35,40387
56,36,40389
71,45,40454
74,0,40476
71,0,40497
44,0,40568
56,0,40569
72,44,41077
72,0,41138
72,52,41385
72,0,41453
72,54,41712
45,38,41719
57,40,41724
57,0,41994
72,0,42214
57,44,42321
64,48,42340
45,0,42378
57,0,42386
64,0,42431
69,52,42697
53,33,42701
41,37,42709
69,0,43765
53,0,43782
41,0,43815
38,39,44338
69,51,44349
45,38,44671
71,48,44685
38,0,44691
69,0,44702
71,0,44958
50,33,44986
69,41,44991
71,48,45327
69,0,45342
71,0,45653
69,39,45671
50,0,45785
45,0,45810
71,41,45991
69,0,46003
71,0,46330
40,36,46351
72,46,46352
74,40,46663
72,0,46666
47,32,46689
40,0,46693
74,0,46998
72,48,47001
52,33,47004
56,36,47338
74,49,47348
72,0,47355
56,0,47755
52,0,47881
74,0,47949
47,0,47993
72,51,48028
40,44,48333
72,0,48344
76,57,48350
47,46,48643
77,55,48646
76,0,48671
40,0,48701
77,0,48952
76,48,48954
52,36,48961
77,56,49289
56,36,49290
76,0,49300
52,0,49366
56,0,49675
47,0,49776
59,41,50249
77,0,50644
59,0,50683
52,36,51181
76,37,51197
52,0,51263
76,0,51723
72,57,52125
36,46,52128
43,37,52444
