Tempo,62
73,0,348
49,0,468
49,37,1749
73,36,1765
73,0,2049
80,36,2097
49,0,2110
56,31,2123
80,0,2186
61,33,2416
80,41,2426
61,0,2670
80,0,2702
63,30,2750
75,46,2756
75,0,3045
63,0,3047
73,46,3097
73,0,3179
73,42,3427
61,24,3472
73,0,3770
64,31,3780
68,36,3804
61,0,3865
68,0,4040
73,35,4111
64,0,4123
73,0,4202
56,0,4369
73,38,4457
73,0,4764
75,40,4789
61,36,4805
61,0,4883
75,0,4970
73,37,4986
73,0,5112
45,38,5665
73,45,5673
52,36,5995
80,43,5996
73,0,5997
45,0,6001
80,0,6088
80,48,6316
57,33,6320
52,0,6320
57,0,6446
59,40,6658
75,52,6660
80,0,6674
59,0,6802
75,0,6966
73,48,6997
73,0,7078
61,39,7328
73,49,7349
61,0,7446
73,0,7629
57,33,7664
68,47,7671
68,0,7927
73,41,7994
73,0,8071
57,0,8342
59,35,8348
73,46,8355
73,0,8662
59,0,8683
75,36,8696
75,0,8860
73,46,8864
73,0,9011
42,47,9589
73,50,9594
73,0,9934
80,42,9935
42,0,10054
78,46,10265
80,0,10265
47,44,10574
73,36,10595
78,0,10608
73,0,10904
75,52,10910
47,0,11094
75,0,11210
71,50,11249
71,0,11324
71,50,11576
40,41,11580
71,0,11864
78,39,11924
78,0,12221
76,47,12231
40,0,12268
45,36,12597
69,36,12600
76,0,12608
45,0,13002
69,0,13145
68,41,13508
40,36,13511
52,38,13516
69,49,13823
40,0,13834
68,0,13848
52,0,13853
69,0,14128
71,55,14139
45,48,14450
57,45,14453
73,55,14461
71,0,14480
73,0,14748
75,51,14765
57,0,14832
45,0,14876
75,0,15011
76,46,15099
78,49,15467
76,0,15476
54,55,15480
42,58,15485
80,44,15813
78,0,15873
42,0,16034
54,0,16064
80,0,16110
78,41,16119
78,0,16189
72,42,16494
56,36,16499
44,36,16507
44,0,17004
56,0,17048
72,0,17298
49,36,17453
61,33,17459
76,38,17785
76,0,17857
61,0,18046
76,44,18075
73,46,18079
76,0,18135
73,0,18151
61,32,18364
73,35,18691
73,0,18776
76,41,18994
73,40,19002
61,0,19028
76,0,19060
73,0,19069
61,35,19283
73,33,19623
76,36,19624
76,0,19709
73,0,19719
76,36,19941
73,38,19946
61,0,19993
76,0,20015
73,0,20023
61,29,20233
73,40,20534
76,40,20540
76,0,20628
73,0,20635
49,0,20693
61,0,20710
76,41,20860
73,41,20870
73,0,20957
76,0,20958
49,41,21176
73,44,21178
80,40,21496
73,0,21501
49,0,21503
56,32,21511
80,0,21599
56,0,21744
80,46,21800
61,32,21801
61,0,21973
63,39,22107
75,47,22117
80,0,22123
63,0,22192
75,0,22399
73,43,22426
73,0,22521
64,33,22746
73,47,22758
64,0,22835
73,0,23033
61,37,23065
68,40,23066
68,0,23363
73,41,23382
73,0,23457
61,0,23685
73,47,23700
63,32,23714
63,0,23825
73,0,23826
75,43,24025
64,32,24036
64,0,24150
75,0,24316
73,36,24351
73,0,24469
45,45,25072
73,46,25078
73,0,25339
80,46,25372
45,0,25375
52,32,25386
80,0,25455
52,0,25657
80,47,25701
57,33,25706
57,0,25826
80,0,25995
59,45,26033
75,51,26044
75,0,26305
73,44,26336
73,0,26417
59,0,26627
61,35,26683
73,39,26685
73,0,26963
68,40,27005
68,0,27257
73,43,27312
73,0,27387
73,39,27637
73,0,27939
75,49,27966
61,0,28025
75,0,28167
73,50,28175
73,0,28251
42,43,28895
73,51,28897
73,0,29201
49,44,29208
80,44,29220
42,0,29225
49,0,29292
78,41,29556
80,0,29613
47,40,29867
73,53,29881
78,0,29952
73,0,30183
75,49,30193
47,0,30251
75,0,30464
71,48,30518
71,0,30576
40,45,30830
52,43,30832
71,52,30847
71,0,31133
78,42,31178
40,0,31179
52,0,31206
76,43,31502
78,0,31538
69,46,31871
45,36,31875
57,38,31876
76,0,31891
57,0,32152
45,0,32236
69,0,32333
52,43,32817
40,43,32818
68,53,32827
68,0,33145
69,51,33155
40,0,33158
52,0,33193
71,45,33504
69,0,33517
73,51,33821
57,44,33823
45,45,33826
71,0,33945
75,53,34132
73,0,34168
57,0,34183
45,0,34210
76,49,34467
75,0,34497
76,0,34549
42,35,34805
54,36,34807
78,51,34808
78,0,35073
80,39,35090
42,0,35241
54,0,35277
80,0,35358
78,35,35428
78,0,35487
