Tempo,72
67,31,1170
48,30,1596
36,28,1601
67,0,1605
76,30,1616
76,0,1859
48,0,2039
76,37,2051
36,0,2361
76,0,2446
72,36,2481
72,0,2949
67,39,3086
45,35,3288
72,36,3289
67,0,3291
57,29,3319
72,0,3517
72,37,3699
72,0,4081
71,36,4087
57,0,4154
45,0,4204
71,0,4384
69,40,4876
53,28,4895
41,32,4902
41,0,5403
53,0,5419
69,0,5515
43,32,6522
55,29,6532
71,36,6546
55,0,6871
43,0,6931
71,0,6978
67,30,7762
36,31,8158
76,36,8179
67,0,8186
76,0,8302
76,44,8482
36,0,8547
76,0,8576
43,36,8591
76,49,8785
43,0,8990
72,52,8999
48,35,9008
76,0,9022
48,0,9093
52,32,9395
72,0,9422
67,39,9425
52,0,9446
45,35,9807
72,38,9809
57,33,9815
67,0,9818
72,0,10109
72,35,10280
57,0,10343
45,0,10596
72,0,10668
71,43,10683
57,28,10687
57,0,10751
45,33,11071
45,0,11144
71,0,11454
69,49,11493
41,33,11505
41,0,11851
48,29,11900
69,0,12011
48,0,12246
53,35,12335
53,0,12423
48,33,12710
48,0,12756
43,35,13116
55,31,13137
71,37,13162
71,0,13813
55,0,13881
43,0,13926
67,46,14398
36,45,14824
67,0,14827
76,48,14838
76,0,15012
36,0,15191
43,39,15239
76,46,15255
76,0,15353
43,0,15569
48,44,15656
76,51,15664
48,0,15742
76,0,15797
52,42,16059
76,45,16070
52,0,16131
77,52,16254
76,0,16270
77,0,16456
45,36,16458
76,60,16481
45,0,16829
52,29,16893
76,0,17061
74,44,17068
74,0,17145
52,0,17199
57,39,17292
74,67,17294
57,0,17382
52,36,17683
52,0,17735
74,0,17818
72,41,17854
72,0,17966
41,32,18105
72,49,18107
41,0,18522
48,31,18554
48,0,18949
53,33,19007
53,0,19093
48,35,19391
48,0,19451
43,31,19819
72,0,19822
74,33,19838
55,27,19849
43,0,20150
55,0,20178
74,0,20211
67,51,20233
50,30,20246
50,0,20579
72,57,20656
55,36,20687
67,0,20691
55,0,20743
74,55,21053
50,31,21055
72,0,21087
50,0,21107
36,32,21499
76,46,21501
74,0,21560
36,0,21832
43,28,21912
43,0,22332
48,32,22352
48,0,22419
76,0,22703
43,36,22717
79,44,22746
43,0,22776
79,0,23151
45,35,23154
72,38,23158
45,0,23552
52,30,23580
72,0,23601
52,0,23917
57,32,24005
72,41,24007
57,0,24079
52,31,24384
72,0,24393
71,38,24399
52,0,24475
71,0,24828
69,41,24838
41,32,24849
41,0,25238
48,27,25250
48,0,25624
48,33,26042
48,0,26113
43,26,26499
71,35,26508
69,0,26509
55,30,26529
71,0,27047
55,0,27409
43,0,27515
67,36,27800
67,0,27884
36,35,28211
76,41,28222
76,0,28387
36,0,28569
43,37,28583
76,48,28598
43,0,28960
76,0,29006
48,35,29009
72,51,29010
48,0,29086
52,36,29405
52,0,29472
72,0,29553
67,47,29584
67,0,29781
72,52,29792
45,37,29795
72,0,30035
45,0,30156
52,26,30201
72,48,30217
52,0,30570
57,40,30623
71,50,30625
72,0,30629
57,0,30725
52,41,31031
52,0,31087
71,0,31452
69,53,31461
41,37,31464
41,0,31816
48,28,31876
48,0,32268
53,35,32305
53,0,32379
69,0,32679
48,27,32718
48,0,32764
43,24,33179
71,37,33181
55,27,33197
71,0,33694
55,0,34013
43,0,34125
67,47,34400
67,0,34489
36,41,34829
76,48,34839
76,0,34955
76,70,35130
76,0,35222
36,0,35254
43,39,35259
76,58,35442
43,0,35612
72,57,35659
76,0,35669
48,36,35673
48,0,35761
72,0,36042
67,45,36050
43,31,36052
43,0,36122
67,0,36451
45,28,36456
72,42,36473
72,0,36753
45,0,36867
72,50,36876
52,26,36891
52,0,37186
71,52,37302
57,32,37314
72,0,37327
57,0,37385
52,30,37706
52,0,37750
71,0,38113
69,52,38156
41,29,38177
41,0,38517
48,31,38567
48,0,38919
53,33,38995
53,0,39076
48,30,39423
48,0,39477
69,0,39801
43,30,39809
71,52,39815
43,0,40138
71,0,40192
50,36,40223
67,59,40230
50,0,40505
55,43,40626
72,61,40640
67,0,40645
55,0,40709
50,41,41013
74,56,41032
72,0,41058
50,0,41068
36,48,41458
76,57,41460
74,0,41466
36,0,41839
43,35,41864
76,0,41879
43,0,42259
48,39,42307
76,51,42321
48,0,42381
43,33,42721
79,48,42744
76,0,42758
43,0,42810
45,35,43167
72,42,43181
79,0,43223
45,0,43574
52,31,43577
72,0,43602
52,0,43940
57,36,43992
72,51,44007
57,0,44108
71,53,44209
72,0,44226
52,38,44374
52,0,44438
71,0,44565
69,51,44574
41,40,44770
41,0,45169
48,28,45195
69,0,45273
