Tempo,72
78,31,1170
59,30,1596
47,28,1601
78,0,1605
87,30,1616
87,0,1859
59,0,2039
87,37,2051
47,0,2361
87,0,2446
83,36,2481
83,0,2949
78,39,3086
56,35,3288
83,36,3289
78,0,3291
68,29,3319
83,0,3517
83,37,3699
83,0,4081
82,36,4087
68,0,4154
56,0,4204
82,0,4384
80,40,4876
64,28,4895
52,32,4902
52,0,5403
64,0,5419
80,0,5515
54,32,6522
66,29,6532
82,36,6546
66,0,6871
54,0,6931
82,0,6978
78,30,7762
47,31,8158
87,36,8179
78,0,8186
87,0,8302
87,44,8482
47,0,8547
87,0,8576
54,36,8591
87,49,8785
54,0,8990
83,52,8999
59,35,9008
87,0,9022
59,0,9093
63,32,9395
83,0,9422
78,39,9425
63,0,9446
56,35,9807
83,38,9809
68,33,9815
78,0,9818
83,0,10109
83,35,10280
68,0,10343
56,0,10596
83,0,10668
82,43,10683
68,28,10687
68,0,10751
56,33,11071
56,0,11144
82,0,11454
80,49,11493
52,33,11505
52,0,11851
59,29,11900
80,0,12011
59,0,12246
64,35,12335
64,0,12423
59,33,12710
59,0,12756
54,35,13116
66,31,13137
82,37,13162
82,0,13813
66,0,13881
54,0,13926
78,46,14398
47,45,14824
78,0,14827
87,48,14838
87,0,15012
47,0,15191
54,39,15239
87,46,15255
87,0,15353
54,0,15569
59,44,15656
87,51,15664
59,0,15742
87,0,15797
63,42,16059
87,45,16070
63,0,16131
88,52,16254
87,0,16270
88,0,16456
56,36,16458
87,60,16481
56,0,16829
63,29,16893
87,0,17061
85,44,17068
85,0,17145
63,0,17199
68,39,17292
85,67,17294
68,0,17382
63,36,17683
63,0,17735
85,0,17818
83,41,17854
83,0,17966
52,32,18105
83,49,18107
52,0,18522
59,31,18554
59,0,18949
64,33,19007
64,0,19093
59,35,19391
59,0,19451
54,31,19819
83,0,19822
85,33,19838
66,27,19849
54,0,20150
66,0,20178
85,0,20211
78,51,20233
61,30,20246
61,0,20579
83,57,20656
66,36,20687
78,0,20691
66,0,20743
85,55,21053
61,31,21055
83,0,21087
61,0,21107
47,32,21499
87,46,21501
85,0,21560
47,0,21832
54,28,21912
54,0,22332
59,32,22352
59,0,22419
87,0,22703
54,36,22717
90,44,22746
54,0,22776
90,0,23151
56,35,23154
83,38,23158
56,0,23552
63,30,23580
83,0,23601
63,0,23917
68,32,24005
83,41,24007
68,0,24079
63,31,24384
83,0,24393
82,38,24399
63,0,24475
82,0,24828
80,41,24838
52,32,24849
52,0,25238
59,27,25250
59,0,25624
59,33,26042
59,0,26113
54,26,26499
82,35,26508
80,0,26509
66,30,26529
82,0,27047
66,0,27409
54,0,27515
78,36,27800
78,0,27884
47,35,28211
87,41,28222
87,0,28387
47,0,28569
54,37,28583
87,48,28598
54,0,28960
87,0,29006
59,35,29009
83,51,29010
59,0,29086
63,36,29405
63,0,29472
83,0,29553
78,47,29584
78,0,29781
83,52,29792
56,37,29795
83,0,30035
56,0,30156
63,26,30201
83,48,30217
63,0,30570
68,40,30623
82,50,30625
83,0,30629
68,0,30725
63,41,31031
63,0,31087
82,0,31452
80,53,31461
52,37,31464
52,0,31816
59,28,31876
59,0,32268
64,35,32305
64,0,32379
80,0,32679
59,27,32718
59,0,32764
54,24,33179
82,37,33181
66,27,33197
82,0,33694
66,0,34013
54,0,34125
78,47,34400
78,0,34489
47,41,34829
87,48,34839
87,0,34955
87,70,35130
87,0,35222
47,0,35254
54,39,35259
87,58,35442
54,0,35612
83,57,35659
87,0,35669
59,36,35673
59,0,35761
83,0,36042
78,45,36050
54,31,36052
54,0,36122
78,0,36451
56,28,36456
83,42,36473
83,0,36753
56,0,36867
83,50,36876
63,26,36891
63,0,37186
82,52,37302
68,32,37314
83,0,37327
68,0,37385
63,30,37706
63,0,37750
82,0,38113
80,52,38156
52,29,38177
52,0,38517
59,31,38567
59,0,38919
64,33,38995
64,0,39076
59,30,39423
59,0,39477
80,0,39801
54,30,39809
82,52,39815
54,0,40138
82,0,40192
61,36,40223
78,59,40230
61,0,40505
66,43,40626
83,61,40640
78,0,40645
66,0,40709
61,41,41013
85,56,41032
83,0,41058
61,0,41068
47,48,41458
87,57,41460
85,0,41466
47,0,41839
54,35,41864
87,0,41879
54,0,42259
59,39,42307
87,51,42321
59,0,42381
54,33,42721
90,48,42744
87,0,42758
54,0,42810
56,35,43167
83,42,43181
90,0,43223
56,0,43574
63,31,43577
83,0,43602
63,0,43940
68,36,43992
83,51,44007
68,0,44108
82,53,44209
83,0,44226
63,38,44374
63,0,44438
82,0,44565
80,51,44574
52,40,44770
52,0,45169
59,28,45195
80,0,45273
59,0,45555
80,47,45632
64,33,45643
64,0,45732
59,35,46031
59,0,46098
80,0,46433
82,47,46461
54,33,46468
78,42,46472
54,0,46860
61,24,46945
61,0,47230
66,32,47314
66,0,47368
61,31,47715
61,0,48059
70,31,48178
70,0,48250
61,28,48580
61,0,49022
66,35,49033
66,0,49098
78,0,49387
82,0,49447
61,32,49460
61,0,49533
80,49,49899
52,37,49906
52,0,50268
59,33,50299
64,31,50516
59,0,50548
64,0,50650
66,49,50716
80,0,50751
66,0,50818
59,45,51078
59,0,51311
88,60,51494
68,39,51507
68,0,51583
88,0,51829
59,30,51929
59,0,52253
64,43,52346
87,73,52354
64,0,52415
87,0,52671
59,33,52745
59,0,52802
54,37,53179
85,63,53189
54,0,53546
61,29,53584
85,0,53756
83,49,53777
61,0,53867
83,0,53934
82,66,53975
66,39,53987
66,0,54043
82,0,54255
61,26,54395
61,0,54564
80,52,54575
80,0,54725
78,60,54776
70,41,54793
70,0,54887
78,0,55111
61,31,55181
61,0,55567
78,59,55621
66,36,55629
66,0,55716
80,62,55896
78,0,55929
61,36,56034
61,0,56082
83,62,56224
80,0,56225
52,39,56419
52,0,56813
59,27,56893
59,0,57167
64,37,57315
64,0,57381
83,0,57437
59,32,57714
59,0,57881
88,68,58158
68,40,58165
68,0,58250
88,0,58513
59,33,58577
59,0,58945
87,70,59015
64,40,59026
64,0,59099
59,36,59420
59,0,59472
87,0,59585
85,67,59851
54,41,59855
54,0,60210
61,28,60279
83,53,60447
85,0,60456
61,0,60524
83,0,60632
82,59,60655
66,35,60663
66,0,60705
82,0,61002
80,55,61056
61,31,61059
61,0,61247
80,0,61409
78,56,61424
70,43,61448
70,0,61536
78,0,61582
78,57,61851
61,31,61854
78,0,61956
61,0,62231
78,70,62261
66,37,62270
66,0,62345
80,63,62566
78,0,62567
61,46,62708
61,0,62771
83,65,62891
80,0,62906
52,46,63113
52,0,63475
59,33,63573
59,0,63846
83,0,63978
64,37,63982
64,0,64046
59,31,64397
59,0,64560
88,68,64809
68,42,64827
68,0,64916
88,0,65176
59,33,65254
59,0,65563
87,76,65666
64,42,65677
64,0,65743
59,37,66083
59,0,66146
87,0,66242
54,40,66524
85,80,66526
54,0,66878
61,27,66973
61,0,67243
66,33,67357
66,0,67411
61,31,67795
70,41,68195
85,0,68414
83,33,68848
70,0,68923
87,42,69035
83,0,69040
61,0,69118
87,0,69414
83,37,69430
83,0,69512
83,36,69864
47,30,69885
83,0,70279
47,0,70589
54,33,70710
54,0,70798
83,33,71127
83,0,71305
85,36,71309
56,33,71520
87,33,71529
68,35,71538
85,0,71559
87,0,71800
68,0,71863
56,0,72212
68,33,72303
90,36,72310
68,0,72380
90,0,72532
92,44,73172
52,30,73174
52,0,73490
59,29,73604
92,0,73891
59,0,73909
64,37,73982
64,0,74048
54,30,74866
90,37,74873
66,31,74877
85,37,74885
66,0,75268
54,0,75374
85,0,75472
90,0,75541
95,56,76549
47,35,76554
47,0,76849
54,31,76943
95,0,76965
54,0,77358
59,35,77380
59,0,77472
54,38,77762
54,0,77833
56,38,78183
95,51,78195
56,0,78576
63,32,78579
95,0,78676
63,0,78928
68,42,78967
68,0,79055
63,36,79369
95,50,79371
63,0,79409
97,51,79549
95,0,79553
95,58,79774
52,36,79785
97,0,79819
52,0,80138
59,29,80212
59,0,80579
64,32,80668
64,0,80774
59,35,81085
59,0,81149
95,0,81454
54,33,81504
94,41,81528
54,0,81925
94,0,81941
61,27,81943
61,0,82343
66,30,82369
66,0,82448
78,46,82774
78,0,83173
87,43,83222
47,30,83224
87,0,83433
47,0,83535
54,30,83571
87,45,83606
54,0,83976
83,58,84013
59,43,84019
87,0,84036
59,0,84103
54,36,84404
54,0,84479
83,0,84548
78,49,84608
78,0,84795
56,36,84821
83,50,84826
83,0,85088
56,0,85205
83,41,85248
63,28,85252
63,0,85606
83,0,85631
82,50,85667
68,37,85692
68,0,85788
63,35,86067
63,0,86125
82,0,86510
52,32,86519
80,46,86521
52,0,86884
59,27,86927
80,0,87004
59,0,87313
64,28,87343
64,0,87432
66,37,87761
66,0,87798
54,35,88162
82,41,88174
54,0,88509
61,28,88584
82,0,88699
61,0,88931
66,36,89002
66,0,89085
61,42,89374
78,46,89394
61,0,89419
78,0,89535
47,41,89826
87,52,89827
87,0,89954
87,67,90111
47,0,90166
87,0,90210
54,41,90232
87,65,90425
54,0,90569
87,0,90626
83,60,90638
59,40,90644
59,0,90720
83,0,90980
54,44,91024
78,48,91026
54,0,91093
78,0,91291
56,36,91436
83,45,91458
83,0,91612
83,63,91753
56,0,91851
63,31,91896
83,0,91903
83,60,92070
63,0,92236
82,56,92292
68,33,92309
83,0,92313
68,0,92415
63,35,92734
63,0,92759
82,0,93164
80,48,93181
52,33,93191
52,0,93543
59,29,93586
59,0,93945
64,36,94020
64,0,94109
59,35,94388
59,0,94453
80,0,94814
54,38,94825
82,40,94831
82,0,95193
54,0,95199
78,59,95257
61,31,95261
78,0,95430
61,0,95518
66,42,95675
83,51,95678
66,0,95747
83,0,95892
85,60,95897
61,45,96031
61,0,96074
85,0,96249
87,56,96252
47,46,96472
47,0,96851
54,35,96896
87,0,96909
54,0,97258
59,45,97314
87,51,97323
59,0,97390
54,37,97733
90,52,97740
87,0,97752
54,0,97801
56,29,98164
83,46,98170
90,0,98171
56,0,98576
63,29,98589
83,0,98625
63,0,98883
83,50,99023
68,31,99030
68,0,99099
63,35,99409
83,0,99417
82,46,99419
63,0,99459
82,0,99848
52,33,99854
80,43,99862
