Tempo,127
81,53,587
81,0,758
81,51,917
57,51,1226
83,55,1257
81,0,1279
61,39,1551
64,57,1912
83,0,1917
81,45,1929
57,0,1939
69,39,2250
61,0,2498
64,0,2515
69,0,2526
57,55,2550
86,59,2595
81,0,2691
61,44,2880
57,0,3052
64,58,3237
85,60,3243
86,0,3243
69,44,3571
61,0,3601
57,41,3909
64,0,3970
69,0,4028
64,35,4256
69,48,4553
61,39,4867
64,0,4930
69,0,5050
64,53,5222
57,0,5413
69,45,5555
61,0,5765
64,0,5790
69,0,5821
85,0,5869
57,52,5872
81,44,5894
81,0,6044
61,53,6209
81,35,6219
64,54,6553
83,60,6558
57,0,6574
81,0,6619
69,46,6888
61,0,7074
69,0,7194
64,0,7221
83,0,7233
81,50,7234
57,52,7240
61,45,7559
81,0,7888
64,53,7895
88,55,7898
57,0,7953
69,51,8228
61,0,8248
64,0,8282
62,51,8571
88,0,8576
86,57,8583
69,0,8609
69,48,8920
74,44,9212
66,47,9567
69,0,9587
74,0,9640
69,50,9891
74,46,10227
62,0,10252
66,0,10449
69,0,10493
86,0,10515
81,50,10546
62,53,10577
74,0,10683
81,0,10723
66,57,10891
81,51,10907
62,0,10968
66,0,11024
93,57,11205
57,53,11224
81,0,11252
61,51,11535
90,53,11898
93,0,11899
64,60,11922
57,0,12034
69,47,12240
61,0,12246
64,0,12302
62,70,12568
86,61,12597
69,0,12622
90,0,12623
66,42,12901
85,59,13237
86,0,13263
69,48,13265
62,0,13575
74,57,13585
66,0,13762
69,0,13813
74,0,13886
83,62,13913
64,44,13927
85,0,13937
68,45,14232
71,47,14560
64,0,14707
76,48,14884
68,0,15150
64,58,15237
71,0,15284
76,0,15508
68,55,15546
64,0,15628
68,0,15669
55,66,15904
91,48,15915
83,0,15989
91,0,16049
91,49,16210
59,50,16215
90,60,16562
62,58,16600
91,0,16622
67,59,16915
55,0,16934
59,0,17021
62,0,17029
67,0,17202
90,0,17234
86,49,17238
57,62,17262
61,55,17557
64,61,17911
88,57,17922
86,0,17960
57,0,18069
69,45,18223
61,0,18391
69,0,18495
64,0,18511
57,57,18575
88,0,18578
86,49,18592
86,0,18860
61,47,18901
64,45,19222
57,0,19302
69,45,19546
61,0,19760
64,0,19805
57,43,19912
69,0,20038
64,46,20238
57,0,20282
81,46,20557
57,58,20557
64,0,20560
81,0,20724
61,54,20875
81,40,20905
64,60,21227
83,55,21240
57,0,21252
81,0,21278
69,39,21561
61,0,21753
83,0,21878
57,53,21907
81,42,21919
64,0,21960
69,0,21997
61,40,22231
86,53,22569
64,49,22586
81,0,22588
57,0,22867
69,46,22915
61,0,23091
86,0,23209
64,0,23223
85,51,23253
57,53,23255
69,0,23285
64,47,23607
69,38,23919
61,46,24223
64,0,24305
69,0,24420
64,53,24590
57,0,24825
69,47,24893
61,0,25042
64,0,25139
69,0,25142
85,0,25226
57,42,25244
81,43,25245
81,0,25403
61,51,25552
81,37,25570
64,54,25889
83,58,25906
57,0,25907
81,0,25963
69,42,26237
61,0,26437
64,0,26555
83,0,26561
81,46,26570
57,45,26578
69,0,26626
61,43,26927
81,0,27231
88,54,27245
64,54,27246
57,0,27371
69,49,27588
61,0,27614
64,0,27677
88,0,27897
62,47,27924
86,52,27925
69,0,27951
69,34,28287
74,44,28531
66,40,28896
69,0,29004
74,0,29078
69,55,29227
86,0,29309
74,45,29546
62,0,29555
66,0,29796
81,52,29870
62,40,29912
69,0,30000
81,0,30065
74,0,30185
66,58,30204
81,46,30249
62,0,30283
66,0,30329
57,44,30543
93,54,30553
81,0,30567
61,49,30869
90,49,31224
93,0,31234
64,57,31244
57,0,31413
69,46,31549
61,0,31577
64,0,31624
62,49,31871
86,59,31901
69,0,31933
90,0,31958
66,47,32230
69,55,32570
85,50,32577
86,0,32583
74,55,32907
62,0,32910
66,0,33085
69,0,33117
74,0,33194
83,52,33241
85,0,33246
64,43,33252
68,43,33563
71,49,33884
64,0,34107
76,46,34224
68,0,34431
64,46,34581
71,0,34594
68,53,34893
76,0,34963
64,0,35009
68,0,35093
91,40,35250
55,94,35254
83,0,35359
91,0,35386
91,54,35555
59,57,35579
90,62,35901
62,67,35909
91,0,35955
67,53,36202
55,0,36308
59,0,36426
55,62,36571
86,51,36588
90,0,36605
62,0,36639
59,57,36872
67,0,36873
88,57,37231
62,51,37243
86,0,37284
55,0,37318
67,62,37546
59,0,37557
62,0,37747
67,0,37792
57,51,37939
86,50,37944
88,0,37956
61,42,38247
86,0,38328
64,51,38568
57,0,38707
69,44,38898
61,0,39174
57,53,39246
61,39,39554
64,0,39603
69,0,39749
64,53,39921
57,0,40062
69,36,40259
61,0,40408
81,69,40573
57,60,40578
57,0,41296
64,0,41364
69,0,41366
81,0,42289
