Tempo,110
68,38,503
68,0,644
68,42,770
37,37,1008
70,48,1012
68,0,1040
44,36,1262
37,0,1293
49,36,1534
68,48,1541
70,0,1556
53,37,1811
49,0,1941
73,49,2080
68,0,2105
44,0,2197
53,0,2232
49,42,2337
49,0,2403
44,37,2587
72,52,2602
73,0,2603
51,36,2853
44,0,2923
54,35,3115
51,0,3343
54,0,3351
56,37,3387
56,0,3456
72,0,3614
68,41,3655
68,0,3755
68,57,3939
44,43,4161
70,48,4169
68,0,4170
51,36,4466
44,0,4509
54,36,4723
68,46,4725
70,0,4728
51,0,4815
54,0,4991
56,41,5014
56,0,5258
75,48,5263
54,47,5268
68,0,5282
54,0,5449
51,32,5557
51,0,5602
37,36,5845
73,49,5847
75,0,5877
44,35,6094
37,0,6177
49,32,6402
44,0,6496
49,0,6631
53,37,6667
53,0,6758
73,0,6848
68,49,6917
68,0,7044
68,41,7187
37,39,7448
68,0,7449
80,49,7452
73,41,7470
73,0,7594
44,36,7706
37,0,7743
49,36,8025
77,50,8030
44,0,8068
80,0,8069
49,0,8252
53,39,8291
73,50,8570
53,0,8572
49,43,8577
77,0,8579
49,0,8772
46,41,8821
46,0,8904
42,38,9116
73,0,9121
72,53,9128
49,33,9387
42,0,9406
70,47,9664
54,32,9669
72,0,9726
70,0,10018
54,0,10021
58,38,10194
78,48,10205
49,0,10236
58,0,10260
78,0,10312
78,55,10456
37,35,10742
77,51,10749
78,0,10793
37,0,10985
44,40,10994
44,0,11240
73,42,11265
77,0,11287
49,39,11290
49,0,11339
44,41,11792
75,57,11805
73,0,11820
44,0,11965
75,0,12362
37,36,12374
73,47,12387
44,31,12638
37,0,12658
73,0,12847
49,27,12951
44,0,13625
49,0,13632
