Tempo,73
72,52,604
36,40,612
43,35,838
36,0,865
48,32,1054
74,43,1246
48,0,1273
72,0,1277
43,0,1582
76,35,1666
74,0,1680
52,37,1910
52,0,1969
76,0,2354
45,38,2362
72,50,2369
52,31,2618
45,0,2652
57,36,2807
74,42,3028
72,0,3054
57,0,3199
76,39,3477
74,0,3496
52,0,3586
57,40,3720
57,0,3770
72,51,4144
41,39,4146
76,0,4159
48,36,4360
41,0,4407
53,32,4570
53,0,4772
74,53,4793
55,32,4796
72,0,4811
55,0,5212
76,40,5226
74,0,5244
48,0,5269
53,40,5466
53,0,5522
43,39,5847
77,52,5870
76,0,5873
50,33,6074
43,0,6148
55,37,6283
76,50,6493
77,0,6510
55,0,6545
55,35,6928
50,0,7043
55,0,7130
74,49,7161
76,0,7163
36,38,7562
72,57,7574
74,0,7583
43,37,7764
36,0,7807
48,30,7973
52,39,8184
48,0,8188
74,47,8196
72,0,8235
52,0,8513
48,31,8574
43,0,8575
43,41,8795
48,0,8807
76,51,8816
74,0,8843
43,0,8857
45,41,9218
72,46,9233
76,0,9264
52,35,9453
45,0,9517
57,35,9651
74,44,9851
72,0,9885
57,0,10103
76,48,10261
74,0,10288
52,0,10381
57,41,10481
57,0,10539
76,0,10867
41,44,10875
72,57,10878
48,33,11072
41,0,11130
53,33,11281
53,0,11477
55,36,11491
74,56,11502
72,0,11521
55,0,11857
48,0,11924
76,49,12129
74,0,12154
77,52,12550
43,42,12557
76,0,12579
50,36,12748
43,0,12859
55,36,12959
55,0,13184
59,35,13194
59,0,13354
76,49,13371
77,0,13409
55,31,13812
74,55,14182
59,32,14202
76,0,14204
59,0,14947
55,0,14957
50,0,15030
74,0,15300
72,49,15734
36,36,15745
36,0,16022
43,32,16126
43,0,16402
72,0,16446
79,50,16530
48,35,16547
52,35,16555
52,0,16602
48,0,16616
79,0,16818
43,33,16914
43,0,16980
79,47,17112
79,0,17184
79,56,17303
43,36,17311
77,38,17535
79,0,17607
76,40,17707
77,0,17732
76,0,17796
76,60,17910
43,0,17969
43,45,18132
76,0,18210
43,0,18361
76,48,18531
76,0,18610
43,33,18904
76,50,18944
74,46,19141
76,0,19162
43,0,19249
50,28,19305
74,0,19306
74,37,19511
50,0,19688
50,30,20132
50,0,20526
59,42,20574
59,0,20669
50,33,20967
74,0,21089
50,0,21367
55,41,21403
55,0,21486
50,41,21791
69,51,21814
50,0,21839
69,0,21986
72,47,22007
38,44,22208
50,44,22209
74,55,22215
72,0,22226
74,0,22418
38,0,22514
50,0,22575
45,38,22602
74,47,22630
74,0,22727
74,67,22831
45,0,22986
53,41,23041
50,37,23046
50,0,23115
53,0,23117
74,0,23226
72,49,23236
45,40,23421
72,0,23448
45,0,23486
72,51,23612
72,0,23696
45,42,23817
72,67,23819
45,0,24147
52,26,24222
52,0,24608
57,42,24639
57,0,24711
72,0,24985
69,47,25073
52,36,25077
52,0,25133
72,38,25271
