Tempo,73
73,52,604
37,40,612
44,35,838
37,0,865
49,32,1054
75,43,1246
49,0,1273
73,0,1277
44,0,1582
77,35,1666
75,0,1680
53,37,1910
53,0,1969
77,0,2354
46,38,2362
73,50,2369
53,31,2618
46,0,2652
58,36,2807
75,42,3028
73,0,3054
58,0,3199
77,39,3477
75,0,3496
53,0,3586
58,40,3720
58,0,3770
73,51,4144
42,39,4146
77,0,4159
49,36,4360
42,0,4407
54,32,4570
54,0,4772
75,53,4793
56,32,4796
73,0,4811
56,0,5212
77,40,5226
75,0,5244
49,0,5269
54,40,5466
54,0,5522
44,39,5847
78,52,5870
77,0,5873
51,33,6074
44,0,6148
56,37,6283
77,50,6493
78,0,6510
56,0,6545
56,35,6928
51,0,7043
56,0,7130
75,49,7161
77,0,7163
37,38,7562
73,57,7574
75,0,7583
44,37,7764
37,0,7807
49,30,7973
53,39,8184
49,0,8188
75,47,8196
73,0,8235
53,0,8513
49,31,8574
44,0,8575
44,41,8795
49,0,8807
77,51,8816
75,0,8843
44,0,8857
46,41,9218
73,46,9233
77,0,9264
53,35,9453
46,0,9517
58,35,9651
75,44,9851
73,0,9885
58,0,10103
77,48,10261
75,0,10288
53,0,10381
58,41,10481
58,0,10539
77,0,10867
42,44,10875
73,57,10878
49,33,11072
42,0,11130
54,33,11281
54,0,11477
56,36,11491
75,56,11502
73,0,11521
56,0,11857
49,0,11924
77,49,12129
75,0,12154
78,52,12550
44,42,12557
77,0,12579
51,36,12748
44,0,12859
56,36,12959
56,0,13184
60,35,13194
60,0,13354
77,49,13371
78,0,13409
56,31,13812
75,55,14182
60,32,14202
77,0,14204
60,0,14947
56,0,14957
51,0,15030
75,0,15300
73,49,15734
37,36,15745
37,0,16022
44,32,16126
44,0,16402
73,0,16446
80,50,16530
49,35,16547
53,35,16555
53,0,16602
49,0,16616
80,0,16818
44,33,16914
44,0,16980
80,47,17112
80,0,17184
80,56,17303
44,36,17311
78,38,17535
80,0,17607
77,40,17707
78,0,17732
77,0,17796
77,60,17910
44,0,17969
44,45,18132
77,0,18210
44,0,18361
77,48,18531
77,0,18610
44,33,18904
77,50,18944
75,46,19141
77,0,19162
44,0,19249
51,28,19305
75,0,19306
75,37,19511
51,0,19688
51,30,20132
51,0,20526
60,42,20574
60,0,20669
51,33,20967
75,0,21089
51,0,21367
56,41,21403
56,0,21486
51,41,21791
70,51,21814
51,0,21839
70,0,21986
73,47,22007
39,44,22208
51,44,22209
75,55,22215
73,0,22226
75,0,22418
39,0,22514
51,0,22575
46,38,22602
75,47,22630
75,0,22727
75,67,22831
46,0,22986
54,41,23041
51,37,23046
51,0,23115
54,0,23117
75,0,23226
73,49,23236
46,40,23421
73,0,23448
46,0,23486
73,51,23612
73,0,23696
46,42,23817
73,67,23819
46,0,24147
53,26,24222
53,0,24608
58,42,24639
58,0,24711
73,0,24985
70,47,25073
53,36,25077
53,0,25133
73,38,25271
70,0,25306
75,47,25488
47,38,25490
73,0,25534
75,0,25717
54,32,25911
75,49,25912
47,0,25940
75,0,26042
54,0,26244
59,35,26320
75,50,26321
59,0,26393
77,52,26514
75,0,26550
54,36,26723
54,0,26759
73,50,26899
77,0,26927
44,41,27091
75,45,27317
73,0,27347
51,35,27492
44,0,27503
51,0,27820
60,48,27888
56,35,27910
56,0,27974
60,0,27977
51,36,28329
51,0,28397
37,33,28876
44,39,29218
37,0,29236
75,0,29539
44,0,29583
80,56,29611
49,41,29630
49,0,29699
80,0,29887
44,35,30006
44,0,30078
80,47,30188
80,0,30288
44,41,30401
80,63,30403
78,36,30613
80,0,30657
77,44,30791
51,31,30802
78,0,30819
77,0,30907
77,68,31041
51,0,31129
44,0,31148
77,0,31263
77,26,31584
77,0,31678
44,44,31981
77,51,31999
75,47,32200
77,0,32211
51,32,32374
44,0,32396
75,0,32402
75,50,32611
51,0,32718
56,38,32793
56,0,32871
51,27,33220
51,0,33532
60,39,33656
60,0,33751
51,33,34067
82,50,34078
75,0,34080
51,0,34445
80,50,34503
56,36,34517
82,0,34544
56,0,34596
51,36,34904
51,0,34950
80,0,35040
77,39,35079
78,50,35300
39,41,35302
77,0,35307
39,0,35643
46,33,35689
77,40,35721
78,0,35723
75,51,35910
77,0,35935
46,0,36021
75,0,36063
54,36,36095
54,0,36187
73,47,36301
73,0,36431
46,41,36505
46,0,36574
73,41,36687
73,0,36784
73,59,36884
46,41,36888
46,0,37260
53,23,37338
53,0,37675
61,41,37746
58,38,37752
61,0,37820
58,0,37821
53,35,38168
53,0,38228
77,49,38325
73,0,38356
77,0,38430
77,57,38538
47,41,38556
54,31,38986
47,0,39017
75,43,39139
77,0,39173
75,0,39241
54,0,39302
61,37,39374
75,61,39375
61,0,39467
54,30,39831
54,0,40130
59,43,40278
59,0,40574
54,33,40675
54,0,41059
61,44,41100
61,0,41191
75,0,41432
54,38,41487
73,54,41495
54,0,41549
73,0,41592
44,48,41897
73,56,41905
75,52,42131
73,0,42161
51,36,42307
44,0,42327
75,0,42363
75,54,42521
51,0,42660
56,37,42730
56,0,42802
73,44,42928
75,0,42929
51,36,43120
75,52,43320
73,0,43349
51,0,43441
60,47,43538
60,0,43711
51,38,43954
51,0,44361
56,57,44381
56,0,44459
75,0,44602
51,36,44786
51,0,44815
42,51,45222
70,62,45223
54,51,45226
73,58,45227
66,60,45229
70,0,45520
42,0,45533
66,0,45535
54,0,45543
73,0,45562
75,55,46041
68,61,46043
44,50,46046
72,61,46048
56,53,46049
68,0,46220
44,0,46414
56,0,46444
72,0,46491
75,0,46539
46,44,46866
77,53,46869
73,58,46871
58,42,46875
46,0,47183
58,0,47208
53,33,47300
73,0,47358
77,0,47413
58,35,47503
58,0,47639
61,48,47702
61,0,47863
53,0,47884
58,40,48082
77,45,48102
58,0,48160
78,39,48279
77,0,48288
80,46,48474
78,0,48487
49,36,48490
80,0,48656
80,48,48888
56,33,48894
49,0,48933
80,0,48985
80,53,49088
56,0,49282
61,32,49325
61,0,49411
78,50,49508
80,0,49551
56,36,49701
77,48,49709
78,0,49755
56,0,49772
73,50,49900
77,0,49934
42,43,50102
42,0,50441
49,23,50495
49,0,50825
54,36,50913
54,0,51010
73,0,51246
49,32,51299
49,0,51353
46,57,51746
58,47,51755
