Tempo,117
72,65,760
72,0,1802
41,41,1814
69,55,1814
41,0,2184
48,29,2277
53,35,2547
48,0,2556
53,0,2736
55,41,2792
55,0,2942
48,36,3259
48,0,3732
57,36,3799
57,0,3929
69,0,3930
48,35,4302
69,51,4551
48,0,4793
69,0,4815
72,57,4847
53,38,4849
53,0,4940
48,37,5335
72,0,5348
74,52,5351
48,0,5399
36,39,5855
74,0,5857
67,50,5859
36,0,6228
43,31,6384
43,0,6823
48,31,6915
48,0,7006
43,32,7403
43,0,7865
55,35,7939
55,0,8036
67,0,8426
43,35,8429
43,0,8943
67,56,8962
52,41,8975
48,33,8979
48,0,9057
52,0,9070
43,40,9456
69,57,9470
67,0,9516
43,0,9528
70,52,10000
46,40,10013
69,0,10031
46,0,10478
77,59,10976
58,35,10986
70,0,10989
58,0,11064
53,27,11523
53,0,11956
60,36,12042
60,0,12133
77,0,12455
53,30,12575
53,0,13049
77,53,13075
58,36,13080
58,0,13185
76,51,13435
77,0,13473
53,38,13591
53,0,13665
72,54,13769
76,0,13776
41,42,14070
72,0,14072
74,59,14076
41,0,14543
48,32,14577
72,55,14587
74,0,14591
72,0,14837
70,37,14857
48,0,15058
53,37,15107
69,46,15109
70,0,15125
53,0,15186
48,29,15630
48,0,16135
57,35,16174
57,0,16276
48,32,16653
48,0,17136
60,36,17209
69,0,17245
60,0,17328
72,46,17673
48,36,17679
48,0,17743
74,44,18208
46,41,18210
72,0,18221
74,0,18367
74,61,18464
53,31,18702
46,0,18704
53,0,19117
58,35,19192
58,0,19268
53,30,19705
53,0,20142
79,55,20207
74,0,20208
60,36,20210
58,31,20213
58,0,20304
60,0,20336
77,54,20514
79,0,20568
53,32,20717
76,47,20997
77,0,21021
53,0,21118
58,35,21200
60,37,21217
58,0,21302
60,0,21331
77,46,21511
76,0,21529
74,48,21733
53,32,21740
77,0,21741
53,0,21779
72,47,21998
74,0,22007
41,36,22224
41,0,22662
48,24,22746
48,0,23213
53,33,23312
53,0,23410
48,36,23788
72,0,23790
65,44,23799
65,0,23949
48,0,24318
65,57,24330
53,35,24345
53,0,24437
67,53,24840
48,31,24842
65,0,24869
48,0,25331
69,57,25368
53,35,25372
67,0,25400
53,0,25458
48,33,25865
74,50,25874
69,0,25894
48,0,25932
36,35,26374
72,53,26376
74,0,26435
36,0,26799
43,33,26897
48,47,27154
43,0,27183
48,0,27322
50,45,27409
52,41,27659
50,0,27662
55,35,27904
55,0,28236
72,0,28428
70,46,28436
70,0,28942
69,50,28945
55,30,28947
52,0,28995
55,0,29145
69,0,29510
67,47,29519
60,35,29527
60,0,29641
64,40,29996
58,35,30006
67,0,30045
58,0,30076
65,48,30510
41,36,30514
64,0,30538
41,0,30882
48,27,31011
48,0,31513
53,33,31534
53,0,31702
48,29,32011
65,0,32455
48,0,32499
57,35,32578
57,0,32686
48,36,33050
72,58,33064
72,0,33170
48,0,33535
72,46,33561
53,43,33573
53,0,33690
74,39,33921
72,0,33933
48,37,34069
48,0,34154
72,51,34258
74,0,34283
41,35,34554
69,48,34556
72,0,34563
41,0,34935
48,24,35080
53,41,35337
48,0,35382
53,0,35526
55,46,35583
55,0,35879
48,49,35967
53,36,36346
48,0,36371
53,0,36589
57,49,36609
57,0,36921
69,0,36979
48,36,37120
69,57,37366
69,0,37616
53,40,37632
72,57,37638
48,0,37647
53,0,37751
72,0,37944
74,44,37952
55,47,38135
55,0,38201
67,49,38354
74,0,38356
36,46,38613
43,46,38885
36,0,38912
48,33,39154
43,0,39197
48,0,39322
50,49,39405
50,0,39827
43,39,39897
48,36,40193
43,0,40231
48,0,40371
52,44,40442
52,0,40725
55,40,40730
67,0,41127
60,35,41271
60,0,41783
67,44,41808
55,0,42026
60,39,42328
69,49,42330
67,0,42375
60,0,42395
46,40,42827
70,47,42829
69,0,42837
70,0,43316
53,35,43361
46,0,43393
53,0,43781
77,56,43834
58,36,43841
58,0,43926
53,31,44332
53,0,44728
60,41,44814
60,0,44919
77,0,45261
53,41,45343
53,0,45808
77,59,45858
58,36,45862
58,0,45974
76,51,46226
77,0,46256
53,36,46380
53,0,46456
72,55,46566
76,0,46568
74,55,46883
41,37,46888
72,0,46916
41,0,47319
48,32,47379
72,47,47402
74,0,47427
70,39,47646
72,0,47649
48,0,47839
69,50,47911
53,31,47923
70,0,47942
53,0,48022
48,27,48418
48,0,48892
55,32,48971
55,0,49082
48,29,49429
48,0,49936
57,37,49985
57,0,50109
69,0,50466
72,51,50487
48,44,50495
48,0,50562
46,40,51029
74,44,51042
72,0,51049
74,0,51151
74,61,51283
46,0,51548
53,32,51551
53,0,51967
58,36,52025
58,0,52102
53,33,52533
53,0,52977
74,0,53014
79,55,53041
60,42,53050
60,0,53149
53,36,53571
77,51,53578
79,0,53603
77,0,54097
76,57,54119
53,0,54136
58,39,54139
58,0,54305
77,50,54488
76,0,54512
53,46,54662
53,0,54718
74,56,54838
77,0,54857
72,50,55104
74,0,55109
41,37,55117
41,0,55499
48,29,55610
48,0,55980
53,35,56093
53,0,56164
72,0,56227
65,55,56617
48,30,56630
65,0,56716
48,0,57109
65,55,57152
57,36,57178
57,0,57293
48,35,57675
67,53,57682
65,0,57741
48,0,58191
69,38,58211
53,33,58227
67,0,58276
53,0,58320
48,29,58690
69,0,58711
74,51,58723
48,0,58767
36,33,59239
72,51,59257
74,0,59269
43,35,59727
36,0,59735
43,0,60170
48,40,60242
48,0,60344
43,33,60721
70,45,61005
72,0,61045
70,0,61087
43,0,61267
70,40,61271
46,39,61273
46,0,61376
43,32,61755
69,49,61764
70,0,61799
43,0,62196
48,42,62281
67,46,62284
69,0,62294
48,0,62698
64,41,62770
52,33,62779
67,0,62793
52,0,62833
41,32,63275
65,47,63277
64,0,63308
41,0,63717
48,24,63796
48,0,64241
53,30,64382
53,0,64498
48,26,64901
48,0,65319
57,31,65401
57,0,65483
48,33,65860
65,0,65915
48,0,66288
53,32,66382
53,0,66734
48,31,66863
48,0,67255
41,36,67419
41,0,67871
48,30,67939
65,46,68150
65,0,68267
48,0,68328
53,38,68434
77,62,68435
53,0,68516
77,0,68903
48,31,68918
75,53,68924
48,0,69336
75,0,69404
74,53,69439
57,32,69465
57,0,69526
48,24,69964
74,0,70029
72,52,70221
72,0,70299
48,0,70450
72,63,70499
53,42,70504
53,0,70591
72,0,70979
48,36,70993
70,49,71006
48,0,71053
70,0,71431
74,51,71517
46,40,71530
46,0,72048
53,31,72053
53,0,72409
77,53,72529
74,0,72537
58,35,72539
58,0,72600
74,40,73047
53,26,73065
77,0,73069
53,0,73449
62,36,73572
62,0,73648
53,36,74099
53,0,74559
58,35,74611
74,0,74616
77,57,74621
58,0,74705
53,35,75098
70,53,75106
77,0,75145
53,0,75157
43,46,75614
43,0,76119
50,41,76137
50,0,76627
77,53,76652
70,0,76663
55,31,76666
55,0,76720
74,48,77146
58,35,77167
77,0,77204
58,0,77229
48,33,77686
72,44,78175
55,32,78181
74,0,78200
48,0,78208
55,0,78659
60,46,78666
70,44,78673
72,0,78691
60,0,78742
55,35,79158
72,46,79179
70,0,79209
55,0,79215
36,43,79664
43,44,79954
36,0,79986
48,52,80221
43,0,80253
48,0,80359
50,41,80481
50,0,80716
72,0,80726
74,53,80739
52,40,80747
55,37,81218
72,50,81232
74,0,81257
55,0,81644
60,37,81848
60,0,82126
55,30,82351
55,0,82725
72,0,82801
70,51,82852
60,42,82878
52,0,82964
60,0,82985
70,0,83163
55,41,83349
55,0,83418
69,56,83567
69,0,83659
41,45,83833
69,65,83835
67,50,84066
69,0,84082
67,0,84306
65,51,84319
41,0,84320
48,36,84509
48,0,84781
53,49,84813
53,0,84912
48,33,85333
48,0,85744
57,36,85863
57,0,85960
48,30,86363
48,0,86871
53,33,86895
53,0,87053
48,31,87367
48,0,87602
65,0,87609
41,44,87874
41,0,88300
48,31,88393
65,62,88401
65,0,88535
65,49,88647
48,0,88827
65,0,88890
77,66,88898
53,36,88905
53,0,88974
77,0,89344
48,33,89378
75,51,89379
48,0,89818
75,0,89871
74,55,89909
57,37,89927
57,0,90006
48,27,90444
74,0,90591
72,44,90711
72,0,90777
48,0,90930
53,38,90996
72,51,90998
53,0,91084
72,0,91466
70,45,91491
48,36,91496
48,0,91557
46,36,92009
74,44,92019
70,0,92068
53,32,92550
46,0,92584
53,0,92948
74,0,93043
77,51,93048
58,33,93054
58,0,93117
74,50,93561
77,0,93569
53,27,93587
53,0,93987
62,41,94070
62,0,94147
53,36,94571
53,0,94959
74,0,95043
77,49,95070
58,32,95085
58,0,95167
53,32,95582
53,0,95640
77,0,96071
43,39,96092
70,47,96111
43,0,96580
50,33,96611
50,0,97029
77,49,97171
55,28,97182
70,0,97188
55,0,97239
74,49,97659
77,0,97695
58,35,98217
58,0,98327
50,33,98659
72,44,98684
74,0,98720
50,0,99181
70,44,99189
72,0,99199
55,40,99205
55,0,99286
50,36,99692
50,0,99755
36,42,100244
72,48,100252
70,0,100257
36,0,100700
43,33,100703
43,0,101212
48,33,101303
74,51,101306
72,0,101325
48,0,101405
43,32,101809
72,55,101828
74,0,101852
43,0,102274
52,41,102312
52,0,102410
43,41,102780
43,0,103292
70,48,103298
72,0,103306
48,50,103312
48,0,103404
70,0,103718
43,33,103789
43,0,103871
69,48,104045
69,0,104124
41,41,104305
69,57,104310
67,48,104572
69,0,104589
41,0,104732
48,38,104806
67,0,104807
65,51,104812
48,0,105161
53,32,105341
53,0,105418
48,31,105811
48,0,106244
57,38,106374
65,0,106411
57,0,106478
48,33,106859
72,53,106860
72,0,107020
48,0,107205
53,33,107405
53,0,107482
72,49,107913
48,32,107918
72,0,108007
48,0,108020
72,53,108434
77,48,108437
41,37,108443
72,0,108765
41,0,108784
77,0,108816
48,27,108945
77,46,109157
72,44,109166
77,0,109230
72,0,109234
48,0,109267
77,47,109422
72,38,109428
53,32,109440
53,0,109514
77,0,109869
72,0,109884
48,30,109925
48,0,110371
77,36,110442
72,38,110449
57,32,110478
57,0,110565
77,0,110926
48,29,110964
72,0,110973
53,35,111503
72,40,111517
48,0,111529
53,0,111600
72,0,111831
48,35,112000
48,0,112148
65,51,112511
41,46,112519
48,33,112793
41,0,112811
53,38,113048
53,0,113294
57,46,113299
57,0,113660
53,30,113801
53,0,114044
57,55,114082
57,0,114199
65,0,114285
53,36,114328
48,0,114356
53,0,114401
41,44,114577
69,59,114579
48,44,114846
41,0,114866
53,44,115100
53,0,115307
57,58,115360
72,55,115600
69,0,115641
57,0,115671
72,0,115786
48,0,115789
53,35,116127
53,0,116201
39,48,116638
79,56,116639
77,54,116873
46,39,116884
79,0,116885
39,0,116925
46,0,117139
51,35,117142
79,57,117145
77,0,117152
51,0,117259
55,36,117372
55,0,117582
77,44,117634
58,36,117640
79,0,117680
58,0,118054
55,33,118684
55,0,119162
51,36,119210
51,0,119706
46,35,119726
46,0,120029
77,0,120483
79,51,120744
46,47,120752
77,51,120985
79,0,120995
53,36,120998
46,0,121046
58,37,121234
79,57,121236
77,0,121260
53,0,121293
58,0,121451
60,50,121492
60,0,121568
77,55,121748
79,0,121790
58,36,122208
58,0,122413
53,35,122724
58,36,123282
74,48,123535
77,0,123542
58,0,123726
74,0,123804
75,49,123808
60,35,123813
53,0,123995
60,0,124060
74,67,124161
75,0,124199
58,39,124347
58,0,124402
74,0,124513
72,51,124524
72,0,124645
41,40,124843
72,53,124848
41,0,125197
48,27,125337
53,36,125589
48,0,125615
53,0,125775
55,41,125832
55,0,125962
48,28,126352
48,0,126833
57,32,126906
57,0,127045
48,33,127371
48,0,127799
60,33,127932
60,0,128085
48,31,128435
72,0,128441
48,0,128527
65,59,128946
41,47,128949
41,0,129408
48,33,129445
53,35,129706
48,0,129712
53,0,129887
55,49,129933
55,0,130143
48,40,130424
65,0,130480
48,0,130877
69,57,130957
57,46,130973
57,0,131080
69,0,131425
48,31,131474
48,0,131971
72,37,132007
53,42,132014
53,0,132102
72,0,132103
48,33,132488
48,0,132541
79,65,133037
39,42,133052
77,53,133276
46,33,133286
79,0,133294
39,0,133316
46,0,133510
51,38,133528
79,53,133540
77,0,133545
51,0,133649
55,37,133794
55,0,133918
77,47,134029
58,33,134038
79,0,134062
58,0,134501
58,33,135037
58,0,135419
55,27,135578
55,0,136030
51,31,136110
51,0,136443
77,0,136785
79,41,137157
46,43,137169
77,47,137384
79,0,137422
53,35,137635
79,46,137644
77,0,137654
46,0,137667
53,0,138087
58,38,138132
77,42,138134
79,0,138173
58,0,138227
53,30,138682
53,0,139177
58,32,139199
58,0,139376
53,29,139702
53,0,140161
77,0,140202
58,31,140219
60,40,140223
75,45,140230
58,0,140349
60,0,140428
74,41,140557
75,0,140558
53,35,140732
53,0,140786
74,0,140883
72,46,140919
72,0,141029
41,36,141221
72,46,141235
41,0,141590
48,29,141737
48,0,142085
57,31,142261
53,26,142265
57,0,142336
53,0,142360
48,26,142765
48,0,143211
53,28,143275
55,28,143292
55,0,143523
53,0,143531
48,28,143824
48,0,144239
57,38,144300
53,32,144302
57,0,144408
53,0,144444
72,0,144762
48,31,144818
48,0,144937
65,61,145293
41,47,145304
48,35,145581
41,0,145616
53,36,145854
48,0,145879
53,0,146012
57,41,146123
57,0,146331
48,35,146661
48,0,146875
69,59,146907
53,44,146914
53,0,147024
65,0,147030
48,28,147144
69,0,147157
48,0,147239
41,42,147405
69,76,147418
65,73,147419
41,0,147677
48,33,147680
69,0,147872
65,0,147879
53,36,147933
53,0,148133
57,43,148172
72,60,148426
57,0,148482
48,0,148518
72,0,148902
53,46,148921
53,0,148978
79,56,149434
39,46,149441
79,0,149670
77,48,149680
46,32,149683
39,0,149723
46,0,149904
51,38,149912
79,55,149931
77,0,149948
51,0,150137
55,40,150174
77,51,150425
55,0,150436
79,0,150477
51,32,150924
51,0,151414
53,39,151427
53,0,151755
51,26,151978
51,0,152396
55,37,152482
55,0,152673
51,35,153012
77,0,153046
51,0,153056
79,41,153517
46,41,153531
53,36,153776
77,42,153779
79,0,153805
46,0,153850
77,0,154018
79,50,154025
58,39,154270
77,47,154525
79,0,154573
58,0,154589
58,35,155071
58,0,155570
60,44,155591
60,0,156078
58,31,156116
77,0,156389
58,0,156633
74,48,156646
60,37,156662
60,0,156984
74,0,156996
53,0,156998
75,35,157005
58,36,157183
58,0,157237
74,46,157339
75,0,157381
74,0,157652
72,49,157659
41,37,157663
41,0,158051
48,30,158141
48,0,158585
55,39,158678
53,30,158702
53,0,158791
55,0,158805
48,30,159181
57,35,159695
53,38,159697
72,0,160319
53,0,160812
57,0,160822
48,0,160878
