Tempo,117
74,65,760
74,0,1802
43,41,1814
71,55,1814
43,0,2184
50,29,2277
55,35,2547
50,0,2556
55,0,2736
57,41,2792
57,0,2942
50,36,3259
50,0,3732
59,36,3799
59,0,3929
71,0,3930
50,35,4302
71,51,4551
50,0,4793
71,0,4815
74,57,4847
55,38,4849
55,0,4940
50,37,5335
74,0,5348
76,52,5351
50,0,5399
38,39,5855
76,0,5857
69,50,5859
38,0,6228
45,31,6384
45,0,6823
50,31,6915
50,0,7006
45,32,7403
45,0,7865
57,35,7939
57,0,8036
69,0,8426
45,35,8429
45,0,8943
69,56,8962
54,41,8975
50,33,8979
50,0,9057
54,0,9070
45,40,9456
71,57,9470
69,0,9516
45,0,9528
72,52,10000
48,40,10013
71,0,10031
48,0,10478
79,59,10976
60,35,10986
72,0,10989
60,0,11064
55,27,11523
55,0,11956
62,36,12042
62,0,12133
79,0,12455
55,30,12575
55,0,13049
79,53,13075
60,36,13080
60,0,13185
78,51,13435
79,0,13473
55,38,13591
55,0,13665
74,54,13769
78,0,13776
43,42,14070
74,0,14072
76,59,14076
43,0,14543
50,32,14577
74,55,14587
76,0,14591
74,0,14837
72,37,14857
50,0,15058
55,37,15107
71,46,15109
72,0,15125
55,0,15186
50,29,15630
50,0,16135
59,35,16174
59,0,16276
50,32,16653
50,0,17136
62,36,17209
71,0,17245
62,0,17328
74,46,17673
50,36,17679
50,0,17743
76,44,18208
48,41,18210
74,0,18221
76,0,18367
76,61,18464
55,31,18702
48,0,18704
55,0,19117
60,35,19192
60,0,19268
55,30,19705
55,0,20142
81,55,20207
76,0,20208
62,36,20210
60,31,20213
60,0,20304
62,0,20336
79,54,20514
81,0,20568
55,32,20717
78,47,20997
79,0,21021
55,0,21118
60,35,21200
62,37,21217
60,0,21302
62,0,21331
79,46,21511
78,0,21529
76,48,21733
55,32,21740
79,0,21741
55,0,21779
74,47,21998
76,0,22007
43,36,22224
43,0,22662
50,24,22746
50,0,23213
55,33,23312
55,0,23410
50,36,23788
74,0,23790
67,44,23799
67,0,23949
50,0,24318
67,57,24330
55,35,24345
55,0,24437
69,53,24840
50,31,24842
67,0,24869
50,0,25331
71,57,25368
55,35,25372
69,0,25400
55,0,25458
50,33,25865
76,50,25874
71,0,25894
50,0,25932
38,35,26374
74,53,26376
