Tempo,110
76,48,1690
36,36,1692
48,41,1694
72,48,1695
72,0,2079
76,0,2080
48,0,2086
36,0,2096
43,45,2811
55,47,2817
74,57,2818
55,0,3146
43,0,3195
74,0,3221
36,48,3875
48,46,3877
72,53,3885
72,0,4301
48,0,5604
36,0,5623
48,40,6085
76,47,6086
36,43,6089
36,0,6390
48,0,6427
76,0,6463
43,44,7142
55,46,7149
74,53,7157
55,0,7531
43,0,7590
74,0,7604
48,41,8286
36,43,8287
72,46,8293
36,0,9931
72,0,9990
48,0,9995
72,37,10512
36,36,10515
72,0,10660
36,0,10939
72,39,10973
43,35,10982
72,0,11072
43,0,11423
48,35,11533
72,40,11547
48,0,11651
72,0,11657
52,44,12077
72,40,12088
52,0,12172
72,0,12244
43,35,12611
74,37,12613
74,0,12853
43,0,13144
74,38,13150
50,30,13162
74,0,13252
74,41,13687
55,38,13689
50,0,13970
55,0,14084
50,35,14261
50,0,14306
74,0,14476
36,38,14815
76,50,14816
48,44,14818
36,0,15241
48,0,15251
76,0,15324
43,48,15871
55,50,15876
74,60,15887
55,0,16219
43,0,16279
74,0,16290
72,53,16999
48,47,17002
36,44,17003
36,0,17350
72,0,17356
48,0,17370
