Tempo,110
85,48,1690
45,36,1692
57,41,1694
81,48,1695
81,0,2079
85,0,2080
57,0,2086
45,0,2096
52,45,2811
64,47,2817
83,57,2818
64,0,3146
52,0,3195
83,0,3221
45,48,3875
57,46,3877
81,53,3885
81,0,4301
57,0,5604
45,0,5623
57,40,6085
85,47,6086
45,43,6089
45,0,6390
57,0,6427
85,0,6463
52,44,7142
64,46,7149
83,53,7157
64,0,7531
52,0,7590
83,0,7604
57,41,8286
45,43,8287
81,46,8293
45,0,9931
81,0,9990
57,0,9995
81,37,10512
45,36,10515
81,0,10660
45,0,10939
81,39,10973
52,35,10982
81,0,11072
52,0,11423
57,35,11533
81,40,11547
57,0,11651
81,0,11657
61,44,12077
81,40,12088
61,0,12172
81,0,12244
52,35,12611
83,37,12613
83,0,12853
52,0,13144
83,38,13150
59,30,13162
83,0,13252
83,41,13687
64,38,13689
59,0,13970
64,0,14084
59,35,14261
59,0,14306
83,0,14476
45,38,14815
85,50,14816
57,44,14818
45,0,15241
57,0,15251
85,0,15324
52,48,15871
64,50,15876
83,60,15887
64,0,16219
52,0,16279
83,0,16290
81,53,16999
57,47,17002
45,44,17003
45,0,17350
81,0,17356
57,0,17370
