Tempo,93
76,41,55
76,0,338
75,39,378
76,43,691
75,0,701
76,0,1001
45,37,1020
73,47,1024
45,0,1285
52,26,1361
57,29,1503
52,0,1544
73,0,1564
57,0,1671
73,55,1683
59,36,1687
59,0,1812
57,40,2003
73,0,2008
76,53,2014
57,0,2055
76,0,2304
47,46,2328
75,51,2330
47,0,2642
54,36,2654
75,0,2667
54,0,2914
59,49,2945
75,58,2950
59,0,3053
75,0,3261
78,56,3265
54,39,3269
54,0,3332
49,45,3576
76,61,3578
78,0,3602
49,0,3894
56,30,3920
61,32,4069
56,0,4079
61,0,4216
63,30,4250
63,0,4382
56,30,4559
56,0,4868
64,32,4878
76,0,4919
64,0,5011
56,35,5211
56,0,5463
76,67,5522
61,36,5524
61,0,5619
75,51,5696
76,0,5698
56,43,5845
56,0,5898
76,54,5993
75,0,6017
73,56,6159
76,0,6162
45,36,6179
52,33,6486
45,0,6504
73,0,6517
73,51,6651
52,0,6736
57,40,6811
57,0,6926
76,59,6969
73,0,6973
52,40,7123
52,0,7190
76,0,7262
75,50,7281
75,0,7350
47,43,7428
75,62,7434
54,35,7774
47,0,7787
75,0,7792
54,0,8044
59,44,8091
75,59,8097
59,0,8205
75,0,8394
54,41,8416
78,48,8420
54,0,8466
76,56,8740
49,36,8757
78,0,8758
56,29,9081
49,0,9133
56,0,9371
61,36,9397
61,0,9704
56,31,9747
56,0,10045
64,36,10054
76,0,10111
64,0,10191
56,38,10390
56,0,10664
61,44,10716
76,61,10721
61,0,10819
75,58,10926
76,0,10932
56,48,11052
56,0,11107
76,52,11187
75,0,11219
76,0,11360
73,56,11362
45,51,11381
73,0,11668
52,41,11686
45,0,11688
73,61,11852
52,0,11938
57,46,12006
57,0,12096
76,57,12162
73,0,12172
52,49,12310
52,0,12371
76,0,12454
75,52,12478
75,0,12554
47,40,12615
75,63,12626
54,35,12940
75,0,12944
47,0,12967
54,0,13230
75,52,13289
59,39,13291
59,0,13399
78,57,13597
75,0,13608
54,35,13611
54,0,13691
49,36,13913
76,59,13921
78,0,13937
49,0,14220
56,32,14239
56,0,14517
61,37,14552
61,0,14707
56,30,14889
56,0,15162
64,35,15236
64,0,15333
76,0,15481
56,41,15525
71,52,15530
56,0,15781
73,67,15839
61,46,15841
71,0,15853
61,0,15931
56,49,16148
73,0,16153
83,60,16160
56,0,16204
83,0,16484
81,57,16491
45,38,16495
52,33,16821
45,0,16823
81,0,16824
81,50,17003
52,0,17094
57,36,17156
57,0,17254
81,0,17298
80,57,17309
52,39,17464
52,0,17557
80,0,17603
78,59,17617
47,40,17777
54,37,18105
78,0,18128
47,0,18134
54,0,18368
78,56,18425
59,41,18430
59,0,18533
54,41,18732
78,0,18737
81,49,18744
54,0,18827
49,40,19062
80,50,19064
81,0,19065
49,0,19383
56,33,19398
56,0,19659
61,37,19701
61,0,19943
56,35,20028
64,38,20356
80,0,20387
64,0,20643
61,36,20879
76,67,21049
56,0,21102
61,0,21123
75,41,21206
76,0,21219
56,42,21345
56,0,21401
76,51,21495
75,0,21502
76,0,21657
73,57,21660
45,41,21665
73,0,21959
52,33,21980
45,0,22024
73,53,22147
52,0,22240
57,45,22299
57,0,22390
73,0,22455
76,59,22457
52,48,22596
52,0,22660
76,0,22691
75,51,22762
75,0,22822
47,45,22913
75,70,22925
75,0,23141
75,57,23243
54,33,23247
47,0,23283
75,0,23343
54,0,23529
75,61,23552
59,41,23564
59,0,23670
75,0,23755
78,58,23759
54,41,23896
54,0,23992
78,0,24063
76,50,24066
49,39,24226
56,32,24572
49,0,24576
56,0,24867
61,35,24887
61,0,25117
56,33,25202
56,0,25489
64,39,25555
76,0,25565
64,0,25715
76,52,25818
56,39,25841
76,0,25890
56,0,26129
76,73,26162
61,46,26170
61,0,26295
75,58,26384
76,0,26402
56,46,26511
56,0,26572
76,55,26663
75,0,26665
73,58,26837
