Tempo,80
81,52,1752
83,46,1932
81,0,1972
45,46,2107
84,56,2124
83,0,2126
52,35,2324
45,0,2335
57,27,2504
84,0,2642
57,0,2687
79,44,2690
52,0,3012
76,50,3084
79,0,3087
57,44,3262
57,0,3325
76,0,3430
79,50,3438
79,0,3533
79,53,3628
41,40,3630
48,37,3817
79,0,3820
81,48,3823
41,0,3870
53,37,4003
53,0,4166
55,30,4184
79,53,4196
81,0,4248
55,0,4406
48,0,4516
77,47,4552
79,0,4561
53,40,4743
53,0,4808
76,49,4918
77,0,4923
76,0,4999
76,55,5106
36,43,5112
36,0,5404
43,36,5463
76,0,5481
43,0,5793
48,39,5858
76,51,5868
48,0,5939
43,36,6212
76,0,6239
43,0,6282
74,39,6411
74,0,6476
55,38,6614
43,40,6615
74,47,6617
74,0,6908
55,0,7006
43,0,7010
81,42,7728
83,46,7903
81,0,7930
83,0,8089
45,46,8092
84,57,8093
52,41,8279
45,0,8323
57,38,8465
57,0,8614
84,0,8644
59,43,8649
79,58,8659
59,0,8797
52,0,8912
79,0,9005
76,51,9016
57,41,9209
57,0,9275
79,50,9380
76,0,9381
79,0,9460
79,55,9576
41,40,9579
41,0,9919
48,36,9950
79,0,9951
81,55,9956
48,0,10224
81,0,10295
53,35,10317
79,57,10318
53,0,10389
79,0,10520
77,53,10533
55,39,10692
55,0,10742
77,0,10841
76,45,10875
76,0,10966
36,37,11066
76,51,11077
36,0,11430
43,38,11437
67,46,11448
76,0,11451
67,0,11547
43,0,11760
67,51,11799
48,38,11803
48,0,11892
67,0,11968
76,46,12008
43,41,12146
43,0,12200
76,0,12340
74,54,12359
55,23,12552
43,41,12558
55,0,12887
74,0,12905
55,36,13153
74,51,13355
43,0,13404
55,0,13459
74,0,13547
76,45,13550
43,44,13724
43,0,13799
76,0,13872
74,51,13884
74,0,14065
41,39,14075
72,56,14076
41,0,14416
72,0,14437
79,47,14446
48,31,14482
79,0,14559
48,0,14795
79,46,14848
53,33,14855
53,0,14933
55,46,15212
55,0,15273
79,0,15360
72,50,15391
72,0,15464
45,41,15568
72,63,15574
45,0,15892
52,31,15944
79,51,15955
72,0,15971
79,0,16039
52,0,16281
57,44,16317
79,53,16319
57,0,16413
79,0,16677
52,44,16703
52,0,16750
72,51,16875
72,0,16947
36,45,17063
72,62,17069
43,46,17245
36,0,17295
72,0,17373
48,37,17469
43,0,17479
48,0,17582
72,59,17645
50,48,17648
50,0,17833
52,38,17856
72,0,18009
74,56,18028
52,0,18101
74,0,18104
55,41,18235
55,0,18289
74,46,18400
74,0,18474
74,70,18580
43,47,18593
43,0,18928
50,37,18970
74,0,18992
50,0,19290
55,44,19339
74,56,19341
55,0,19440
76,51,19516
74,0,19517
50,48,19685
76,0,19696
74,53,19705
50,0,19735
74,0,19852
72,60,19869
72,0,19929
41,43,20080
72,71,20082
48,38,20278
41,0,20327
53,28,20491
48,0,20521
53,0,20599
72,0,20646
79,59,20661
55,43,20676
55,0,20822
72,58,21105
79,0,21112
72,0,21194
53,39,21296
53,0,21353
72,51,21457
72,0,21521
45,48,21632
72,70,21640
52,46,21877
45,0,21889
57,40,22033
57,0,22184
72,0,22201
79,57,22208
59,30,22225
59,0,22376
52,0,22497
72,50,22647
79,0,22656
72,0,22729
57,47,22829
57,0,22878
72,56,22998
72,0,23062
36,53,23165
72,73,23174
72,0,23400
36,0,23470
43,41,23513
72,60,23535
72,0,23620
43,0,23769
72,62,23888
48,39,23893
52,40,23895
48,0,23972
52,0,23974
72,0,24099
74,49,24101
74,0,24179
43,37,24254
43,0,24303
74,37,24428
74,0,24487
74,52,24623
55,36,24633
43,40,24635
55,0,25004
74,0,25058
43,0,25374
55,40,25390
71,60,25394
55,0,25466
71,0,25581
43,41,25711
43,0,25772
72,53,25909
72,0,25979
72,65,26091
53,51,26098
41,49,26100
53,0,26307
67,50,26730
72,0,26740
41,0,26830
53,42,26904
53,0,26975
67,0,27069
64,54,27075
41,48,27236
41,0,27291
64,0,27392
67,48,27402
67,0,27477
67,53,27596
48,36,27610
36,39,27612
48,0,27856
67,0,28005
36,0,28314
48,43,28328
72,57,28332
48,0,28419
36,37,28675
36,0,28727
72,0,28772
74,43,28865
74,0,28930
74,59,29066
43,37,29073
43,0,29465
50,31,29476
55,26,29626
50,0,29658
55,0,29770
57,43,29832
57,0,29925
50,29,30185
59,38,30587
74,0,31112
59,0,31282
50,0,31372
55,44,31394
55,0,31439
72,51,31735
72,0,31797
41,41,32106
72,58,32113
53,44,32116
53,0,32428
41,0,32433
48,32,32525
67,43,32672
72,0,32693
48,0,32795
53,33,32893
53,0,32959
67,0,33038
64,44,33044
48,37,33219
48,0,33269
64,0,33345
