Tempo,80
82,52,1752
84,46,1932
82,0,1972
46,46,2107
85,56,2124
84,0,2126
53,35,2324
46,0,2335
58,27,2504
85,0,2642
58,0,2687
80,44,2690
53,0,3012
77,50,3084
80,0,3087
58,44,3262
58,0,3325
77,0,3430
80,50,3438
80,0,3533
80,53,3628
42,40,3630
49,37,3817
80,0,3820
82,48,3823
42,0,3870
54,37,4003
54,0,4166
56,30,4184
80,53,4196
82,0,4248
56,0,4406
49,0,4516
78,47,4552
80,0,4561
54,40,4743
54,0,4808
77,49,4918
78,0,4923
77,0,4999
77,55,5106
37,43,5112
37,0,5404
44,36,5463
77,0,5481
44,0,5793
49,39,5858
77,51,5868
49,0,5939
44,36,6212
77,0,6239
44,0,6282
75,39,6411
75,0,6476
56,38,6614
44,40,6615
75,47,6617
75,0,6908
56,0,7006
44,0,7010
82,42,7728
84,46,7903
82,0,7930
84,0,8089
46,46,8092
85,57,8093
53,41,8279
46,0,8323
58,38,8465
58,0,8614
85,0,8644
60,43,8649
80,58,8659
60,0,8797
53,0,8912
80,0,9005
77,51,9016
58,41,9209
58,0,9275
80,50,9380
77,0,9381
80,0,9460
80,55,9576
42,40,9579
42,0,9919
49,36,9950
80,0,9951
82,55,9956
49,0,10224
82,0,10295
54,35,10317
80,57,10318
54,0,10389
80,0,10520
78,53,10533
56,39,10692
56,0,10742
78,0,10841
77,45,10875
77,0,10966
37,37,11066
77,51,11077
37,0,11430
44,38,11437
68,46,11448
77,0,11451
68,0,11547
44,0,11760
68,51,11799
49,38,11803
49,0,11892
68,0,11968
77,46,12008
44,41,12146
44,0,12200
77,0,12340
75,54,12359
56,23,12552
44,41,12558
56,0,12887
75,0,12905
56,36,13153
75,51,13355
44,0,13404
56,0,13459
75,0,13547
77,45,13550
44,44,13724
44,0,13799
77,0,13872
75,51,13884
75,0,14065
42,39,14075
73,56,14076
42,0,14416
73,0,14437
80,47,14446
49,31,14482
80,0,14559
49,0,14795
80,46,14848
54,33,14855
54,0,14933
56,46,15212
56,0,15273
80,0,15360
73,50,15391
73,0,15464
46,41,15568
73,63,15574
46,0,15892
53,31,15944
80,51,15955
73,0,15971
80,0,16039
53,0,16281
58,44,16317
80,53,16319
58,0,16413
80,0,16677
53,44,16703
53,0,16750
73,51,16875
73,0,16947
37,45,17063
73,62,17069
44,46,17245
37,0,17295
73,0,17373
49,37,17469
44,0,17479
49,0,17582
73,59,17645
51,48,17648
51,0,17833
53,38,17856
73,0,18009
75,56,18028
53,0,18101
75,0,18104
56,41,18235
56,0,18289
75,46,18400
75,0,18474
75,70,18580
44,47,18593
44,0,18928
51,37,18970
75,0,18992
51,0,19290
56,44,19339
75,56,19341
56,0,19440
77,51,19516
75,0,19517
51,48,19685
77,0,19696
75,53,19705
51,0,19735
75,0,19852
73,60,19869
73,0,19929
42,43,20080
73,71,20082
49,38,20278
42,0,20327
54,28,20491
49,0,20521
54,0,20599
73,0,20646
80,59,20661
56,43,20676
56,0,20822
73,58,21105
80,0,21112
73,0,21194
54,39,21296
54,0,21353
73,51,21457
73,0,21521
46,48,21632
73,70,21640
53,46,21877
46,0,21889
58,40,22033
58,0,22184
73,0,22201
80,57,22208
60,30,22225
60,0,22376
53,0,22497
73,50,22647
80,0,22656
73,0,22729
58,47,22829
58,0,22878
73,56,22998
73,0,23062
37,53,23165
73,73,23174
73,0,23400
37,0,23470
44,41,23513
73,60,23535
73,0,23620
44,0,23769
73,62,23888
49,39,23893
53,40,23895
49,0,23972
53,0,23974
73,0,24099
75,49,24101
75,0,24179
44,37,24254
44,0,24303
75,37,24428
75,0,24487
75,52,24623
56,36,24633
44,40,24635
56,0,25004
75,0,25058
44,0,25374
56,40,25390
72,60,25394
56,0,25466
72,0,25581
44,41,25711
44,0,25772
73,53,25909
73,0,25979
73,65,26091
54,51,26098
42,49,26100
54,0,26307
68,50,26730
73,0,26740
42,0,26830
54,42,26904
54,0,26975
68,0,27069
65,54,27075
42,48,27236
42,0,27291
65,0,27392
68,48,27402
68,0,27477
68,53,27596
49,36,27610
37,39,27612
49,0,27856
68,0,28005
37,0,28314
49,43,28328
73,57,28332
49,0,28419
37,37,28675
37,0,28727
73,0,28772
75,43,28865
75,0,28930
75,59,29066
44,37,29073
44,0,29465
51,31,29476
56,26,29626
51,0,29658
56,0,29770
58,43,29832
58,0,29925
51,29,30185
60,38,30587
75,0,31112
60,0,31282
51,0,31372
56,44,31394
56,0,31439
73,51,31735
73,0,31797
42,41,32106
73,58,32113
54,44,32116
54,0,32428
42,0,32433
49,32,32525
68,43,32672
73,0,32693
49,0,32795
54,33,32893
54,0,32959
68,0,33038
65,44,33044
49,37,33219
49,0,33269
65,0,33345
68,48,33403
68,0,33493
68,62,33597
46,45,33600
58,44,33602
58,0,33870
68,0,33977
58,41,34384
73,62,34386
46,0,34414
58,0,34481
46,47,34752
73,0,34771
46,0,34823
75,48,34919
75,0,35010
44,48,35091
75,62,35099
44,0,35462
51,36,35475
51,0,35640
56,33,35649
56,0,35797
58,46,35832
58,0,35936
51,36,36204
60,48,36591
75,0,36654
60,0,37130
51,0,37336
56,41,37349
56,0,37401
82,57,37520
84,58,37701
82,0,37717
85,57,37876
84,0,37878
85,0,37968
42,48,38055
85,61,38063
49,40,38253
42,0,38289
54,39,38449
49,0,38472
54,0,38593
82,61,38634
56,48,38636
85,0,38661
56,0,38741
80,62,39041
82,0,39052
54,39,39235
54,0,39282
80,0,39404
77,45,39413
77,0,39509
77,51,39592
37,36,39601
37,0,39950
44,37,39981
77,0,39998
49,47,40187
44,0,40256
49,0,40317
77,61,40380
53,51,40383
53,0,40493
75,54,40576
77,0,40588
49,43,40741
49,0,40798
75,0,40871
73,51,40912
73,0,41014
44,56,41091
75,65,41103
75,0,41351
44,0,41402
51,37,41456
75,65,41461
75,0,41550
51,0,41733
75,70,41823
56,41,41827
56,0,41900
75,0,42003
77,50,42032
51,37,42193
51,0,42265
77,0,42347
75,50,42360
75,0,42528
46,46,42553
73,61,42559
46,0,42936
53,35,42939
73,0,43004
53,0,43318
58,43,43322
58,0,43408
82,54,43489
53,49,43674
53,0,43732
84,42,43784
82,0,43786
42,39,44114
84,0,44115
85,60,44126
42,0,44454
49,32,44513
85,0,44589
82,57,44680
49,0,44738
54,33,44888
54,0,44941
82,0,45044
80,55,45049
78,59,45278
80,0,45285
77,51,45616
37,40,45632
78,0,45640
37,0,45943
44,36,45964
77,0,46002
49,41,46155
44,0,46209
49,0,46290
51,49,46340
77,59,46349
51,0,46463
75,50,46551
77,0,46562
49,44,46715
49,0,46777
75,0,46851
73,47,46879
73,0,46983
75,63,47075
44,48,47080
44,0,47418
75,0,47426
51,37,47449
56,36,47652
51,0,47677
56,0,47779
75,56,47835
58,43,47845
58,0,47945
51,36,48200
60,46,48585
75,0,48874
60,0,48914
56,36,49158
75,61,49321
51,0,49357
56,0,49424
75,0,49495
77,56,49513
51,48,49676
51,0,49747
77,0,49823
75,50,49842
75,0,49968
73,62,50040
42,48,50048
42,0,50390
80,51,50419
73,0,50421
49,35,50423
80,0,50509
49,0,50726
80,51,50790
54,41,50801
54,0,50886
85,57,50994
80,0,50995
49,46,51182
84,59,51192
85,0,51227
49,0,51235
84,0,51362
80,49,51365
46,40,51543
53,36,51923
46,0,51934
80,0,52022
53,0,52242
77,46,52301
58,42,52303
58,0,52412
75,51,52503
77,0,52508
53,43,52673
53,0,52743
75,0,52813
73,43,52849
73,0,52941
49,41,53041
73,58,53045
73,0,53282
56,37,53409
73,46,53416
73,0,53533
49,0,53645
61,36,53790
73,61,53803
56,0,53823
61,0,53927
56,46,54177
56,0,54245
73,0,54305
75,51,54359
75,0,54437
44,46,54542
75,69,54548
44,0,54916
51,39,54937
75,0,54964
51,0,55275
56,47,55321
75,76,55329
56,0,55413
75,0,55480
77,51,55507
51,46,55679
77,0,55679
75,50,55701
51,0,55726
75,0,55846
73,50,55880
73,0,55974
42,44,56062
73,73,56074
42,0,56391
85,53,56430
49,38,56436
73,0,56437
85,0,56511
49,0,56722
54,41,56796
85,70,56808
54,0,56889
84,57,56981
85,0,57015
84,0,57164
80,53,57173
49,41,57184
49,0,57236
46,43,57514
80,0,57906
53,33,57932
46,0,57933
53,0,58260
58,35,58342
77,54,58348
58,0,58448
77,0,58536
75,51,58538
53,44,58712
53,0,58782
75,0,58865
73,45,58891
73,0,58987
73,62,59082
37,45,59086
44,36,59282
37,0,59342
73,0,59484
49,48,59486
44,0,59530
49,0,59630
51,47,59674
53,51,59864
73,57,59866
51,0,59869
53,0,60156
56,47,60245
56,0,60307
73,0,60367
75,51,60425
75,0,60498
75,76,60610
44,47,60613
44,0,60931
51,35,61000
75,0,61146
51,0,61308
56,47,61364
56,0,61448
70,57,61531
70,0,61703
51,49,61712
72,55,61714
51,0,61763
73,51,61899
72,0,61920
73,0,61967
42,43,62086
54,44,62087
73,64,62089
54,0,62360
73,0,62361
73,48,62489
73,0,62552
54,36,62661
42,0,62758
54,0,62851
73,50,62891
42,37,63231
42,0,63284
73,0,63580
58,41,63652
68,48,63654
46,41,63659
58,0,63981
68,0,64047
58,42,64429
46,0,64432
65,46,64436
58,0,64514
65,0,64701
46,38,64777
46,0,64847
68,46,64946
68,0,65028
49,37,65154
37,37,65156
68,57,65158
49,0,65415
68,0,65490
37,0,65850
49,36,65889
68,49,65891
49,0,65973
68,0,66148
44,40,66636
56,37,66639
68,47,66641
68,0,67063
82,44,67762
44,0,67777
56,0,67831
82,0,67933
84,38,67936
46,40,68098
84,0,68114
85,51,68122
53,33,68491
46,0,68508
85,0,68621
80,36,68683
53,0,68854
58,36,68883
58,0,68986
80,0,69006
77,41,69027
53,40,69218
53,0,69268
77,0,69377
80,41,69390
82,50,69574
42,40,69581
80,0,69587
42,0,69944
