Tempo,115
36,41,871
72,50,882
72,0,981
36,0,1130
72,51,1211
72,0,1283
43,39,1398
48,41,1407
72,56,1408
48,0,1476
43,0,1478
74,39,1718
36,37,1722
72,0,1729
36,0,1783
76,55,1915
74,0,1926
36,60,1929
36,0,2091
76,0,2138
76,49,2452
43,42,2455
48,41,2463
43,0,2510
48,0,2539
76,0,2936
43,43,2962
74,55,2982
43,0,3081
72,41,3306
74,0,3307
74,47,3496
55,47,3504
50,39,3507
72,0,3534
55,0,3558
50,0,3565
76,43,3812
74,0,3820
36,36,4017
72,49,4018
76,0,4036
36,0,4104
48,35,4527
43,36,4528
48,0,4596
43,0,4598
72,0,4765
72,51,5045
36,37,5048
72,0,5150
36,0,5156
72,47,5364
72,0,5438
43,36,5549
48,36,5557
72,60,5566
48,0,5632
43,0,5634
74,36,5866
72,0,5876
36,41,6069
76,51,6080
74,0,6104
76,0,6214
36,0,6218
76,42,6598
43,36,6605
48,40,6616
43,0,6656
48,0,6693
76,0,7046
43,41,7090
74,48,7114
43,0,7192
74,0,7426
72,44,7431
53,41,7621
50,37,7631
74,46,7637
72,0,7674
53,0,7692
50,0,7700
76,41,7967
74,0,7978
72,47,8160
36,33,8165
76,0,8195
36,0,8258
43,31,8703
48,35,8713
43,0,8781
48,0,8781
72,0,8940
67,52,9033
67,0,9223
36,38,9249
72,50,9253
36,0,9374
72,0,9394
72,53,9592
72,0,9683
43,41,9785
48,43,9786
72,65,9793
43,0,9869
48,0,9876
74,36,10096
72,0,10104
36,38,10285
76,48,10292
74,0,10318
36,0,10411
76,0,10423
76,49,10762
43,36,10774
48,46,10775
43,0,10819
48,0,10854
43,43,11244
74,56,11258
76,0,11285
43,0,11338
72,48,11588
74,0,11589
55,44,11800
50,37,11804
74,50,11805
72,0,11849
55,0,11856
50,0,11860
76,48,12131
74,0,12143
36,41,12349
72,49,12352
76,0,12401
36,0,12445
43,33,12888
48,40,12889
67,44,12892
72,0,12904
43,0,12979
48,0,13003
72,43,13399
67,0,13400
36,36,13402
72,0,13510
72,50,13707
36,0,13718
72,0,13784
43,36,13903
48,37,13907
72,62,13912
43,0,13995
48,0,13996
72,0,14227
74,33,14254
36,36,14423
76,48,14440
74,0,14470
76,0,14552
36,0,14583
43,38,14942
48,44,14943
76,49,14946
43,0,14995
48,0,15031
76,0,15437
43,36,15449
74,51,15458
43,0,15541
74,0,15769
72,38,15789
53,38,15992
50,41,15998
74,48,15999
72,0,16036
53,0,16041
50,0,16058
76,46,16296
74,0,16308
76,0,16512
72,44,16530
48,39,16543
36,41,16545
72,0,17479
36,0,17580
48,0,17685
