Tempo,115
45,41,871
81,50,882
81,0,981
45,0,1130
81,51,1211
81,0,1283
52,39,1398
57,41,1407
81,56,1408
57,0,1476
52,0,1478
83,39,1718
45,37,1722
81,0,1729
45,0,1783
85,55,1915
83,0,1926
45,60,1929
45,0,2091
85,0,2138
85,49,2452
52,42,2455
57,41,2463
52,0,2510
57,0,2539
85,0,2936
52,43,2962
83,55,2982
52,0,3081
81,41,3306
83,0,3307
83,47,3496
64,47,3504
59,39,3507
81,0,3534
64,0,3558
59,0,3565
85,43,3812
83,0,3820
45,36,4017
81,49,4018
85,0,4036
45,0,4104
57,35,4527
52,36,4528
57,0,4596
52,0,4598
81,0,4765
81,51,5045
45,37,5048
81,0,5150
45,0,5156
81,47,5364
81,0,5438
52,36,5549
57,36,5557
81,60,5566
57,0,5632
52,0,5634
83,36,5866
81,0,5876
45,41,6069
85,51,6080
83,0,6104
85,0,6214
45,0,6218
85,42,6598
52,36,6605
57,40,6616
52,0,6656
57,0,6693
85,0,7046
52,41,7090
83,48,7114
52,0,7192
83,0,7426
81,44,7431
62,41,7621
59,37,7631
83,46,7637
81,0,7674
62,0,7692
59,0,7700
85,41,7967
83,0,7978
81,47,8160
45,33,8165
85,0,8195
45,0,8258
52,31,8703
57,35,8713
52,0,8781
57,0,8781
81,0,8940
76,52,9033
76,0,9223
45,38,9249
81,50,9253
45,0,9374
81,0,9394
81,53,9592
81,0,9683
52,41,9785
57,43,9786
81,65,9793
52,0,9869
57,0,9876
83,36,10096
81,0,10104
45,38,10285
85,48,10292
83,0,10318
45,0,10411
85,0,10423
85,49,10762
52,36,10774
57,46,10775
52,0,10819
57,0,10854
52,43,11244
83,56,11258
85,0,11285
52,0,11338
81,48,11588
83,0,11589
64,44,11800
59,37,11804
83,50,11805
81,0,11849
64,0,11856
59,0,11860
85,48,12131
83,0,12143
45,41,12349
81,49,12352
85,0,12401
45,0,12445
52,33,12888
57,40,12889
76,44,12892
81,0,12904
52,0,12979
57,0,13003
81,43,13399
76,0,13400
45,36,13402
81,0,13510
81,50,13707
45,0,13718
81,0,13784
52,36,13903
57,37,13907
81,62,13912
52,0,13995
57,0,13996
81,0,14227
83,33,14254
45,36,14423
85,48,14440
83,0,14470
85,0,14552
45,0,14583
52,38,14942
57,44,14943
85,49,14946
52,0,14995
57,0,15031
85,0,15437
52,36,15449
83,51,15458
52,0,15541
83,0,15769
81,38,15789
62,38,15992
59,41,15998
83,48,15999
81,0,16036
62,0,16041
59,0,16058
85,46,16296
83,0,16308
85,0,16512
81,44,16530
57,39,16543
45,41,16545
81,0,17479
45,0,17580
57,0,17685
