Tempo,100
48,55,2273
84,52,2294
52,54,2575
86,60,2589
84,0,2669
48,0,2716
55,62,2906
88,60,2917
52,0,2948
86,0,2959
88,0,3028
55,0,3073
55,54,3160
88,66,3206
88,0,3353
48,46,3466
88,70,3501
55,0,3517
55,60,3779
88,0,3943
88,60,4103
60,54,4111
88,0,4227
60,0,4338
55,0,4341
52,59,4396
88,62,4400
48,0,4524
88,0,4531
52,0,4627
55,63,4682
88,66,4714
52,39,5008
55,0,5106
88,0,5174
88,67,5327
48,61,5332
52,0,5352
88,0,5466
88,69,5610
52,57,5611
48,0,5925
55,63,5934
86,58,5948
88,0,5971
60,57,6222
88,48,6230
52,0,6238
86,0,6263
55,0,6266
60,0,6493
88,0,6504
53,63,6519
89,59,6533
57,47,6810
57,0,7084
60,57,7103
89,0,7115
88,74,7121
65,39,7439
88,0,7568
60,0,7679
57,53,7692
88,62,7698
88,0,7820
65,0,7851
60,64,7967
53,0,7975
88,52,7997
57,0,8010
60,0,8254
88,0,8303
55,63,8305
86,63,8334
59,38,8603
86,0,8763
62,52,8889
86,62,8896
59,0,8926
86,0,9048
67,57,9171
86,57,9189
62,0,9252
67,0,9266
55,0,9282
86,0,9460
83,54,9508
48,78,9509
86,46,9771
83,0,9775
52,54,9802
84,59,10091
86,0,10100
48,0,10104
55,55,10107
52,0,10242
60,45,10399
55,0,10472
55,53,10711
52,52,11001
60,0,11052
55,0,11080
84,0,11193
52,0,11253
48,47,11288
84,61,11300
52,47,11611
48,0,11620
52,0,11866
91,64,11918
48,73,11919
84,0,11997
52,51,12207
91,0,12333
48,0,12464
55,53,12502
91,41,12513
91,0,12599
52,0,12692
60,55,12782
91,51,12795
55,0,12849
52,47,13067
60,0,13126
91,0,13243
48,55,13344
91,58,13357
52,0,13385
91,0,13476
91,62,13656
52,53,13659
48,0,13965
55,54,13974
90,45,13984
91,0,13996
52,0,14055
90,0,14223
55,0,14228
48,69,14276
91,61,14278
52,46,14594
91,0,14717
91,59,14880
55,53,14892
91,0,14982
52,0,14984
91,52,15178
60,57,15195
55,0,15364
52,53,15471
90,62,15488
91,0,15503
60,0,15578
48,0,15758
55,57,15768
93,63,15780
90,0,15809
52,0,15940
48,30,15993
91,69,16068
93,0,16095
48,0,16322
60,62,16378
55,0,16425
60,0,16654
53,62,16671
91,0,16687
89,78,16692
57,48,16995
89,0,17116
60,53,17282
89,59,17286
57,0,17377
89,0,17400
53,0,17419
65,53,17577
89,46,17588
60,0,17705
89,0,17715
65,0,17744
53,59,17883
89,61,17886
57,47,18194
89,0,18329
89,59,18461
60,58,18495
89,0,18740
88,64,18755
53,0,18767
65,64,18791
57,0,18857
60,0,18894
65,0,18964
88,0,19060
55,53,19072
86,59,19082
89,57,19369
86,0,19373
59,51,19376
89,0,19653
62,53,19670
55,0,19671
88,69,19674
59,0,19803
67,45,19970
62,0,20095
67,0,20148
55,55,20258
62,61,20589
67,53,20916
55,0,21156
59,43,21158
67,0,21158
62,0,21168
59,0,21201
88,0,21389
48,66,21477
88,61,21496
52,45,21797
88,0,21965
55,57,22090
88,63,22092
48,0,22105
52,0,22198
88,0,22241
60,58,22376
88,55,22391
55,0,22470
88,0,22524
60,0,22532
55,53,22665
88,67,22688
55,0,22922
52,47,22986
88,0,23090
52,0,23239
48,57,23277
88,57,23284
52,51,23576
86,58,23588
88,0,23638
48,0,23691
86,0,23859
91,54,23879
55,55,23884
52,0,23943
91,0,23969
60,60,24171
91,78,24172
55,0,24204
91,0,24282
60,0,24377
55,53,24470
91,74,24472
60,52,24749
55,0,24763
89,70,24789
91,0,24803
89,0,24898
60,0,24959
53,67,25074
89,66,25079
57,47,25379
89,0,25540
60,59,25657
89,70,25691
57,0,25743
53,0,25929
65,43,25990
60,0,26109
65,0,26175
55,59,26285
88,79,26299
89,0,26302
59,50,26603
88,0,26768
62,53,26868
88,63,26888
55,0,27001
88,0,27009
67,73,27166
88,60,27173
62,0,27241
59,0,27250
67,0,27410
88,0,27441
86,64,27477
55,58,27487
59,43,27809
86,0,27946
86,73,28057
62,51,28063
59,0,28170
86,0,28197
67,64,28350
86,49,28358
62,0,28390
55,0,28418
67,0,28429
86,0,28660
83,53,28686
48,77,28691
86,40,28973
52,51,28983
83,0,28992
84,78,29265
48,0,29275
55,57,29285
86,0,29303
52,0,29374
60,49,29588
55,0,29642
60,0,29786
48,48,29915
55,55,30162
60,46,30511
48,0,30734
52,46,30776
60,0,30783
55,0,30873
84,0,30937
52,0,31029
48,57,31085
84,59,31110
52,46,31396
86,54,31399
48,0,31460
84,0,31514
86,0,31686
55,58,31692
88,57,31718
52,0,31727
88,0,31824
60,49,31986
88,55,31998
55,0,32075
60,0,32130
88,0,32137
88,72,32297
48,60,32300
52,46,32624
88,0,32735
55,57,32894
88,64,32898
52,0,32926
60,53,33199
55,0,33450
52,52,33501
88,0,33512
86,55,33518
60,0,33567
48,0,33672
55,55,33771
52,0,33796
88,46,33797
86,0,33830
55,0,33958
88,0,34090
53,55,34112
89,51,34119
57,53,34399
60,49,34706
53,0,34815
65,48,34983
60,0,35193
57,0,35202
65,0,35215
53,38,35312
57,55,35555
89,0,35782
57,0,35836
60,49,35854
88,74,35878
89,57,36180
57,54,36190
60,0,36220
53,0,36245
88,0,36246
57,0,36345
89,0,36471
91,50,36473
48,73,36478
91,0,36622
91,62,36775
52,43,36831
91,0,36881
91,64,37055
55,55,37096
48,0,37376
60,51,37396
52,0,37586
60,0,37613
55,0,37626
91,0,37653
89,52,37676
48,64,37691
52,47,37992
89,0,37992
88,46,37995
48,0,38279
86,53,38295
55,49,38296
88,0,38306
60,52,38566
52,0,38567
89,53,38604
86,0,38622
55,0,38654
60,0,38724
89,0,38877
48,67,38890
88,73,38898
52,43,39183
48,0,39453
55,37,39540
60,53,39761
55,0,39846
52,0,39873
55,53,40060
60,0,40066
48,34,40410
55,0,40440
52,51,40654
48,0,40967
55,57,40970
52,0,41047
88,0,41202
55,0,41231
48,66,41301
88,69,41312
52,47,41646
88,0,41757
88,69,41916
55,64,41922
48,0,42171
60,53,42238
52,0,42250
55,0,42282
60,0,42522
55,46,42525
86,73,42544
88,0,42579
86,0,42648
86,74,42806
59,46,42835
86,0,42921
86,72,43102
62,49,43112
86,0,43223
59,0,43225
55,0,43298
86,59,43388
67,55,43416
62,0,43599
86,0,43661
55,55,43702
83,49,43718
67,0,43777
59,55,43993
86,44,43998
55,0,44015
83,0,44035
59,0,44078
86,0,44271
