Tempo,100
52,55,2273
88,52,2294
56,54,2575
90,60,2589
88,0,2669
52,0,2716
59,62,2906
92,60,2917
56,0,2948
90,0,2959
92,0,3028
59,0,3073
59,54,3160
92,66,3206
92,0,3353
52,46,3466
92,70,3501
59,0,3517
59,60,3779
92,0,3943
92,60,4103
64,54,4111
92,0,4227
64,0,4338
59,0,4341
56,59,4396
92,62,4400
52,0,4524
92,0,4531
56,0,4627
59,63,4682
92,66,4714
56,39,5008
59,0,5106
92,0,5174
92,67,5327
52,61,5332
56,0,5352
92,0,5466
92,69,5610
56,57,5611
52,0,5925
59,63,5934
90,58,5948
92,0,5971
64,57,6222
92,48,6230
56,0,6238
90,0,6263
59,0,6266
64,0,6493
92,0,6504
57,63,6519
93,59,6533
61,47,6810
61,0,7084
64,57,7103
93,0,7115
92,74,7121
69,39,7439
92,0,7568
64,0,7679
61,53,7692
92,62,7698
92,0,7820
69,0,7851
64,64,7967
57,0,7975
92,52,7997
61,0,8010
64,0,8254
92,0,8303
59,63,8305
90,63,8334
63,38,8603
90,0,8763
66,52,8889
90,62,8896
63,0,8926
90,0,9048
71,57,9171
90,57,9189
66,0,9252
71,0,9266
59,0,9282
90,0,9460
87,54,9508
52,78,9509
90,46,9771
87,0,9775
56,54,9802
88,59,10091
90,0,10100
52,0,10104
59,55,10107
56,0,10242
64,45,10399
59,0,10472
59,53,10711
56,52,11001
64,0,11052
59,0,11080
88,0,11193
56,0,11253
52,47,11288
88,61,11300
56,47,11611
52,0,11620
56,0,11866
95,64,11918
52,73,11919
88,0,11997
56,51,12207
95,0,12333
52,0,12464
59,53,12502
95,41,12513
95,0,12599
56,0,12692
64,55,12782
95,51,12795
59,0,12849
56,47,13067
64,0,13126
95,0,13243
52,55,13344
95,58,13357
56,0,13385
95,0,13476
95,62,13656
56,53,13659
52,0,13965
59,54,13974
94,45,13984
95,0,13996
56,0,14055
94,0,14223
59,0,14228
52,69,14276
95,61,14278
56,46,14594
95,0,14717
95,59,14880
59,53,14892
95,0,14982
56,0,14984
95,52,15178
64,57,15195
59,0,15364
56,53,15471
94,62,15488
95,0,15503
64,0,15578
52,0,15758
59,57,15768
97,63,15780
94,0,15809
56,0,15940
52,30,15993
95,69,16068
97,0,16095
52,0,16322
64,62,16378
59,0,16425
64,0,16654
57,62,16671
95,0,16687
93,78,16692
61,48,16995
93,0,17116
64,53,17282
93,59,17286
61,0,17377
93,0,17400
57,0,17419
69,53,17577
93,46,17588
64,0,17705
93,0,17715
69,0,17744
57,59,17883
93,61,17886
61,47,18194
93,0,18329
93,59,18461
64,58,18495
93,0,18740
92,64,18755
57,0,18767
69,64,18791
61,0,18857
64,0,18894
69,0,18964
92,0,19060
59,53,19072
90,59,19082
93,57,19369
90,0,19373
63,51,19376
93,0,19653
66,53,19670
59,0,19671
92,69,19674
63,0,19803
71,45,19970
66,0,20095
71,0,20148
59,55,20258
66,61,20589
71,53,20916
59,0,21156
63,43,21158
71,0,21158
66,0,21168
63,0,21201
92,0,21389
52,66,21477
92,61,21496
56,45,21797
92,0,21965
59,57,22090
92,63,22092
52,0,22105
56,0,22198
92,0,22241
64,58,22376
92,55,22391
59,0,22470
92,0,22524
64,0,22532
59,53,22665
92,67,22688
59,0,22922
56,47,22986
92,0,23090
56,0,23239
52,57,23277
92,57,23284
56,51,23576
90,58,23588
92,0,23638
52,0,23691
90,0,23859
95,54,23879
59,55,23884
56,0,23943
95,0,23969
64,60,24171
95,78,24172
59,0,24204
95,0,24282
64,0,24377
59,53,24470
95,74,24472
64,52,24749
59,0,24763
93,70,24789
95,0,24803
93,0,24898
64,0,24959
57,67,25074
93,66,25079
61,47,25379
93,0,25540
64,59,25657
93,70,25691
61,0,25743
57,0,25929
69,43,25990
64,0,26109
69,0,26175
59,59,26285
92,79,26299
93,0,26302
63,50,26603
92,0,26768
66,53,26868
92,63,26888
59,0,27001
92,0,27009
71,73,27166
92,60,27173
66,0,27241
63,0,27250
71,0,27410
92,0,27441
90,64,27477
59,58,27487
63,43,27809
90,0,27946
90,73,28057
66,51,28063
63,0,28170
90,0,28197
71,64,28350
90,49,28358
66,0,28390
59,0,28418
71,0,28429
90,0,28660
87,53,28686
52,77,28691
90,40,28973
56,51,28983
87,0,28992
88,78,29265
52,0,29275
59,57,29285
90,0,29303
56,0,29374
64,49,29588
59,0,29642
64,0,29786
52,48,29915
59,55,30162
64,46,30511
52,0,30734
56,46,30776
64,0,30783
59,0,30873
88,0,30937
56,0,31029
52,57,31085
88,59,31110
56,46,31396
90,54,31399
52,0,31460
88,0,31514
90,0,31686
59,58,31692
92,57,31718
56,0,31727
92,0,31824
64,49,31986
92,55,31998
59,0,32075
64,0,32130
92,0,32137
92,72,32297
52,60,32300
56,46,32624
92,0,32735
59,57,32894
92,64,32898
56,0,32926
64,53,33199
59,0,33450
56,52,33501
92,0,33512
90,55,33518
64,0,33567
52,0,33672
59,55,33771
56,0,33796
92,46,33797
90,0,33830
59,0,33958
92,0,34090
57,55,34112
93,51,34119
61,53,34399
64,49,34706
57,0,34815
69,48,34983
64,0,35193
61,0,35202
69,0,35215
57,38,35312
61,55,35555
93,0,35782
61,0,35836
64,49,35854
92,74,35878
93,57,36180
61,54,36190
64,0,36220
57,0,36245
92,0,36246
61,0,36345
93,0,36471
95,50,36473
52,73,36478
95,0,36622
95,62,36775
56,43,36831
95,0,36881
95,64,37055
59,55,37096
52,0,37376
64,51,37396
56,0,37586
64,0,37613
59,0,37626
95,0,37653
93,52,37676
52,64,37691
56,47,37992
93,0,37992
92,46,37995
52,0,38279
90,53,38295
59,49,38296
92,0,38306
64,52,38566
56,0,38567
93,53,38604
90,0,38622
59,0,38654
64,0,38724
93,0,38877
52,67,38890
92,73,38898
56,43,39183
52,0,39453
59,37,39540
64,53,39761
59,0,39846
56,0,39873
59,53,40060
64,0,40066
52,34,40410
59,0,40440
56,51,40654
52,0,40967
59,57,40970
56,0,41047
92,0,41202
59,0,41231
52,66,41301
92,69,41312
56,47,41646
92,0,41757
92,69,41916
59,64,41922
52,0,42171
64,53,42238
56,0,42250
59,0,42282
64,0,42522
59,46,42525
90,73,42544
92,0,42579
90,0,42648
90,74,42806
63,46,42835
90,0,42921
90,72,43102
66,49,43112
90,0,43223
63,0,43225
59,0,43298
90,59,43388
71,55,43416
66,0,43599
90,0,43661
59,55,43702
87,49,43718
71,0,43777
63,55,43993
90,44,43998
59,0,44015
87,0,44035
63,0,44078
90,0,44271
88,58,44283
52,38,44328
56,35,44612
59,47,44930
52,0,44957
64,39,45205
56,0,45290
59,0,45387
52,51,45492
64,0,45568
59,36,45788
64,46,46100
52,0,46381
56,39,46405
59,0,46444
64,0,46448
56,0,46639
95,60,46703
52,59,46709
88,0,46785
95,0,46786
95,64,46981
56,50,47004
95,0,47092
95,47,47272
59,55,47291
52,0,47320
64,60,47570
95,0,47573
94,50,47588
56,0,47605
59,0,47703
64,0,47752
95,52,47876
52,57,47879
94,0,47925
56,51,48138
95,0,48325
52,0,48420
59,52,48472
95,55,48476
56,0,48534
64,49,48753
95,0,48763
94,42,48778
59,0,48885
64,0,48913
52,67,49052
95,49,49076
94,0,49077
59,51,49370
52,0,49435
95,0,49500
64,54,49667
95,61,49670
59,0,49725
95,0,49831
59,53,49950
95,59,49980
64,0,50054
59,0,50185
95,0,50254
94,53,50285
52,44,50299
97,51,50557
94,0,50580
56,49,50606
95,67,50888
97,0,50891
59,60,50896
52,0,50905
56,0,51170
64,51,51184
59,0,51226
57,57,51480
93,60,51487
95,0,51488
64,0,51498
61,46,51789
93,0,51972
57,0,52079
64,52,52101
93,61,52110
61,0,52177
93,0,52228
69,52,52390
93,49,52405
64,0,52501
93,0,52521
69,0,52539
93,59,52690
57,63,52694
61,37,53002
93,0,53090
64,53,53282
93,70,53297
61,0,53309
92,74,53585
57,0,53588
93,0,53606
69,43,53642
64,0,53752
92,0,53867
90,44,53907
59,52,53909
69,0,53936
93,59,54187
63,49,54198
90,0,54205
59,0,54465
92,66,54473
66,54,54478
93,0,54479
63,0,54567
71,45,54779
66,0,54865
71,0,55001
59,49,55066
63,43,55403
66,66,55656
99,60,55676
63,0,55688
99,0,55797
66,0,55912
66,51,55953
59,0,55971
71,55,55980
99,81,56006
92,0,56072
66,0,56124
71,0,56128
99,0,56283
100,86,56309
59,79,56315
63,58,56573
59,0,56650
63,0,56677
52,39,56883
56,53,57171
59,70,57489
56,0,57561
64,47,57779
59,0,58059
64,0,58060
56,47,58086
99,59,58103
100,0,58123
52,0,58334
59,62,58373
56,0,58391
97,70,58394
99,0,58417
59,0,58490
59,79,58686
99,79,58692
97,0,58727
63,46,58981
66,55,59291
59,0,59320
71,57,59580
63,0,59696
66,0,59708
71,0,59757
59,78,59882
63,42,60218
66,60,60477
97,61,60485
99,0,60522
63,0,60525
59,0,60763
71,73,60774
95,66,60785
97,0,60803
66,0,60886
71,0,60898
97,86,61083
95,0,61084
57,57,61105
61,51,61381
64,51,61689
57,0,61725
69,54,61970
61,0,62066
64,0,62137
69,0,62151
57,58,62285
61,50,62583
64,51,62867
57,0,63105
69,64,63164
64,0,63188
