Tempo,90
51,57,2506
79,57,2507
79,0,2635
79,53,2839
55,40,2841
51,0,2845
79,0,2973
55,0,3138
79,57,3180
58,49,3194
63,42,3520
58,0,3559
63,0,3726
79,0,3760
51,55,3823
79,53,3861
79,0,3990
79,51,4178
55,39,4198
79,0,4301
51,0,4375
79,54,4522
58,51,4531
55,0,4598
63,44,4845
58,0,4960
63,0,5057
79,0,5066
51,58,5193
79,55,5199
79,0,5390
82,57,5497
55,40,5555
82,0,5753
75,53,5857
51,0,5862
58,53,5879
55,0,6010
63,58,6148
58,0,6172
77,46,6191
75,0,6309
77,0,6463
79,58,6488
56,40,6628
56,0,6715
51,58,7144
63,0,7197
51,0,7464
58,47,7495
58,0,7807
80,61,7848
79,0,7849
56,46,7855
80,0,7986
80,57,8186
60,47,8188
80,0,8312
63,54,8462
80,48,8507
56,0,8518
60,0,8604
68,53,8843
63,0,8944
68,0,8945
80,0,9104
51,58,9168
80,58,9189
79,62,9240
80,0,9241
79,0,9396
79,60,9516
55,46,9529
79,0,9636
79,59,9823
58,53,9856
51,0,10036
63,46,10195
55,0,10203
58,0,10231
63,0,10493
79,0,10494
58,55,10517
77,55,10530
77,0,10646
77,52,10862
62,47,10867
77,0,10970
65,57,11182
77,50,11182
62,0,11208
58,0,11223
62,57,11474
65,0,11524
79,49,11533
77,0,11535
58,63,11844
77,63,11850
79,0,11854
62,0,11855
62,61,12160
58,0,12206
62,0,12257
77,0,12478
51,59,12513
82,50,12533
55,51,12865
51,0,12867
82,0,13092
55,0,13191
51,63,13196
79,58,13205
79,0,13333
55,53,13504
79,53,13514
79,0,13635
51,0,13663
79,54,13839
58,45,13846
55,0,13951
63,40,14165
58,0,14210
63,0,14377
79,0,14430
51,50,14509
79,54,14518
79,0,14633
55,53,14833
79,53,14838
51,0,14879
79,0,14954
79,48,15160
58,49,15169
55,0,15184
63,38,15512
58,0,15568
79,0,15696
63,0,15764
79,55,15807
51,47,15822
79,0,16039
82,53,16141
55,50,16155
51,0,16448
82,0,16453
75,45,16506
58,51,16518
63,58,16836
77,50,16838
55,0,16916
75,0,16951
58,0,17030
63,0,17070
77,0,17159
79,51,17164
51,59,17166
55,38,17521
51,0,17843
58,52,17844
63,44,18152
55,0,18164
58,0,18178
56,57,18472
63,0,18474
80,52,18482
79,0,18497
80,0,18632
60,48,18827
80,52,18833
80,0,18963
60,0,19135
63,53,19153
80,55,19161
56,0,19489
60,51,19504
63,0,19527
60,0,19624
80,0,19762
51,55,19791
79,53,19826
79,0,19988
55,55,20166
79,53,20167
79,0,20313
79,55,20492
58,50,20527
51,0,20700
55,0,20766
58,0,20984
79,0,21110
58,55,21174
77,49,21188
77,0,21314
77,53,21506
62,53,21516
77,0,21646
65,58,21826
62,0,21833
77,52,21835
62,61,22132
79,55,22153
77,0,22165
65,0,22168
58,0,22205
62,0,22210
51,62,22502
77,55,22522
79,0,22559
55,55,22846
51,0,23148
58,57,23160
77,0,23169
82,55,23183
55,0,23243
63,44,23514
58,0,23624
63,0,23689
82,0,23727
58,47,23819
51,58,23829
55,38,23867
58,0,24165
55,0,24188
51,0,24193
