Tempo,58
43,50,868
71,53,886
71,0,1057
50,37,1303
71,50,1310
43,0,1323
71,0,1371
71,53,1565
55,41,1772
50,0,1776
72,44,2007
71,0,2009
55,0,2103
50,41,2261
50,0,2315
72,0,2473
69,46,2480
41,43,2697
41,0,3181
67,47,3183
48,32,3191
69,0,3198
53,38,3652
69,50,3668
67,0,3677
48,0,3832
69,0,3988
67,54,4001
53,0,4022
48,39,4186
48,0,4244
67,0,4372
64,57,4384
36,50,4667
36,0,5155
43,33,5172
48,32,5423
43,0,5461
48,0,5634
52,39,5666
52,0,6163
43,45,6182
55,37,6706
55,0,7405
52,36,7888
43,0,8246
64,0,8333
52,0,8364
62,32,8782
62,0,8924
71,46,8953
43,38,8956
71,0,9246
43,0,9397
50,35,9436
71,39,9454
71,0,9523
71,59,9712
50,0,9866
55,41,9926
55,0,10039
72,51,10199
71,0,10208
50,39,10418
50,0,10469
72,0,10647
69,55,10658
41,44,10901
41,0,11393
69,0,11405
48,36,11410
67,48,11414
48,0,11886
67,0,11896
69,48,11917
53,37,11927
53,0,12048
67,60,12175
69,0,12187
48,41,12384
48,0,12446
72,56,12633
67,0,12645
36,46,12890
43,42,13142
36,0,13202
48,36,13398
43,0,13441
48,0,13586
50,54,13608
50,0,13815
43,49,13908
48,53,14338
48,0,14842
52,51,14844
72,0,15152
48,55,15881
52,0,15917
72,61,16358
48,0,16485
43,0,16555
74,55,16598
72,0,16623
36,48,16874
74,0,16878
76,58,16887
43,32,17182
36,0,17244
48,46,17389
43,0,17469
76,0,17473
48,0,17608
50,44,17643
52,44,17902
76,51,17904
50,0,17904
55,49,18417
76,0,18548
76,41,18889
55,0,19000
77,50,19124
76,0,19136
60,46,19357
79,50,19371
77,0,19373
77,57,19638
79,0,19654
60,0,19739
76,40,20120
77,0,20121
52,0,20316
55,51,20346
76,0,20351
74,58,20354
55,0,20409
74,0,20819
76,60,20825
45,45,21042
52,36,21319
45,0,21383
57,47,21536
76,0,21546
52,0,21584
57,0,21718
59,45,21791
76,57,21793
60,44,22273
59,0,22282
76,0,22308
76,41,22737
77,43,22995
76,0,23003
77,0,23253
79,49,23260
77,50,23509
79,0,23520
76,50,24004
77,0,24005
60,0,24032
74,51,24240
76,0,24241
41,46,24676
76,60,24678
74,0,24682
48,37,24921
41,0,24984
76,0,25132
53,46,25160
48,0,25222
53,0,25365
55,41,25392
55,0,25523
69,57,25643
48,44,26148
48,0,26209
69,0,26503
43,47,26605
74,55,26609
50,36,26842
43,0,26922
74,0,27073
55,39,27116
50,0,27160
55,0,27289
57,51,27344
57,0,27425
74,60,27584
74,0,27931
72,67,27947
72,0,28031
59,58,28102
59,0,28172
72,56,28311
72,0,28381
36,47,28572
72,64,28574
43,39,28796
69,46,28809
72,0,28814
36,0,28851
48,43,29029
69,0,29037
67,51,29042
43,0,29071
48,0,29197
52,50,29289
52,0,29799
55,38,29804
60,36,30050
60,0,30294
60,38,30495
67,0,30508
55,0,30825
60,0,31003
72,40,31623
74,51,31925
72,0,31942
55,49,32125
55,0,32184
76,53,32364
74,0,32369
76,0,32463
36,40,32647
76,57,32659
43,33,32965
36,0,33031
48,33,33204
76,0,33217
43,0,33246
48,0,33409
50,46,33448
50,0,33534
76,61,33701
43,38,34216
76,0,34265
48,35,34769
52,39,34771
76,50,34775
77,39,35046
76,0,35065
79,35,35316
77,0,35327
52,0,35367
48,0,35373
79,0,35568
77,53,35575
48,41,35948
77,0,36144
76,42,36161
43,0,36363
48,0,36381
52,41,36391
76,0,36395
74,49,36398
52,0,36459
45,47,36911
76,54,36917
74,0,36918
52,32,37175
45,0,37255
76,0,37394
57,43,37425
52,0,37498
57,0,37629
59,51,37669
59,0,37778
76,57,37951
60,48,38449
76,0,38512
60,0,38853
57,44,38901
76,53,38920
77,47,39149
76,0,39158
57,0,39413
79,50,39418
60,45,39421
77,0,39426
77,50,39721
79,0,39741
76,51,40266
77,0,40276
60,0,40331
76,0,40501
74,53,40522
74,0,41018
41,41,41020
76,50,41028
48,33,41287
41,0,41334
76,0,41390
53,32,41554
48,0,41567
53,0,41736
55,48,41783
55,0,41948
69,62,42039
57,51,42572
57,0,42634
69,0,42749
74,45,42796
74,0,42912
43,43,43065
74,54,43074
50,36,43333
