Tempo,58
46,50,868
74,53,886
74,0,1057
53,37,1303
74,50,1310
46,0,1323
74,0,1371
74,53,1565
58,41,1772
53,0,1776
75,44,2007
74,0,2009
58,0,2103
53,41,2261
53,0,2315
75,0,2473
72,46,2480
44,43,2697
44,0,3181
70,47,3183
51,32,3191
72,0,3198
56,38,3652
72,50,3668
70,0,3677
51,0,3832
72,0,3988
70,54,4001
56,0,4022
51,39,4186
51,0,4244
70,0,4372
67,57,4384
39,50,4667
39,0,5155
46,33,5172
51,32,5423
46,0,5461
51,0,5634
55,39,5666
55,0,6163
46,45,6182
58,37,6706
58,0,7405
55,36,7888
46,0,8246
67,0,8333
55,0,8364
65,32,8782
65,0,8924
74,46,8953
46,38,8956
74,0,9246
46,0,9397
53,35,9436
74,39,9454
74,0,9523
74,59,9712
53,0,9866
58,41,9926
58,0,10039
75,51,10199
74,0,10208
53,39,10418
53,0,10469
75,0,10647
72,55,10658
44,44,10901
44,0,11393
72,0,11405
51,36,11410
70,48,11414
51,0,11886
70,0,11896
72,48,11917
56,37,11927
56,0,12048
70,60,12175
72,0,12187
51,41,12384
51,0,12446
75,56,12633
70,0,12645
39,46,12890
46,42,13142
39,0,13202
51,36,13398
46,0,13441
51,0,13586
53,54,13608
53,0,13815
46,49,13908
51,53,14338
51,0,14842
55,51,14844
75,0,15152
51,55,15881
55,0,15917
75,61,16358
51,0,16485
46,0,16555
77,55,16598
75,0,16623
39,48,16874
77,0,16878
79,58,16887
46,32,17182
39,0,17244
51,46,17389
46,0,17469
79,0,17473
51,0,17608
53,44,17643
55,44,17902
79,51,17904
53,0,17904
58,49,18417
79,0,18548
79,41,18889
58,0,19000
80,50,19124
79,0,19136
63,46,19357
82,50,19371
80,0,19373
80,57,19638
82,0,19654
63,0,19739
79,40,20120
80,0,20121
55,0,20316
58,51,20346
79,0,20351
77,58,20354
58,0,20409
77,0,20819
79,60,20825
48,45,21042
55,36,21319
48,0,21383
60,47,21536
79,0,21546
55,0,21584
60,0,21718
62,45,21791
79,57,21793
63,44,22273
62,0,22282
79,0,22308
79,41,22737
80,43,22995
79,0,23003
80,0,23253
82,49,23260
80,50,23509
82,0,23520
79,50,24004
80,0,24005
63,0,24032
77,51,24240
79,0,24241
44,46,24676
79,60,24678
77,0,24682
51,37,24921
44,0,24984
79,0,25132
56,46,25160
51,0,25222
56,0,25365
58,41,25392
58,0,25523
72,57,25643
51,44,26148
51,0,26209
72,0,26503
46,47,26605
77,55,26609
53,36,26842
46,0,26922
77,0,27073
58,39,27116
53,0,27160
58,0,27289
60,51,27344
60,0,27425
77,60,27584
77,0,27931
75,67,27947
75,0,28031
62,58,28102
62,0,28172
75,56,28311
75,0,28381
39,47,28572
75,64,28574
46,39,28796
72,46,28809
75,0,28814
39,0,28851
51,43,29029
72,0,29037
70,51,29042
46,0,29071
51,0,29197
55,50,29289
55,0,29799
58,38,29804
63,36,30050
63,0,30294
63,38,30495
70,0,30508
58,0,30825
63,0,31003
75,40,31623
77,51,31925
75,0,31942
58,49,32125
58,0,32184
79,53,32364
77,0,32369
79,0,32463
39,40,32647
79,57,32659
46,33,32965
39,0,33031
51,33,33204
79,0,33217
46,0,33246
51,0,33409
53,46,33448
53,0,33534
79,61,33701
46,38,34216
79,0,34265
51,35,34769
55,39,34771
79,50,34775
80,39,35046
79,0,35065
82,35,35316
80,0,35327
55,0,35367
51,0,35373
82,0,35568
80,53,35575
51,41,35948
80,0,36144
79,42,36161
46,0,36363
51,0,36381
55,41,36391
79,0,36395
77,49,36398
55,0,36459
48,47,36911
79,54,36917
77,0,36918
55,32,37175
48,0,37255
79,0,37394
60,43,37425
55,0,37498
60,0,37629
62,51,37669
62,0,37778
79,57,37951
63,48,38449
79,0,38512
63,0,38853
60,44,38901
79,53,38920
80,47,39149
79,0,39158
60,0,39413
82,50,39418
63,45,39421
80,0,39426
80,50,39721
82,0,39741
79,51,40266
80,0,40276
63,0,40331
79,0,40501
77,53,40522
77,0,41018
44,41,41020
79,50,41028
51,33,41287
44,0,41334
79,0,41390
56,32,41554
51,0,41567
56,0,41736
58,48,41783
58,0,41948
72,62,42039
60,51,42572
60,0,42634
72,0,42749
77,45,42796
77,0,42912
46,43,43065
77,54,43074
53,36,43333
46,0,43405
77,0,43430
58,33,43605
53,0,43648
58,0,43774
60,48,43834
60,0,43896
62,49,44090
77,57,44099
62,0,44228
77,0,44431
75,55,44437
75,0,44515
58,41,44613
58,0,44664
75,55,44815
75,0,44889
39,39,45115
75,61,45117
46,49,45341
72,46,45363
75,0,45382
39,0,45415
51,43,45600
72,0,45616
70,48,45621
46,0,45634
51,0,45793
53,40,45855
53,0,46255
46,39,46421
51,32,46696
46,0,46744
51,0,46882
55,45,46914
55,0,47191
58,36,47201
63,32,47701
70,0,47755
67,33,48265
67,0,48673
63,0,48737
58,0,48876
46,33,49382
74,40,49395
74,0,49614
53,27,49843
46,0,49866
74,39,49888
74,0,49969
74,48,50173
58,43,50354
53,0,50376
