Tempo,71
80,41,834
82,40,1242
80,0,1262
84,45,1457
82,0,1472
53,33,1633
80,43,2028
84,0,2031
53,0,2038
60,31,2064
65,28,2454
60,0,2459
65,0,2730
60,31,2857
68,33,3281
80,0,3620
68,0,3768
80,46,4187
60,0,4256
80,0,4412
84,51,4414
85,51,4837
84,0,4857
49,38,5058
49,0,5399
56,33,5433
61,31,5640
56,0,5643
61,0,5832
63,33,5856
80,41,5858
85,0,5869
63,0,6033
56,28,6246
65,33,6672
80,0,7030
65,0,7114
56,0,7306
61,35,7564
85,41,7573
61,0,7640
85,0,7952
84,51,7958
44,37,8345
44,0,8750
51,35,8756
80,49,8771
84,0,8795
51,0,9026
56,31,9223
56,0,9295
58,33,9625
58,0,9730
60,35,10028
80,0,10029
75,43,10031
75,0,10396
63,46,10861
60,0,10862
84,44,10880
63,0,10950
84,0,11249
82,49,11257
51,37,11678
51,0,12087
58,31,12121
63,33,12319
58,0,12349
63,0,12506
65,38,12543
65,0,12668
58,28,12972
67,36,13471
82,0,13757
80,50,14339
67,0,14462
58,0,14527
80,0,14722
82,57,14725
84,63,14945
82,0,14969
53,51,15130
53,0,15544
60,38,15572
60,0,15768
65,36,15785
65,0,15913
92,62,15961
84,0,15965
67,49,15967
67,0,16142
65,43,16400
68,48,16797
92,0,17015
65,0,17038
68,0,17197
84,51,17658
84,0,18247
85,49,18277
85,0,18354
85,62,18486
49,41,18499
49,0,18791
56,32,18918
56,0,19136
61,31,19140
61,0,19338
92,45,19354
63,38,19362
85,0,19382
63,0,19506
92,0,19595
92,57,19757
56,33,19765
56,0,20126
65,35,20188
65,0,20288
92,0,20550
56,35,20615
56,0,20994
61,39,21064
85,62,21075
61,0,21185
85,0,21656
84,50,21675
84,0,21756
44,48,21891
84,67,21893
44,0,22238
51,35,22277
51,0,22611
92,50,22689
56,37,22691
84,0,22727
56,0,22922
51,43,23076
92,0,23113
51,0,23542
60,41,23560
60,0,23706
51,38,23972
51,0,24382
56,39,24399
84,65,24401
56,0,24512
51,36,24793
51,0,24866
84,0,24948
82,50,24991
82,0,25066
51,42,25196
82,70,25199
51,0,25596
58,35,25608
82,0,25623
58,0,25952
94,41,25999
63,31,26007
94,0,26113
63,0,26353
58,33,26389
94,51,26391
67,32,26911
94,0,27086
67,0,27755
80,43,27801
58,0,27962
82,51,28015
80,0,28023
82,0,28417
84,51,28423
53,38,28655
53,0,29063
60,27,29068
65,30,29280
60,0,29310
65,0,29462
84,0,29489
67,39,29495
80,43,29498
67,0,29638
60,29,29880
68,38,30341
68,0,30563
80,0,30584
65,33,31022
65,0,31203
60,0,31210
80,59,31213
67,41,31217
67,0,31395
84,58,31447
80,0,31456
65,41,31641
65,0,31697
85,53,31827
84,0,31828
85,0,31919
85,67,32051
49,43,32055
49,0,32447
56,35,32494
85,0,32639
80,49,32674
80,0,32753
56,0,32794
80,64,32893
61,36,32903
61,0,33045
63,43,33305
63,0,33436
65,50,33737
65,0,33882
56,41,34157
61,46,34344
56,0,34445
61,0,34534
80,0,34541
85,61,34564
63,55,34570
63,0,34721
