Tempo,78
67,43,898
36,35,905
43,41,1095
36,0,1148
48,36,1297
72,48,1299
43,0,1300
67,0,1304
48,0,1447
50,39,1490
72,0,1667
52,36,1680
50,0,1680
71,48,1686
72,44,1887
71,0,1898
52,0,2015
55,42,2060
74,51,2076
72,0,2103
55,0,2127
76,57,2303
74,0,2312
45,19,2484
52,36,2692
45,0,2730
57,33,2862
72,37,2868
76,0,2878
59,32,3062
57,0,3063
72,0,3241
71,40,3256
59,0,3275
52,0,3420
71,0,3458
72,37,3466
57,39,3640
71,42,3652
72,0,3662
57,0,3695
71,0,3833
69,48,3845
41,36,4034
48,36,4222
41,0,4267
74,48,4408
53,32,4424
48,0,4435
69,0,4457
53,0,4559
55,31,4602
74,0,4603
72,44,4610
74,45,4786
72,0,4793
57,36,4798
55,0,4813
74,0,4991
72,44,4996
72,0,5127
60,31,5205
72,41,5374
60,0,5458
77,41,5973
72,0,5988
76,46,6389
77,0,6434
57,0,6530
76,0,6557
72,38,6576
72,0,6745
74,37,6768
74,0,6939
72,38,6953
72,0,7094
36,41,7132
67,41,7133
43,36,7309
36,0,7371
48,39,7495
72,44,7505
43,0,7527
67,0,7533
48,0,7643
50,38,7693
72,0,7864
52,36,7872
71,51,7874
50,0,7874
72,41,8078
71,0,8079
52,0,8183
55,51,8253
74,49,8256
72,0,8274
55,0,8317
76,51,8454
74,0,8459
45,50,8648
52,35,8849
45,0,8928
72,43,9013
57,37,9028
76,0,9043
52,0,9047
57,0,9167
59,30,9233
59,0,9325
72,0,9382
71,46,9390
71,0,9577
72,47,9583
60,43,9785
71,46,9786
72,0,9802
60,0,9834
71,0,9963
69,48,9977
41,28,10219
48,36,10369
41,0,10437
74,46,10535
53,36,10551
69,0,10563
48,0,10570
53,0,10704
74,0,10733
55,30,10737
72,46,10739
74,55,10918
57,33,10928
72,0,10929
55,0,10934
72,51,11135
74,0,11137
72,0,11227
60,35,11308
72,55,11495
60,0,11617
72,0,11781
60,36,11865
77,45,12068
77,0,12155
60,0,12289
76,45,12444
57,0,12595
76,0,12599
72,36,12633
72,0,12801
60,44,12812
60,0,12862
72,44,12995
72,0,13105
36,43,13182
67,39,13192
43,29,13364
69,54,13383
36,0,13411
67,0,13437
48,29,13563
72,57,13568
43,0,13590
69,0,13612
48,0,13707
52,55,13757
76,56,13770
72,0,13785
52,0,13999
48,43,14176
76,0,14206
48,0,14357
76,59,14372
76,0,14684
43,39,14729
76,48,14919
48,38,15062
76,0,15266
74,53,15269
48,0,15406
74,0,15460
52,47,15462
76,61,15474
52,0,15582
74,52,15666
43,0,15690
76,0,15703
48,41,15830
72,67,15848
74,0,15876
48,0,15903
72,0,16032
67,59,16041
36,44,16233
43,48,16427
69,54,16439
36,0,16492
67,0,16494
48,30,16625
72,53,16630
69,0,16653
43,0,16663
48,0,16772
50,46,16809
76,56,16817
72,0,16842
52,47,17006
50,0,17036
76,0,17169
55,47,17382
60,50,17762
55,0,17767
60,0,18101
55,36,18134
76,44,18135
74,49,18329
76,0,18347
55,0,18441
74,0,18495
60,46,18514
76,50,18516
60,0,18639
74,51,18721
76,0,18750
52,0,18762
55,44,18889
74,0,18896
72,56,18909
55,0,18956
74,51,19105
72,0,19120
41,43,19304
48,37,19518
76,51,19522
74,0,19527
41,0,19591
53,38,19715
76,0,19726
48,0,19745
53,0,19851
55,32,19897
76,57,19913
57,49,20118
55,0,20157
74,49,20315
76,0,20366
72,50,20496
74,0,20503
60,43,20905
72,0,21105
67,47,21113
67,0,21254
60,0,21389
67,46,21532
72,46,21696
60,44,21714
76,56,21716
67,0,21730
57,0,21775
60,0,21874
72,0,21905
74,58,21937
76,0,22006
57,50,22076
57,0,22131
74,0,22217
72,53,22231
72,0,22393
43,49,22431
74,57,22433
67,57,22439
50,35,22645
43,0,22726
55,37,22818
55,0,22986
74,0,22997
57,36,23009
76,59,23011
67,0,23012
57,0,23167
55,36,23391
67,56,23573
76,0,23576
55,0,23839
59,46,23938
59,0,24254
67,0,24326
50,0,24361
55,57,24500
55,0,24558
69,59,24713
77,60,24715
72,63,24716
53,67,24718
41,57,24722
72,0,24765
53,0,24776
77,0,24777
69,0,24779
41,0,24785
67,43,25080
76,55,25082
72,56,25084
40,39,25094
52,45,25095
40,0,25143
72,0,25145
52,0,25147
76,0,25154
67,0,25161
43,50,25486
55,47,25490
67,50,25495
67,0,25611
55,0,25669
