Tempo,78
70,43,898
39,35,905
46,41,1095
39,0,1148
51,36,1297
75,48,1299
46,0,1300
70,0,1304
51,0,1447
53,39,1490
75,0,1667
55,36,1680
53,0,1680
74,48,1686
75,44,1887
74,0,1898
55,0,2015
58,42,2060
77,51,2076
75,0,2103
58,0,2127
79,57,2303
77,0,2312
48,19,2484
55,36,2692
48,0,2730
60,33,2862
75,37,2868
79,0,2878
62,32,3062
60,0,3063
75,0,3241
74,40,3256
62,0,3275
55,0,3420
74,0,3458
75,37,3466
60,39,3640
74,42,3652
75,0,3662
60,0,3695
74,0,3833
72,48,3845
44,36,4034
51,36,4222
44,0,4267
77,48,4408
56,32,4424
51,0,4435
72,0,4457
56,0,4559
58,31,4602
77,0,4603
75,44,4610
77,45,4786
75,0,4793
60,36,4798
58,0,4813
77,0,4991
75,44,4996
75,0,5127
63,31,5205
75,41,5374
63,0,5458
80,41,5973
75,0,5988
79,46,6389
80,0,6434
60,0,6530
79,0,6557
75,38,6576
75,0,6745
77,37,6768
77,0,6939
75,38,6953
75,0,7094
39,41,7132
70,41,7133
46,36,7309
39,0,7371
51,39,7495
75,44,7505
46,0,7527
70,0,7533
51,0,7643
53,38,7693
75,0,7864
55,36,7872
74,51,7874
53,0,7874
75,41,8078
74,0,8079
55,0,8183
58,51,8253
77,49,8256
75,0,8274
58,0,8317
79,51,8454
77,0,8459
48,50,8648
55,35,8849
48,0,8928
75,43,9013
60,37,9028
79,0,9043
55,0,9047
60,0,9167
62,30,9233
62,0,9325
75,0,9382
74,46,9390
74,0,9577
75,47,9583
63,43,9785
74,46,9786
75,0,9802
63,0,9834
74,0,9963
72,48,9977
44,28,10219
51,36,10369
44,0,10437
77,46,10535
56,36,10551
72,0,10563
51,0,10570
56,0,10704
77,0,10733
58,30,10737
75,46,10739
77,55,10918
60,33,10928
75,0,10929
58,0,10934
75,51,11135
77,0,11137
75,0,11227
63,35,11308
75,55,11495
63,0,11617
75,0,11781
63,36,11865
80,45,12068
80,0,12155
63,0,12289
79,45,12444
60,0,12595
79,0,12599
75,36,12633
75,0,12801
63,44,12812
63,0,12862
75,44,12995
75,0,13105
39,43,13182
70,39,13192
46,29,13364
72,54,13383
39,0,13411
70,0,13437
51,29,13563
75,57,13568
46,0,13590
72,0,13612
51,0,13707
55,55,13757
79,56,13770
75,0,13785
55,0,13999
51,43,14176
79,0,14206
51,0,14357
79,59,14372
79,0,14684
46,39,14729
79,48,14919
51,38,15062
79,0,15266
77,53,15269
51,0,15406
77,0,15460
55,47,15462
79,61,15474
55,0,15582
77,52,15666
46,0,15690
79,0,15703
51,41,15830
75,67,15848
77,0,15876
51,0,15903
75,0,16032
70,59,16041
39,44,16233
46,48,16427
72,54,16439
39,0,16492
70,0,16494
51,30,16625
75,53,16630
72,0,16653
46,0,16663
51,0,16772
53,46,16809
79,56,16817
75,0,16842
55,47,17006
53,0,17036
79,0,17169
58,47,17382
63,50,17762
58,0,17767
63,0,18101
58,36,18134
79,44,18135
77,49,18329
79,0,18347
58,0,18441
77,0,18495
63,46,18514
79,50,18516
63,0,18639
77,51,18721
79,0,18750
55,0,18762
58,44,18889
77,0,18896
75,56,18909
58,0,18956
77,51,19105
75,0,19120
44,43,19304
51,37,19518
79,51,19522
77,0,19527
44,0,19591
56,38,19715
79,0,19726
51,0,19745
56,0,19851
58,32,19897
79,57,19913
60,49,20118
58,0,20157
77,49,20315
79,0,20366
75,50,20496
77,0,20503
63,43,20905
75,0,21105
70,47,21113
70,0,21254
63,0,21389
70,46,21532
75,46,21696
63,44,21714
79,56,21716
70,0,21730
60,0,21775
63,0,21874
75,0,21905
77,58,21937
79,0,22006
60,50,22076
60,0,22131
77,0,22217
75,53,22231
75,0,22393
46,49,22431
77,57,22433
70,57,22439
53,35,22645
46,0,22726
58,37,22818
58,0,22986
77,0,22997
60,36,23009
79,59,23011
70,0,23012
60,0,23167
58,36,23391
70,56,23573
79,0,23576
58,0,23839
62,46,23938
62,0,24254
70,0,24326
53,0,24361
58,57,24500
58,0,24558
72,59,24713
80,60,24715
75,63,24716
56,67,24718
44,57,24722
75,0,24765
56,0,24776
80,0,24777
72,0,24779
44,0,24785
70,43,25080
79,55,25082
75,56,25084
43,39,25094
55,45,25095
43,0,25143
75,0,25145
55,0,25147
79,0,25154
70,0,25161
46,50,25486
58,47,25490
70,50,25495
70,0,25611
58,0,25669
53,41,25672
70,57,25689
46,0,25696
70,0,25774
70,56,25867
58,35,25896
70,0,25956
58,0,26045
62,35,26054
70,56,26055
70,0,26140
62,0,26192
70,65,26250
70,0,26339
70,59,26443
70,0,26529
58,44,26620
70,61,26630
70,0,26723
70,67,26828
58,0,26831
62,50,27015
62,0,27139
70,0,27230
53,0,27234
58,49,27396
58,0,27454
80,57,27751
72,53,27756
56,55,27758
75,57,27760
44,51,27761
56,0,27815
75,0,27819
44,0,27825
80,0,27826
72,0,27830
43,46,28132
55,42,28135
70,48,28137
75,53,28139
79,54,28140
75,0,28199
43,0,28200
55,0,28202
79,0,28210
70,0,28214
46,50,28532
70,50,28534
58,50,28536
70,0,28640
70,50,28734
58,0,28735
53,30,28740
46,0,28758
70,0,28832
70,48,28926
58,32,28954
70,0,29016
62,41,29119
70,50,29139
70,0,29218
58,0,29225
70,59,29320
70,0,29418
62,0,29502
70,51,29533
70,0,29598
58,49,29687
70,67,29708
70,0,29801
70,64,29909
58,0,29971
62,57,30089
62,0,30290
70,0,30431
58,44,30479
58,0,30658
62,47,30679
79,57,30872
62,0,30939
79,0,31025
75,59,31043
53,0,31062
75,0,31188
58,45,31229
77,62,31236
58,0,31287
77,0,31400
75,61,31414
39,58,31622
46,54,31808
39,0,31872
75,0,31978
51,31,31994
77,56,31999
46,0,32039
51,0,32133
77,0,32182
53,46,32184
75,51,32196
75,0,32347
53,0,32353
55,44,32370
77,53,32378
77,0,32561
75,51,32580
75,0,32724
58,50,32751
58,0,32950
75,57,32955
63,59,33141
75,0,33234
63,0,33460
75,75,33547
58,49,33728
55,0,33780
75,0,33812
77,67,33914
58,0,33925
79,57,34103
77,0,34128
55,41,34283
79,0,34294
77,60,34297
55,0,34340
77,0,34486
75,63,34493
44,49,34701
51,36,34888
44,0,34948
75,0,35063
77,61,35090
56,36,35101
51,0,35117
56,0,35208
58,51,35286
58,0,35361
77,0,35413
75,71,35475
60,56,35883
60,0,35954
75,0,35998
80,62,36066
46,41,36303
44,36,36308
80,0,36319
44,0,36370
53,41,36477
80,63,36479
46,0,36554
80,0,36587
58,33,36678
80,66,36843
58,0,36845
60,42,36864
60,0,36988
79,62,37050
80,0,37065
53,0,37199
79,0,37230
75,58,37243
75,0,37403
58,46,37435
77,60,37437
58,0,37484
75,58,37611
77,0,37612
39,59,37813
46,50,37996
39,0,38049
75,0,38169
77,57,38190
51,41,38200
46,0,38239
51,0,38329
77,0,38369
75,52,38378
55,31,38403
75,0,38552
77,55,38583
58,36,38587
55,0,38596
77,0,38765
75,50,38768
75,0,38893
63,54,38941
75,78,39134
63,0,39159
75,0,39445
75,62,39616
63,51,39794
75,0,39821
58,0,39831
75,57,39978
63,0,40120
75,0,40151
58,53,40164
77,59,40173
58,0,40286
79,52,40358
77,0,40363
63,54,40538
79,0,40541
77,62,40549
63,0,40587
75,61,40736
77,0,40750
44,60,40916
51,47,41101
44,0,41173
75,0,41272
56,35,41295
77,57,41298
56,0,41440
58,56,41488
77,0,41650
58,0,41655
75,61,41677
51,0,41757
56,49,42050
56,0,42078
80,55,42228
75,0,42230
46,54,42434
80,0,42496
80,59,42637
80,0,42727
80,59,42838
80,0,42909
80,62,43021
46,0,43057
79,61,43192
80,0,43216
75,50,43367
79,0,43368
75,0,43531
46,44,43548
77,46,43565
46,0,43613
77,0,43722
75,51,43741
75,0,43790
51,45,43935
39,42,43942
63,62,43954
70,43,44122
63,0,44136
63,47,44292
70,0,44296
63,0,44469
70,41,44510
70,0,44665
63,31,44726
70,38,44883
63,0,44884
70,0,45055
63,35,45078
71,41,45261
63,0,45287
71,0,45427
63,36,45445
71,40,45647
51,0,45674
63,0,45683
39,0,45736
71,0,45815
63,36,45830
71,38,46019
63,0,46049
63,31,46202
71,0,46223
71,38,46397
63,0,46408
71,0,46542
63,41,46547
70,41,46770
63,0,46791
63,41,46953
70,0,46971
63,0,47166
70,37,47169
63,38,47345
70,0,47346
70,38,47544
63,0,47568
70,0,47738
63,39,47743
70,38,47926
63,0,47972
63,39,48101
