Tempo,95
36,33,1544
76,33,1549
36,0,1881
43,36,1888
76,0,1906
74,43,1909
48,36,2233
74,0,2236
72,50,2248
74,53,2570
72,0,2576
43,0,2605
48,0,2625
74,0,2875
52,39,2897
76,45,2898
76,0,2994
52,0,3073
76,50,3253
76,0,3314
55,44,3416
55,0,3490
76,49,3609
76,0,3676
43,48,4205
74,49,4219
74,0,4398
50,35,4497
43,0,4506
74,47,4520
74,0,4604
50,0,4769
55,44,4819
74,44,4825
55,0,4894
74,0,5349
48,39,5408
36,36,5412
76,49,5416
76,0,5586
36,0,5634
48,0,5670
43,36,5711
76,41,5739
76,0,5859
43,0,5970
52,46,6056
48,35,6079
67,35,6086
76,36,6088
52,0,6139
48,0,6162
67,0,6267
76,0,6290
43,35,6351
43,0,6428
36,35,6675
76,46,6682
36,0,6951
43,39,6954
74,39,6977
76,0,6994
43,0,7258
74,0,7296
48,36,7302
72,39,7304
48,0,7413
72,0,7598
74,40,7608
52,36,7611
52,0,7824
55,40,7930
76,39,7937
74,0,7961
76,0,8041
76,46,8244
76,0,8323
55,0,8356
76,46,8567
60,41,8572
60,0,8636
76,0,8887
72,46,8897
72,0,9180
43,44,9209
74,42,9221
74,0,9380
50,35,9516
43,0,9527
74,47,9536
50,0,9766
55,46,9831
76,45,9852
74,0,9864
55,0,9906
76,0,10135
74,50,10150
74,0,10465
36,40,10477
72,41,10482
36,0,10772
43,37,10782
72,0,11099
48,37,11118
52,37,11438
48,0,11456
43,0,11654
52,0,11683
