Tempo,95
41,33,1544
81,33,1549
41,0,1881
48,36,1888
81,0,1906
79,43,1909
53,36,2233
79,0,2236
77,50,2248
79,53,2570
77,0,2576
48,0,2605
53,0,2625
79,0,2875
57,39,2897
81,45,2898
81,0,2994
57,0,3073
81,50,3253
81,0,3314
60,44,3416
60,0,3490
81,49,3609
81,0,3676
48,48,4205
79,49,4219
79,0,4398
55,35,4497
48,0,4506
79,47,4520
79,0,4604
55,0,4769
60,44,4819
79,44,4825
60,0,4894
79,0,5349
53,39,5408
41,36,5412
81,49,5416
81,0,5586
41,0,5634
53,0,5670
48,36,5711
81,41,5739
81,0,5859
48,0,5970
57,46,6056
53,35,6079
72,35,6086
81,36,6088
57,0,6139
53,0,6162
72,0,6267
81,0,6290
48,35,6351
48,0,6428
41,35,6675
81,46,6682
41,0,6951
48,39,6954
79,39,6977
81,0,6994
48,0,7258
79,0,7296
53,36,7302
77,39,7304
53,0,7413
77,0,7598
79,40,7608
57,36,7611
57,0,7824
60,40,7930
81,39,7937
79,0,7961
81,0,8041
81,46,8244
81,0,8323
60,0,8356
81,46,8567
65,41,8572
65,0,8636
81,0,8887
77,46,8897
77,0,9180
48,44,9209
79,42,9221
79,0,9380
55,35,9516
48,0,9527
79,47,9536
55,0,9766
60,46,9831
81,45,9852
79,0,9864
60,0,9906
81,0,10135
79,50,10150
79,0,10465
41,40,10477
77,41,10482
41,0,10772
48,37,10782
77,0,11099
53,37,11118
57,37,11438
53,0,11456
48,0,11654
57,0,11683
