Tempo,135
44,0,1623
84,0,1683
51,36,1694
82,51,1699
51,0,1894
82,0,2114
80,56,2123
56,44,2134
56,0,2188
80,0,2531
82,50,2547
49,39,2553
80,48,2992
49,0,2995
82,0,3015
80,0,3382
61,41,3404
77,51,3418
61,0,3452
77,0,3838
75,42,3842
43,33,3867
43,0,3948
51,37,4255
72,51,4273
75,0,4282
56,39,4740
56,0,5031
60,44,5191
60,0,5506
51,0,5545
56,38,5635
56,0,5749
72,0,5960
75,52,6074
51,30,6084
75,0,6144
51,0,6180
44,44,6553
84,52,6571
44,0,6963
84,0,6968
51,32,6986
82,52,7007
51,0,7427
80,46,7429
56,33,7441
82,0,7447
56,0,7518
80,0,7522
51,33,7872
80,51,7877
79,51,8304
80,0,8315
58,27,8317
51,0,8382
61,35,8741
80,47,8743
79,0,8756
58,0,8767
61,0,9162
63,39,9188
82,44,9193
80,0,9203
63,0,9823
61,32,10129
58,39,10582
61,0,10614
58,0,11103
82,0,11132
75,47,11458
75,0,11653
44,39,11900
84,58,11911
44,0,12245
51,33,12300
84,0,12328
82,51,12335
51,0,12507
56,38,12749
82,0,12765
80,41,12770
56,0,12835
80,0,13196
49,41,13200
82,49,13201
56,35,13622
80,55,13628
82,0,13653
49,0,13660
56,0,13833
80,0,14037
77,39,14061
61,36,14066
61,0,14125
44,38,14502
77,0,14504
75,37,14508
51,32,14946
75,0,14948
72,44,14958
44,0,14960
56,35,15410
56,0,15682
60,49,15910
60,0,16256
51,0,16277
56,39,16334
56,0,16414
51,36,16730
75,42,16759
72,0,16771
51,0,16806
39,47,17229
77,50,17235
75,0,17263
46,37,17622
39,0,17627
82,36,17657
77,0,17661
46,0,17975
51,36,18081
80,55,18092
82,0,18110
51,0,18155
80,0,18528
46,41,18534
79,47,18548
46,0,18805
49,39,18980
77,56,18988
79,0,18996
49,0,19062
51,36,19408
77,0,19420
79,51,19429
51,0,19504
44,48,19875
80,51,19885
79,0,19894
44,0,20299
51,33,20343
56,35,20780
56,0,21264
60,37,21266
51,0,21608
60,0,21635
80,0,21667
