Tempo,105
36,42,355
76,41,374
43,36,638
76,0,665
36,0,680
76,51,928
48,38,935
43,0,954
48,0,1106
52,35,1224
77,47,1493
76,0,1493
52,0,1532
77,0,1998
79,39,2019
79,0,2127
43,36,2573
79,51,2586
50,37,2888
43,0,2889
77,55,3161
55,35,3165
79,0,3189
55,0,3436
59,41,3455
59,0,3692
50,0,3707
76,47,3729
55,31,3737
77,0,3739
55,0,3965
50,37,3996
50,0,4195
55,37,4271
74,47,4274
76,0,4296
55,0,4381
50,33,4548
50,0,4604
72,45,4855
74,0,4864
36,35,4885
43,36,5149
36,0,5188
72,0,5210
48,36,5433
72,51,5440
48,0,5668
52,36,5727
74,46,5997
52,0,6028
72,0,6045
48,31,6262
43,0,6269
48,0,6506
43,44,6534
76,50,6555
74,0,6573
43,0,6716
48,37,6854
76,0,6902
48,0,6906
43,41,7152
76,57,7170
50,36,7438
43,0,7479
53,41,7747
50,0,7770
53,0,7922
55,41,8000
76,0,8004
74,46,8015
74,0,8109
55,0,8310
74,53,8320
59,36,8326
59,0,8871
74,0,9204
36,38,9463
76,55,9476
43,44,9743
36,0,9768
76,0,9780
48,38,10030
76,51,10035
43,0,10085
48,0,10193
52,36,10310
77,44,10594
55,37,10605
52,0,10612
76,0,10624
55,0,11172
77,0,11193
79,41,11200
60,46,11209
60,0,11273
79,0,11360
79,48,11774
43,52,12061
77,50,12334
79,0,12367
50,43,12595
43,0,12648
53,36,12905
76,52,12912
77,0,12918
50,0,12931
53,0,13071
55,43,13158
55,0,13415
59,47,13446
74,47,13461
76,0,13487
59,0,13513
74,0,14014
36,36,14024
72,44,14038
48,35,14043
36,0,14289
48,0,14313
43,43,14322
72,0,14363
48,40,14640
72,50,14642
43,0,14681
48,0,14834
52,33,14911
74,58,15173
55,29,15194
52,0,15202
72,0,15210
55,0,15660
76,50,15728
60,48,15731
74,0,15743
60,0,15773
43,36,16294
74,55,16314
76,0,16320
50,39,16575
43,0,16619
53,38,16877
55,48,16884
72,42,16893
50,0,16903
74,0,16911
53,0,16931
55,0,16949
72,0,17217
48,44,17439
72,60,17450
55,41,17735
60,32,18024
72,0,18094
48,0,18878
60,0,18889
55,0,18892
