Tempo,105
42,42,355
82,41,374
49,36,638
82,0,665
42,0,680
82,51,928
54,38,935
49,0,954
54,0,1106
58,35,1224
83,47,1493
82,0,1493
58,0,1532
83,0,1998
85,39,2019
85,0,2127
49,36,2573
85,51,2586
56,37,2888
49,0,2889
83,55,3161
61,35,3165
85,0,3189
61,0,3436
65,41,3455
65,0,3692
56,0,3707
82,47,3729
61,31,3737
83,0,3739
61,0,3965
56,37,3996
56,0,4195
61,37,4271
80,47,4274
82,0,4296
61,0,4381
56,33,4548
56,0,4604
78,45,4855
80,0,4864
42,35,4885
49,36,5149
42,0,5188
78,0,5210
54,36,5433
78,51,5440
54,0,5668
58,36,5727
80,46,5997
58,0,6028
78,0,6045
54,31,6262
49,0,6269
54,0,6506
49,44,6534
82,50,6555
80,0,6573
49,0,6716
54,37,6854
82,0,6902
54,0,6906
49,41,7152
82,57,7170
56,36,7438
49,0,7479
59,41,7747
56,0,7770
59,0,7922
61,41,8000
82,0,8004
80,46,8015
80,0,8109
61,0,8310
80,53,8320
65,36,8326
65,0,8871
80,0,9204
42,38,9463
82,55,9476
49,44,9743
42,0,9768
82,0,9780
54,38,10030
82,51,10035
49,0,10085
54,0,10193
58,36,10310
83,44,10594
61,37,10605
58,0,10612
82,0,10624
61,0,11172
83,0,11193
85,41,11200
66,46,11209
66,0,11273
85,0,11360
85,48,11774
49,52,12061
83,50,12334
85,0,12367
56,43,12595
49,0,12648
59,36,12905
82,52,12912
83,0,12918
56,0,12931
59,0,13071
61,43,13158
61,0,13415
65,47,13446
80,47,13461
82,0,13487
65,0,13513
80,0,14014
42,36,14024
78,44,14038
54,35,14043
42,0,14289
54,0,14313
49,43,14322
78,0,14363
54,40,14640
78,50,14642
49,0,14681
54,0,14834
58,33,14911
80,58,15173
61,29,15194
58,0,15202
78,0,15210
61,0,15660
82,50,15728
66,48,15731
80,0,15743
66,0,15773
49,36,16294
80,55,16314
82,0,16320
56,39,16575
49,0,16619
59,38,16877
61,48,16884
78,42,16893
56,0,16903
80,0,16911
59,0,16931
61,0,16949
78,0,17217
54,44,17439
78,60,17450
61,41,17735
66,32,18024
78,0,18094
54,0,18878
66,0,18889
61,0,18892
