Tempo,105
72,43,657
36,44,658
36,0,736
72,0,744
48,43,950
72,56,962
48,0,1023
72,0,1057
36,40,1244
72,56,1264
36,0,1317
72,0,1410
43,48,1534
67,50,1545
43,0,1604
67,0,1675
69,49,1831
36,39,1837
36,0,1933
69,0,1934
48,39,2100
43,42,2108
69,53,2111
48,0,2180
43,0,2184
69,0,2247
36,41,2388
67,50,2390
36,0,2516
67,0,2563
43,44,2664
48,40,2673
43,0,2722
48,0,2751
43,44,2931
76,51,2948
76,0,3053
43,0,3086
55,30,3232
76,55,3234
50,45,3236
55,0,3288
50,0,3290
76,0,3362
36,51,3486
74,61,3514
36,0,3553
74,0,3586
74,58,3771
74,0,3879
72,63,4087
36,70,4097
36,0,4179
48,28,4377
43,40,4407
48,0,4463
43,0,4481
36,46,4665
36,0,4733
48,42,4933
43,42,4942
72,0,4959
67,43,4962
48,0,5013
43,0,5015
67,0,5089
36,49,5227
72,42,5238
36,0,5318
72,0,5333
48,45,5503
43,47,5505
72,47,5506
48,0,5585
43,0,5590
72,0,5605
36,43,5788
72,46,5790
36,0,5875
72,0,5927
43,43,6064
48,44,6065
67,46,6072
48,0,6138
43,0,6144
67,0,6203
36,42,6352
69,51,6354
36,0,6449
69,0,6452
48,42,6624
43,41,6628
69,48,6630
48,0,6708
43,0,6712
69,0,6784
67,50,6910
36,44,6915
36,0,7041
67,0,7145
43,36,7196
48,31,7200
43,0,7254
48,0,7291
43,44,7447
76,47,7460
76,0,7589
43,0,7591
53,40,7734
50,46,7740
76,56,7745
50,0,7802
53,0,7810
76,0,7873
43,45,8008
74,51,8038
74,0,8134
43,0,8140
55,41,8301
50,48,8302
74,53,8310
50,0,8355
55,0,8369
74,0,8481
72,47,8598
36,62,8689
36,0,8760
48,35,8912
43,41,8930
43,0,9002
48,0,9002
36,48,9197
36,0,9270
72,0,9443
43,41,9471
48,36,9473
48,0,9537
43,0,9545
36,46,9746
72,50,9757
64,51,9769
67,40,9783
36,0,9834
67,0,9839
64,0,9847
72,0,9859
48,43,10018
43,49,10019
67,57,10028
72,57,10029
48,0,10096
43,0,10114
67,0,10120
72,0,10122
36,41,10316
67,50,10322
69,46,10329
72,49,10334
36,0,10422
72,0,10586
69,0,10604
48,40,10606
43,50,10608
67,0,10609
48,0,10673
43,0,10684
36,46,10895
69,51,10906
72,49,10911
67,52,10912
36,0,11001
67,0,11003
69,0,11007
72,0,11011
43,46,11165
48,46,11166
69,62,11174
67,60,11177
72,56,11181
48,0,11244
43,0,11252
67,0,11263
72,0,11264
69,0,11266
36,46,11449
69,61,11458
72,57,11467
67,59,11469
36,0,11562
43,49,11758
48,41,11760
72,0,11762
67,0,11768
69,0,11769
43,0,11838
48,0,11839
36,45,12047
72,47,12067
69,50,12069
67,50,12072
67,0,12158
36,0,12160
69,0,12161
72,0,12165
43,40,12319
48,39,12327
69,48,12337
67,46,12342
72,47,12344
48,0,12405
43,0,12410
67,0,12430
69,0,12431
72,0,12433
36,46,12603
69,58,12621
72,53,12624
67,57,12627
67,0,12714
69,0,12718
72,0,12719
36,0,12721
43,40,12884
48,36,12887
69,47,12898
72,46,12902
67,43,12907
48,0,12971
43,0,12985
67,0,12990
69,0,12993
72,0,12994
36,41,13173
69,56,13178
72,54,13179
67,53,13183
36,0,13276
43,40,13450
48,37,13455
48,0,13532
43,0,13537
67,0,13736
36,44,13740
69,0,13770
72,0,13785
36,0,13846
67,55,14025
48,36,14029
43,38,14039
48,0,14094
43,0,14099
67,0,14139
36,42,14311
72,48,14312
36,0,14409
72,0,14429
48,41,14587
43,44,14589
72,57,14597
48,0,14663
43,0,14670
72,0,14699
36,43,14873
72,63,14878
36,0,14977
72,0,15000
43,41,15145
48,40,15150
67,47,15155
43,0,15195
48,0,15231
67,0,15275
41,33,15411
69,52,15443
69,0,15524
41,0,15529
53,41,15714
48,46,15720
69,51,15729
53,0,15757
48,0,15778
69,0,15864
36,36,16005
67,51,16010
36,0,16119
67,0,16252
43,49,16293
48,39,16296
48,0,16354
43,0,16362
36,41,16574
76,51,16584
67,48,16599
67,0,16681
36,0,16683
76,0,16698
43,50,16854
76,61,16863
48,47,16869
43,0,16919
48,0,16957
43,36,17135
76,0,17140
74,57,17163
74,0,17250
43,0,17267
55,35,17409
50,43,17424
74,59,17443
55,0,17470
50,0,17479
74,0,17567
36,36,17726
72,48,17728
36,0,17803
48,41,18011
43,42,18013
43,0,18089
48,0,18090
36,43,18321
36,0,18863
72,0,19343
69,44,22896
72,36,22903
67,42,22904
67,0,23232
67,35,23377
72,0,23388
72,42,23545
