Tempo,105
42,38,1095
78,59,1100
42,0,1184
78,0,1188
49,47,1398
54,37,1408
78,70,1409
49,0,1474
54,0,1483
78,0,1495
42,44,1692
78,67,1693
42,0,1780
78,0,1788
73,57,1982
49,41,1986
54,36,1997
49,0,2060
54,0,2071
73,0,2110
42,40,2266
75,56,2279
42,0,2367
75,0,2369
75,59,2545
49,46,2556
54,39,2560
49,0,2647
54,0,2649
75,0,2663
42,44,2839
73,49,2845
42,0,2962
73,0,3031
49,44,3124
54,35,3139
49,0,3177
54,0,3215
49,39,3427
82,52,3428
82,0,3523
49,0,3535
59,46,3707
82,61,3709
56,38,3727
56,0,3783
59,0,3785
82,0,3827
49,46,3965
80,56,3985
80,0,4076
49,0,4089
61,46,4254
80,70,4265
56,43,4272
61,0,4309
56,0,4323
80,0,4421
42,38,4545
78,57,4549
42,0,4643
54,32,4827
49,37,4832
54,0,4903
49,0,4913
42,41,5118
42,0,5189
78,0,5353
54,47,5387
49,41,5396
73,48,5402
54,0,5461
49,0,5469
73,0,5510
42,41,5687
78,67,5691
42,0,5782
78,0,5783
49,41,5963
54,41,5971
78,67,5972
54,0,6044
49,0,6047
78,0,6061
78,67,6262
42,39,6269
78,0,6366
42,0,6368
54,44,6530
49,43,6533
73,51,6540
49,0,6614
54,0,6614
73,0,6655
42,41,6817
75,51,6835
75,0,6925
42,0,6928
49,46,7090
54,37,7092
75,61,7097
54,0,7172
49,0,7180
75,0,7204
42,42,7377
73,51,7392
42,0,7506
73,0,7596
49,45,7659
54,39,7671
49,0,7715
54,0,7750
49,38,7944
82,51,7953
82,0,8065
49,0,8085
61,46,8211
82,62,8227
56,41,8243
56,0,8303
61,0,8304
82,0,8350
49,44,8489
80,56,8500
80,0,8600
49,0,8602
59,45,8780
80,64,8781
56,48,8790
59,0,8844
56,0,8850
80,0,8888
42,59,9049
78,59,9063
42,0,9159
49,40,9339
54,38,9345
49,0,9406
54,0,9410
42,46,9624
42,0,9716
78,0,9793
73,54,9918
49,36,9925
54,40,9926
54,0,9976
49,0,9990
73,0,10007
42,44,10209
78,69,10215
78,0,10310
42,0,10316
49,44,10487
78,76,10489
54,41,10494
54,0,10563
49,0,10567
78,0,10589
42,46,10774
78,82,10775
42,0,10858
54,39,11058
49,36,11067
78,0,11074
54,0,11120
49,0,11124
42,41,11366
78,78,11373
42,0,11460
78,0,11476
49,40,11639
54,36,11646
78,76,11654
54,0,11715
49,0,11727
78,0,11753
42,56,11926
78,85,11932
42,0,12098
49,33,12210
54,30,12224
78,0,12237
49,0,12283
54,0,12283
42,56,12485
78,71,12513
42,0,12603
78,0,12620
49,44,12766
54,43,12768
78,80,12791
54,0,12844
49,0,12854
78,0,12891
42,38,13080
78,82,13092
42,0,13181
78,0,13193
49,39,13360
54,35,13367
78,73,13368
54,0,13433
49,0,13449
78,0,13478
42,46,13651
78,80,13670
42,0,13764
54,41,13950
49,43,13951
54,0,14019
49,0,14026
42,52,14232
42,0,14327
78,0,14511
54,37,14526
73,55,14532
49,39,14534
54,0,14583
49,0,14598
73,0,14632
42,41,14813
78,69,14814
78,0,14925
42,0,14932
49,37,15097
78,78,15104
54,36,15112
49,0,15177
54,0,15182
78,0,15215
78,70,15389
42,49,15391
42,0,15511
78,0,15627
49,41,15648
54,39,15662
73,54,15665
49,0,15703
54,0,15723
73,0,15804
47,38,15930
75,59,15950
47,0,16027
75,0,16031
59,40,16219
54,41,16229
75,67,16234
59,0,16269
54,0,16284
75,0,16399
42,33,16521
73,58,16525
42,0,16620
49,50,16795
54,36,16810
49,0,16857
54,0,16884
49,40,17084
82,51,17096
73,0,17112
49,0,17193
82,0,17199
61,37,17360
56,41,17374
82,67,17375
56,0,17434
61,0,17437
82,0,17489
49,36,17658
80,61,17669
49,0,17744
80,0,17765
80,76,17943
59,48,17949
56,51,17951
59,0,17998
56,0,18015
80,0,18045
42,46,18224
78,82,18232
42,0,18307
54,38,18503
49,50,18504
49,0,18568
54,0,18569
42,61,18822
78,0,19168
42,0,19286
